segmentnr	original	folio	analyzed
PA_anya-e12_15n:0	Samantakūṭavaṇṇanā	0	
PA_anya-e12_15n:1	Namo tassa bhagavato arahato sammāsambuddhassa	0	
PA_anya-e12_15n:3	Satatavitata kittiṃ dhastakandappadappaṃ	0	
PA_anya-e12_15n:4	Tibhavahitavidhānaṃ sabbalokekaketuṃ,	0	
PA_anya-e12_15n:5	Amitamatimanagghaṃ santidaṃ merusāraṃ	0	
PA_anya-e12_15n:6	Sugatamahamudāraṃ rūpasāraṃ namāmi;	0	
PA_anya-e12_15n:8	Hataduritatusāraṃ mohapaṅkopatāpaṃ	0	
PA_anya-e12_15n:9	Manakamalavikāsaṃ jantunaṃ sesakānaṃ,	0	
PA_anya-e12_15n:10	Kumatikumudanāsaṃ buddhapubbācalaggā	1	
PA_anya-e12_15n:11	Uditamahamudāraṃ dhammabhānuṃ namāmi;	1	
PA_anya-e12_15n:13	Sakalavimalasīlaṃ dhutapāpārijālaṃ	1	
PA_anya-e12_15n:14	Suranaramahanīyaṃ pāhuneyyāhuneyyaṃ,	1	
PA_anya-e12_15n:15	Ujupathapaṭipannaṃ puññakhettaṃ janānaṃ	1	
PA_anya-e12_15n:16	Gaṇamahamabhivande sāradaṃ sādarena;	1	
PA_anya-e12_15n:18	Iti kaḷita paṇāmā hantva sabbopasagge	1	
PA_anya-e12_15n:19	Sugatavimala pādambhojasampāta pūtaṃ,	1	
PA_anya-e12_15n:20	Sumanasikharirājaṃ vaṇṇayissaṃ surānaṃ	2	
PA_anya-e12_15n:21	Vasati matulametaṃ sādhujantu suṇantu;	2	
PA_anya-e12_15n:23	Savaṇā lapanā ceva satiyā cāpi vandanā,	2	
PA_anya-e12_15n:24	Yassa sammā sukhī hotī nibbāṇañcādhigacchati;	2	
PA_anya-e12_15n:26	Tasmā sappurisehe’daṃ patthentehi tisampadaṃ,	2	
PA_anya-e12_15n:27	Savaṇīyañhi sādhūhi acikkhittena cetasā;	2	
PA_anya-e12_15n:29	Yo lokatilako nātho pūretvā dasa pāramī,	2	
PA_anya-e12_15n:30	Jātosi tusite kāye santusito’ti vissuto;	3	
PA_anya-e12_15n:32	Ārādhito surādīhi kālo mārisa te ayaṃ,	3	
PA_anya-e12_15n:33	Tiṇṇo tārayimaṃ lokaṃ bahū apparajakkhakā;	3	
PA_anya-e12_15n:35	Etadatthāya te vīra pūritā dasa pāramī,	3	
PA_anya-e12_15n:36	Bāhuṃ pitussa putto’va loko ālambate tuvaṃ;	3	
PA_anya-e12_15n:38	Tesaṃ taṃ vacanaṃ sutvā mahāsatto mahāmatī,	3	
PA_anya-e12_15n:39	Vilokane viloketvā pañcāmala vilocano;	3	
PA_anya-e12_15n:41	Jambudīpaggakamale kaṇṇikā’va manoramā,	4	
PA_anya-e12_15n:42	Purī kapiḷavatthū’si visāṇā’va sudhāsinaṃ;	4	
PA_anya-e12_15n:44	Siṅgīnikkhamayābhāsa tuṅgasiṅgasamaṅgitā,	4	
PA_anya-e12_15n:45	Maṇisīhapañjarākiṇṇa pāsādā yattha bhāsare;	4	
PA_anya-e12_15n:47	Saghane gagane niccaṃ sateratasatāni’va,	4	
PA_anya-e12_15n:48	Anileritapajjota soṇṇaketu ahū yahiṃ;	4	
PA_anya-e12_15n:50	Janānaṃ nīlanettehi vadanehi tu yā purī,	5	
PA_anya-e12_15n:51	Madhupālisamonaddha kañjinī sirimāvahe;	5	
PA_anya-e12_15n:53	Raṅgatuṅgaturaṅgehi gajjitehi ca yā purī,	5	
PA_anya-e12_15n:54	Saghosuttuṅgakallola lolasāgarasantibhā;	5	
PA_anya-e12_15n:56	Avhamānā’va devānaṃ puralakhyā bhujā iva,	5	
PA_anya-e12_15n:57	Mandānileritā tuṅga nānārāgaddhajā yahiṃ;	5	
PA_anya-e12_15n:59	Nānāvesadharā yasmiṃ nānābhūsaṇa bhūsitā,	5	
PA_anya-e12_15n:60	Nānāsampattisaṃyuttā nānāvijjāsu pāragā;	6	
