segmentnr	original	analyzed
PA_atk-s05_06a:0	Namo tassa bhagavato arahato sammāsambuddhassa	▁na mo ▁tassa ▁bhagavato ▁arahato ▁sammāsambuddh assa
PA_atk-s05_06a:1	Khuddakanikāye	▁khuddak a nikāy e
PA_atk-s05_06a:2	Vimānavatthu-aṭṭhakathā	▁vi mān avatthu aṭṭh akathā
PA_atk-s05_06a:3	Ganthārambhakathā	▁ganth ārambh akathā
PA_atk-s05_06a:4	Mahākāruṇikaṃ nāthaṃ, ñeyyasāgarapāraguṃ;	▁mahā kā ruṇ ikaṃ ▁nā th aṃ ▁ñeyy a sāgar a pārag uṃ
PA_atk-s05_06a:5	Vande nipuṇagambhīra-vicitranayadesanaṃ.	▁vand e ▁ nipuṇ a gambhīr avi cit r anay a desan aṃ
PA_atk-s05_06a:6	Vijjācaraṇasampannā, yena niyyanti lokato;	▁vijjā caraṇ asampann ā ▁yena ▁ni yy anti ▁lok ato
PA_atk-s05_06a:7	Vande tamuttamaṃ dhammaṃ, sammāsambuddhapūjitaṃ.	▁vand e ▁tam uttama ṃ ▁dhammaṃ ▁sammāsambuddh a pūj itaṃ
PA_atk-s05_06a:8	Sīlādiguṇasampanno, ṭhito maggaphalesu yo;	▁sīl ādi guṇ asampanno ▁ṭhito ▁magg aphal esu ▁yo
PA_atk-s05_06a:9	Vande ariyasaṅghaṃ taṃ, puññakkhettaṃ anuttaraṃ.	▁vand e ▁ariy a saṃgh aṃ ▁taṃ ▁puññ akkhett aṃ ▁anuttar aṃ
PA_atk-s05_06a:10	Vandanājanitaṃ puññaṃ, iti yaṃ ratanattaye;	▁vand anā jan itaṃ ▁puññ aṃ ▁iti ▁yaṃ ▁ratan att aye
PA_atk-s05_06a:11	Hatantarāyo sabbattha, hutvāhaṃ tassa tejasā.	▁hat antarāy o ▁sabbattha ▁hutvā haṃ ▁tassa ▁te ja sā
PA_atk-s05_06a:12	Devatāhi kataṃ puññaṃ, yaṃ yaṃ purimajātisu;	▁devatā hi ▁kataṃ ▁puññ aṃ ▁yaṃ ▁yaṃ ▁purim ajāti su
PA_atk-s05_06a:13	Tassa tassa vimānādi-phalasampattibhedato.	▁tassa ▁tassa ▁vi mān ādi phal asampatti bhed ato
PA_atk-s05_06a:14	Pucchāvasena yā tāsaṃ, vissajjanavasena ca;	▁pucchā vasena ▁yā ▁tāsaṃ ▁vissajj anavasena ▁ca
PA_atk-s05_06a:15	Pavattā desanā kamma-phalapaccakkhakārinī.	▁pavatt ā ▁desanā ▁kamm aphal a paccakkh a kār inī
PA_atk-s05_06a:16	Vimānavatthu icceva, nāmena vasino pure;	▁vi mān avatthu ▁ icceva ▁nām ena ▁vas ino ▁pure
PA_atk-s05_06a:17	Yaṃ khuddakanikāyasmiṃ, saṅgāyiṃsu mahesayo.	▁yaṃ ▁khuddak a nikāy asmiṃ ▁saṃ gā y iṃsu ▁mah e sa yo
PA_atk-s05_06a:18	Tassāhamavalambitvā, porāṇaṭṭhakathānayaṃ;	▁tassā ha ma va lamb itvā ▁porāṇ aṭṭh akathā na yaṃ
PA_atk-s05_06a:19	Tattha tattha nidānāni, vibhāvento visesato.	▁tattha ▁tattha ▁ nidān āni ▁vibhāv ento ▁vises ato
PA_atk-s05_06a:20	Suvisuddhaṃ asaṃkiṇṇaṃ, nipuṇatthavinicchayaṃ;	▁su visuddh aṃ ▁as aṃ kiṇṇa ṃ ▁ nipuṇ atth avinicchay aṃ
PA_atk-s05_06a:21	Mahāvihāravāsīnaṃ, samayaṃ avilomayaṃ.	▁mahā vihār a vās īnaṃ ▁samay aṃ ▁avi lom a yaṃ
PA_atk-s05_06a:22	Yathābalaṃ karissāmi, atthasaṃvaṇṇanaṃ subhaṃ;	▁yathā bal aṃ ▁kar issāmi ▁attha saṃvaṇṇan aṃ ▁subh aṃ
PA_atk-s05_06a:23	Sakkaccaṃ bhāsato taṃ me, nisāmayatha sādhavoti.	▁sakkaccaṃ ▁bhāsa to ▁taṃ ▁me ▁ni sā may atha ▁sādh a v oti
PA_atk-s05_06a:24_0	Tattha vimānānīti visiṭṭhamānāni devatānaṃ kīḷānivāsaṭṭhānāni. Tāni hi tāsaṃ sucaritakammānubhāvanibbattāni	▁tattha ▁vi mān ānīti ▁ visiṭṭh amān āni ▁devatā naṃ ▁kīḷ āni vās aṭṭhān āni ▁tāni ▁hi ▁tāsaṃ ▁su carit akamm ānubhāv a nibbatt āni
PA_atk-s05_06a:24_1	yojanikadviyojanikādipamāṇavisesayuttatāya, nānāratanasamujjalāni vicittavaṇṇasaṇṭhānāni	▁ yojan ika d vi yojan ikā di p amā ṇ avises ayutt atāya ▁nānā ratan asam u jja l āni ▁vi citt avaṇṇ asaṇṭhān āni
PA_atk-s05_06a:24_2	sobhātisayayogena visesato mānanīyatāya ca “vimānānī”ti vuccanti. Vimānānaṃ vatthu	▁sobh āti sa ya yog ena ▁vises ato ▁mān anīy atāya ▁ca ▁vi mān ānīti ▁vuccanti ▁vi mān ānaṃ ▁vatthu
PA_atk-s05_06a:24_3	kāraṇaṃ etissāti vimānavatthu, “pīṭhaṃ te sovaṇṇamaya”ntiādinayappavattā desanā.	▁kāraṇaṃ ▁et issā ti ▁vi mān avatthu ▁ pīṭh aṃ ▁te ▁so vaṇṇ ama yanti ādi na y appavatt ā ▁desanā
PA_atk-s05_06a:24_4	Nidassanamattañcetaṃ tāsaṃ devatānaṃ rūpabhogaparivārādisampattiyo taṃnibbattakakammañca	▁ nidassan amatt añce taṃ ▁tāsaṃ ▁devatā naṃ ▁rūp a bhog a parivār ādi sampatti yo ▁taṃ nibbatt ak akamm añca
PA_atk-s05_06a:24_5	nissāya imissā desanāya pavattattā. Vipākamukhena vā kammantaramānassa kāraṇabhāvato	▁nissāya ▁imissā ▁desanā ya ▁pavatt attā ▁vipāk amukhena ▁vā ▁kamm antar amān assa ▁kāraṇ abhāvato
PA_atk-s05_06a:24_6	vimānavatthūti veditabbaṃ.	▁vi mān avatth ūti ▁veditabbaṃ
PA_atk-s05_06a:25_0	Tayidaṃ kena bhāsitaṃ, kattha bhāsitaṃ, kadā bhāsitaṃ, kasmā ca bhāsitanti? Vuccate	▁ta y idaṃ ▁kena ▁bhāsitaṃ ▁kattha ▁bhāsitaṃ ▁ka dā ▁bhāsitaṃ ▁kasmā ▁ca ▁bhāsit anti ▁vuccate
PA_atk-s05_06a:25_1	– idañhi vimānavatthu duvidhena pavattaṃ – pucchāvasena vissajjanavasena ca. Tattha	▁i d añhi ▁vi mān avatthu ▁duvidh ena ▁pavatt aṃ ▁pucchā vasena ▁vissajj anavasena ▁ca ▁tattha
PA_atk-s05_06a:25_2	vissajjanagāthā tāhi tāhi devatāhi bhāsitā, pucchāgāthā pana kāci bhagavatā bhāsitā,	▁vissajj an agāthā ▁tā hi ▁tā hi ▁devatā hi ▁bhāsit ā ▁pucchā gā thā ▁pana ▁kā ci ▁bhagavatā ▁bhāsit ā
PA_atk-s05_06a:25_3	kāci sakkādīhi, kāci sāvakehi therehi. Tatthāpi yebhuyyena yo so kappānaṃ satasahassādhikaṃ	▁kā ci ▁ sakk ādīhi ▁kā ci ▁ sāvak ehi ▁ther ehi ▁tatth āpi ▁yebhuyy ena ▁yo ▁so ▁kapp ānaṃ ▁ satasahass ā dhi kaṃ
