segmentnr	original	folio	analyzed
PA_bi-vb_pc81:0.1	Theravāda Vinaya	0	
PA_bi-vb_pc81:0.2	Bhikkhunivibhaṅga	0	
PA_bi-vb_pc81:0.3	Pācittiyakaṇḍa	0	
PA_bi-vb_pc81:0.4	Kumāribhūtavagga	0	
PA_bi-vb_pc81:0.5	81. Pārivāsikasikkhāpada	0	
PA_bi-vb_pc81:1.1	Tena samayena buddho bhagavā rājagahe viharati veḷuvane kalandakanivāpe.	1	
PA_bi-vb_pc81:1.2	Tena kho pana samayena thullanandā bhikkhunī—	1	
PA_bi-vb_pc81:1.3	“sikkhamānaṁ vuṭṭhāpessāmī”ti there bhikkhū sannipātetvā pahūtaṁ khādanīyaṁ bhojanīyaṁ passitvā—	1	
PA_bi-vb_pc81:1.4_0	“na tāvāhaṁ, ayyā, sikkhamānaṁ vuṭṭhāpessāmī”ti there bhikkhū uyyojetvā devadattaṁ	1	
PA_bi-vb_pc81:1.4_1	kokālikaṁ kaṭamodakatissakaṁ khaṇḍadeviyā puttaṁ samuddadattaṁ sannipātetvā sikkhamānaṁ vuṭṭhāpesi.	1	
PA_bi-vb_pc81:1.5	Yā tā bhikkhuniyo appicchā …pe… tā ujjhāyanti khiyyanti vipācenti—	1	
PA_bi-vb_pc81:1.6	“kathañhi nāma ayyā thullanandā pārivāsikachandadānena sikkhamānaṁ vuṭṭhāpessatī”ti …pe…	1	
PA_bi-vb_pc81:1.7	“saccaṁ kira, bhikkhave, thullanandā bhikkhunī pārivāsikachandadānena sikkhamānaṁ vuṭṭhāpetī”ti?	1	
PA_bi-vb_pc81:1.8	“Saccaṁ, bhagavā”ti.	1	
PA_bi-vb_pc81:1.9	Vigarahi buddho bhagavā …pe…	1	
PA_bi-vb_pc81:1.10	kathañhi nāma, bhikkhave, thullanandā bhikkhunī pārivāsikachandadānena sikkhamānaṁ vuṭṭhāpessati.	1	
PA_bi-vb_pc81:1.11	Netaṁ, bhikkhave, appasannānaṁ vā pasādāya …pe…	1	
PA_bi-vb_pc81:1.12	evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	1	
PA_bi-vb_pc81:1.13.1	“Yā pana bhikkhunī pārivāsikachandadānena sikkhamānaṁ vuṭṭhāpeyya, pācittiyan”ti.	1	
PA_bi-vb_pc81:2.1.1	Yā panāti	2	
PA_bi-vb_pc81:2.1.2	yā yādisā …pe…	2	
PA_bi-vb_pc81:2.1.3	bhikkhunīti	2	
PA_bi-vb_pc81:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippetā bhikkhunīti.	2	
PA_bi-vb_pc81:2.1.5	Pārivāsikachandadānenāti	2	
PA_bi-vb_pc81:2.1.6	vuṭṭhitāya parisāya.	2	
PA_bi-vb_pc81:2.1.7	Sikkhamānā nāma	2	
PA_bi-vb_pc81:2.1.8	dve vassāni chasu dhammesu sikkhitasikkhā.	2	
PA_bi-vb_pc81:2.1.9	Vuṭṭhāpeyyāti	2	
PA_bi-vb_pc81:2.1.10	upasampādeyya.	2	
PA_bi-vb_pc81:2.1.11	“Vuṭṭhāpessāmī”ti gaṇaṁ vā ācariniṁ vā pattaṁ vā cīvaraṁ vā pariyesati, sīmaṁ vā sammannati, āpatti dukkaṭassa.	2	
PA_bi-vb_pc81:2.1.12	Ñattiyā dukkaṭaṁ.	2	
PA_bi-vb_pc81:2.1.13	Dvīhi kammavācāhi dukkaṭā.	2	
PA_bi-vb_pc81:2.1.14	Kammavācāpariyosāne upajjhāyāya āpatti pācittiyassa.	2	
PA_bi-vb_pc81:2.1.15	Gaṇassa ca ācariniyā ca āpatti dukkaṭassa.	2	
PA_bi-vb_pc81:2.2.1	Anāpatti—	2	
PA_bi-vb_pc81:2.2.2	avuṭṭhitāya parisāya vuṭṭhāpeti,	2	
PA_bi-vb_pc81:2.2.3	ummattikāya,	2	
PA_bi-vb_pc81:2.2.4	ādikammikāyāti.	2	
PA_bi-vb_pc81:2.2.5	Ekādasamasikkhāpadaṁ niṭṭhitaṁ.	2	
