segmentnr	original	folio	analyzed
PA_bu-vb_pc68:0.1	Theravāda Vinaya	0	
PA_bu-vb_pc68:0.2	Mahāvibhaṅga	0	
PA_bu-vb_pc68:0.3	Pācittiyakaṇḍa	0	
PA_bu-vb_pc68:0.4	Sappāṇakavagga	0	
PA_bu-vb_pc68:0.5	68. Ariṭṭhasikkhāpada	0	
PA_bu-vb_pc68:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_bu-vb_pc68:1.2	Tena kho pana samayena ariṭṭhassa nāma bhikkhuno gaddhabādhipubbassa evarūpaṁ pāpakaṁ diṭṭhigataṁ uppannaṁ hoti—	1	
PA_bu-vb_pc68:1.3	“tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi yathā yeme antarāyikā dhammā vuttā bhagavatā te paṭisevato nālaṁ antarāyāyā”ti.	1	
PA_bu-vb_pc68:1.4	Assosuṁ kho sambahulā bhikkhū—	1	
PA_bu-vb_pc68:1.5	“ariṭṭhassa kira nāma bhikkhuno gaddhabādhipubbassa evarūpaṁ pāpakaṁ diṭṭhigataṁ uppannaṁ—	1	
PA_bu-vb_pc68:1.6	‘tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi, yathā yeme antarāyikā dhammā vuttā bhagavatā, te paṭisevato nālaṁ antarāyāyā’”ti.	1	
PA_bu-vb_pc68:1.7	Atha kho te bhikkhū yena ariṭṭho bhikkhu gaddhabādhipubbo tenupasaṅkamiṁsu;	1	
PA_bu-vb_pc68:1.8	upasaṅkamitvā ariṭṭhaṁ bhikkhuṁ gaddhabādhipubbaṁ etadavocuṁ—	1	
PA_bu-vb_pc68:1.9	“saccaṁ kira te, āvuso ariṭṭha, evarūpaṁ pāpakaṁ diṭṭhigataṁ uppannaṁ—	1	
PA_bu-vb_pc68:1.10	‘tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi, yathā yeme antarāyikā dhammā vuttā bhagavatā, te paṭisevato nālaṁ antarāyāyā’”ti?	1	
PA_bu-vb_pc68:1.11	“Evaṁ byā kho ahaṁ, āvuso, bhagavatā dhammaṁ desitaṁ ājānāmi— ‘yathā yeme antarāyikā dhammā vuttā bhagavatā te paṭisevato nālaṁ antarāyāyā’”ti.	1	
PA_bu-vb_pc68:1.12	“Mā, āvuso ariṭṭha, evaṁ avaca. Mā bhagavantaṁ abbhācikkhi. Na hi sādhu bhagavato abbhakkhānaṁ. Na hi bhagavā evaṁ vadeyya.	1	
PA_bu-vb_pc68:1.13	Anekapariyāyenāvuso ariṭṭha, antarāyikā dhammā antarāyikā vuttā bhagavatā. Alañca pana te paṭisevato antarāyāya.	1	
PA_bu-vb_pc68:1.14	Appassādā kāmā vuttā bhagavatā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo.	1	
PA_bu-vb_pc68:1.15	Aṭṭhikaṅkalūpamā kāmā vuttā bhagavatā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo.	1	
PA_bu-vb_pc68:1.16	Maṁsapesūpamā kāmā vuttā bhagavatā …pe…	1	
PA_bu-vb_pc68:1.17	tiṇukkūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.18	aṅgārakāsūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.19	supinakūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.20	yācitakūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.21	rukkhaphalūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.22	asisūnūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.23	sattisūlūpamā kāmā vuttā bhagavatā …	1	
PA_bu-vb_pc68:1.24	sappasirūpamā kāmā vuttā bhagavatā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo”ti.	1	
PA_bu-vb_pc68:1.25	Evampi kho ariṭṭho bhikkhu gaddhabādhipubbo tehi bhikkhūhi vuccamāno tatheva taṁ pāpakaṁ diṭṭhigataṁ thāmasā parāmāsā abhinivissa voharati—	1	
PA_bu-vb_pc68:1.26	“evaṁ byā kho ahaṁ, āvuso, bhagavatā dhammaṁ desitaṁ ājānāmi— ‘yathā yeme antarāyikā dhammā vuttā bhagavatā, te paṭisevato nālaṁ antarāyāyā’”ti.	1	
PA_bu-vb_pc68:1.27_0	Yato ca kho te bhikkhū nāsakkhiṁsu ariṭṭhaṁ bhikkhuṁ gaddhabādhipubbaṁ etasmā pāpakā	1	
PA_bu-vb_pc68:1.27_1	diṭṭhigatā vivecetuṁ, atha kho te bhikkhū yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā	1	
PA_bu-vb_pc68:1.27_2	bhagavato etamatthaṁ ārocesuṁ.	1	
PA_bu-vb_pc68:1.28	Atha kho bhagavā etasmiṁ nidāne etasmiṁ pakaraṇe bhikkhusaṅghaṁ sannipātāpetvā ariṭṭhaṁ bhikkhuṁ gaddhabādhipubbaṁ paṭipucchi—	1	
PA_bu-vb_pc68:1.29	“saccaṁ kira te, ariṭṭha, evarūpaṁ pāpakaṁ diṭṭhigataṁ uppannaṁ—	1	
PA_bu-vb_pc68:1.30	‘tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi yathā yeme antarāyikā dhammā vuttā bhagavatā te paṭisevato nālaṁ antarāyāyā’”ti?	1	
PA_bu-vb_pc68:1.31	“Evaṁ byā kho ahaṁ, bhante, bhagavatā dhammaṁ desitaṁ ājānāmi— ‘yathā yeme antarāyikā dhammā vuttā bhagavatā te paṭisevato nālaṁ antarāyāyā’”ti.	1	
PA_bu-vb_pc68:1.32	Kassa nu kho nāma tvaṁ, moghapurisa, mayā evaṁ dhammaṁ desitaṁ ājānāsi?	1	
PA_bu-vb_pc68:1.33	Nanu mayā, moghapurisa, anekapariyāyena antarāyikā dhammā antarāyikā vuttā. Alañca pana te paṭisevato antarāyāya.	1	
PA_bu-vb_pc68:1.34	Appassādā kāmā vuttā mayā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo.	1	
PA_bu-vb_pc68:1.35	Aṭṭhikaṅkalūpamā kāmā vuttā mayā …pe…	1	
PA_bu-vb_pc68:1.36	maṁsapesūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.37	tiṇukkūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.38	aṅgārakāsūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.39	supinakūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.40	yācitakūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.41	rukkhaphalūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.42	asisūnūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.43	sattisūlūpamā kāmā vuttā mayā …	1	
PA_bu-vb_pc68:1.44	sappasirūpamā kāmā vuttā mayā bahudukkhā bahupāyāsā, ādīnavo ettha bhiyyo.	1	
PA_bu-vb_pc68:1.45	Atha ca pana tvaṁ, moghapurisa, attanā duggahitena amhe ceva abbhācikkhasi, attānañca khaṇasi, bahuñca apuññaṁ pasavasi.	1	
PA_bu-vb_pc68:1.46	Tañhi te, moghapurisa, bhavissati dīgharattaṁ ahitāya dukkhāya.	1	
PA_bu-vb_pc68:1.47	Netaṁ, moghapurisa, appasannānaṁ vā pasādāya …pe…	1	
PA_bu-vb_pc68:1.48	evañca pana, bhikkhave, imaṁ sikkhāpadaṁ uddiseyyātha—	1	
PA_bu-vb_pc68:1.49.1	“Yo pana bhikkhu evaṁ vadeyya—	1	
PA_bu-vb_pc68:1.50	‘tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi, yathā yeme antarāyikā dhammā vuttā bhagavatā, te paṭisevato nālaṁ antarāyāyā’ti	1	
PA_bu-vb_pc68:1.51	so bhikkhu bhikkhūhi evamassa vacanīyo—	1	
PA_bu-vb_pc68:1.52	‘māyasmā evaṁ avaca, mā bhagavantaṁ abbhācikkhi, na hi sādhu bhagavato abbhakkhānaṁ, na hi bhagavā evaṁ vadeyya,	1	
PA_bu-vb_pc68:1.53	anekapariyāyenāvuso, antarāyikā dhammā antarāyikā vuttā bhagavatā, alañca pana te paṭisevato antarāyāyā’ti.	1	
PA_bu-vb_pc68:1.54	Evañca so bhikkhu bhikkhūhi vuccamāno tatheva paggaṇheyya, so bhikkhu bhikkhūhi yāvatatiyaṁ samanubhāsitabbo tassa paṭinissaggāya.	1	
PA_bu-vb_pc68:1.55	Yāvatatiyañce samanubhāsiyamāno taṁ paṭinissajjeyya, iccetaṁ kusalaṁ,	1	
PA_bu-vb_pc68:1.56	no ce paṭinissajjeyya, pācittiyan”ti.	1	
PA_bu-vb_pc68:2.1.1	Yo panāti	2	
PA_bu-vb_pc68:2.1.2	yo yādiso …pe…	2	
PA_bu-vb_pc68:2.1.3	bhikkhūti	2	
PA_bu-vb_pc68:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippeto bhikkhūti.	2	
PA_bu-vb_pc68:2.1.5	Evaṁ vadeyyāti—	2	
PA_bu-vb_pc68:2.1.6	“tathāhaṁ bhagavatā dhammaṁ desitaṁ ājānāmi, yathā yeme antarāyikā dhammā vuttā bhagavatā te paṭisevato nālaṁ antarāyāyā”ti.	2	
PA_bu-vb_pc68:2.1.7	So bhikkhūti	2	
PA_bu-vb_pc68:2.1.8	yo so evaṁvādī bhikkhu.	2	
PA_bu-vb_pc68:2.1.9	Bhikkhūhīti	2	
PA_bu-vb_pc68:2.1.10	aññehi bhikkhūhi. Ye passanti ye suṇanti tehi vattabbo—	2	
