segmentnr	original	analyzed
PA_bu-vb_pc81:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_bu-vb_pc81:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_bu-vb_pc81:0.3	Pācittiyakaṇḍa	▁pācittiy akaṇḍ a
PA_bu-vb_pc81:0.4	Sahadhammikavagga	▁saha dhamm ika vagga
PA_bu-vb_pc81:0.5	81. Dubbalasikkhāpada	▁ dubbal asikkhāpad a
PA_bu-vb_pc81:1.1	Tena samayena buddho bhagavā rājagahe viharati veḷuvane kalandakanivāpe.	▁tena ▁samayena ▁buddho ▁bhagavā ▁rājagah e ▁viharati ▁veḷu vane ▁ka la nd aka ni vā pe
PA_bu-vb_pc81:1.2	Tena kho pana samayena āyasmā dabbo mallaputto saṅghassa senāsanañca paññapeti bhattāni ca uddisati.	▁tena ▁kho ▁pana ▁samayena ▁āyasmā ▁dabb o ▁mall aputto ▁saṃghassa ▁senāsan añca ▁paññap eti ▁bhatt āni ▁ca ▁uddis ati
PA_bu-vb_pc81:1.3	So cāyasmā dubbalacīvaro hoti.	▁so ▁cā y asmā ▁ dubbal acīvar o ▁hoti
PA_bu-vb_pc81:1.4	Tena kho pana samayena saṅghassa ekaṁ cīvaraṁ uppannaṁ hoti.	▁tena ▁kho ▁pana ▁samayena ▁saṃghassa ▁ekaṃ ▁cīvaraṃ ▁uppann aṃ ▁hoti
PA_bu-vb_pc81:1.5	Atha kho saṅgho taṁ cīvaraṁ āyasmato dabbassa mallaputtassa adāsi.	▁atha ▁kho ▁saṃgho ▁taṃ ▁cīvaraṃ ▁āyasmato ▁dabb assa ▁mall a putt assa ▁adāsi
PA_bu-vb_pc81:1.6	Chabbaggiyā bhikkhū ujjhāyanti khiyyanti vipācenti—	▁chabbaggiyā ▁bhikkhū ▁ujjhāy anti ▁khiyyanti ▁vi pā c enti
PA_bu-vb_pc81:1.7	“yathāsanthutaṁ bhikkhū saṅghikaṁ lābhaṁ pariṇāmentī”ti.	▁yathā sant hut aṃ ▁bhikkhū ▁saṃghik aṃ ▁lābh aṃ ▁ pariṇām entīti
PA_bu-vb_pc81:1.8	Ye te bhikkhū appicchā …pe… te ujjhāyanti khiyyanti vipācenti—	▁ye ▁te ▁bhikkhū ▁appicch ā ▁pe ▁te ▁ujjhāy anti ▁khiyyanti ▁vi pā c enti
PA_bu-vb_pc81:1.9	“kathañhi nāma chabbaggiyā bhikkhū samaggena saṅghena cīvaraṁ datvā pacchā khīyanadhammaṁ āpajjissantī”ti …pe…	▁kathañhi ▁nāma ▁chabbaggiyā ▁bhikkhū ▁samagg ena ▁saṃgh ena ▁cīvaraṃ ▁datvā ▁pacchā ▁kh ī yan adhamm aṃ ▁āpajj issantīti ▁pe
PA_bu-vb_pc81:1.10	“saccaṁ kira tumhe, bhikkhave, samaggena saṅghena cīvaraṁ datvā pacchā khīyanadhammaṁ āpajjathā”ti?	▁saccaṃ ▁kira ▁tumhe ▁bhikkhave ▁samagg ena ▁saṃgh ena ▁cīvaraṃ ▁datvā ▁pacchā ▁kh ī yan adhamm aṃ ▁āpajj athāti
PA_bu-vb_pc81:1.11	“Saccaṁ, bhagavā”ti.	▁saccaṃ ▁bhagavā ti
PA_bu-vb_pc81:1.12	Vigarahi buddho bhagavā …pe…	▁vi ga ra hi ▁buddho ▁bhagavā ▁pe
