segmentnr	original	folio	analyzed
PA_bu-vb_pj1:0.1	Theravāda Vinaya	0	
PA_bu-vb_pj1:0.2	Mahāvibhaṅga	0	
PA_bu-vb_pj1:0.3	Pārājikakaṇḍa	0	
PA_bu-vb_pj1:0.4	1. Paṭhamapārājikasikkhāpada	0	
PA_bu-vb_pj1:1.0.1	Namo tassa Bhagavato Arahato Sammāsambuddhassa.	1	
PA_bu-vb_pj1:1.0.2	Verañjakaṇḍa	1	
PA_bu-vb_pj1:1.1.1	Tena samayena buddho bhagavā verañjāyaṁ viharati naḷerupucimandamūle mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi.	1	
PA_bu-vb_pj1:1.1.2	Assosi kho verañjo brāhmaṇo—	1	
PA_bu-vb_pj1:1.1.3	“samaṇo khalu bho gotamo sakyaputto sakyakulā pabbajito verañjāyaṁ viharati naḷerupucimandamūle mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi.	1	
PA_bu-vb_pj1:1.1.4	Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato—	1	
PA_bu-vb_pj1:1.1.5	‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’,	1	
PA_bu-vb_pj1:1.1.6	so imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti,	1	
PA_bu-vb_pj1:1.1.7	so dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ sātthaṁ sabyañjanaṁ; kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti;	1	
PA_bu-vb_pj1:1.1.8	sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī”ti.	1	
PA_bu-vb_pj1:1.2.1_0	Atha kho verañjo brāhmaṇo yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā saddhiṁ	1	
PA_bu-vb_pj1:1.2.1_1	sammodi. Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinno	1	
PA_bu-vb_pj1:1.2.1_2	kho verañjo brāhmaṇo bhagavantaṁ etadavoca—	1	
PA_bu-vb_pj1:1.2.2	“sutaṁ metaṁ, bho gotama—	1	
PA_bu-vb_pj1:1.2.3	‘na samaṇo gotamo brāhmaṇe jiṇṇe vuḍḍhe mahallake addhagate vayoanuppatte abhivādeti vā paccuṭṭheti vā āsanena vā nimantetī’ti.	1	
PA_bu-vb_pj1:1.2.4	Tayidaṁ, bho gotama, tatheva? Na hi bhavaṁ gotamo brāhmaṇe jiṇṇe vuḍḍhe mahallake addhagate vayoanuppatte abhivādeti vā paccuṭṭheti vā āsanena vā nimanteti?	1	
PA_bu-vb_pj1:1.2.5	Tayidaṁ, bho gotama, na sampannamevā”ti.	1	
PA_bu-vb_pj1:1.2.6	“Nāhaṁ taṁ, brāhmaṇa, passāmi sadevake loke samārake sabrahmake sassamaṇabrāhmaṇiyā pajāya sadevamanussāya yamahaṁ abhivādeyyaṁ vā paccuṭṭheyyaṁ vā āsanena vā nimanteyyaṁ.	1	
PA_bu-vb_pj1:1.2.7	Yañhi, brāhmaṇa, tathāgato abhivādeyya vā paccuṭṭheyya vā āsanena vā nimanteyya, muddhāpi tassa vipateyyā”ti.	1	
PA_bu-vb_pj1:1.3.1	“Arasarūpo bhavaṁ gotamo”ti?	1	
PA_bu-vb_pj1:1.3.2	“Atthi khvesa, brāhmaṇa, pariyāyo yena maṁ pariyāyena sammā vadamāno vadeyya—‘arasarūpo samaṇo gotamo’ti.	1	
PA_bu-vb_pj1:1.3.3	Ye te, brāhmaṇa, rūparasā saddarasā gandharasā rasarasā phoṭṭhabbarasā, te tathāgatassa pahīnā ucchinnamūlā tālāvatthukatā anabhāvaṅkatā āyatiṁ anuppādadhammā.	1	
PA_bu-vb_pj1:1.3.4	Ayaṁ kho, brāhmaṇa, pariyāyo yena maṁ pariyāyena sammā vadamāno vadeyya—‘arasarūpo samaṇo gotamo’ti, no ca kho yaṁ tvaṁ sandhāya vadesī”ti.	1	
PA_bu-vb_pj1:1.3.5	“Nibbhogo bhavaṁ gotamo”ti?	1	
