segmentnr	original	analyzed
PA_bu-vb_sk6:0.1	Theravāda Vinaya	▁ther a vād a ▁vinay a
PA_bu-vb_sk6:0.2	Mahāvibhaṅga	▁mahā vibhaṃg a
PA_bu-vb_sk6:0.3	Sekhiyakaṇḍa	▁sekh iy akaṇḍ a
PA_bu-vb_sk6:0.4	Parimaṇḍalavagga	▁pari maṇḍal avagga
PA_bu-vb_sk6:0.5	6. Dutiyasusaṁvutasikkhāpada	▁dutiy a su saṃ vut asikkhāpad a
PA_bu-vb_sk6:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁tena ▁samayena ▁buddho ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_bu-vb_sk6:1.2	Tena kho pana samayena chabbaggiyā bhikkhū hatthampi pādampi kīḷāpentā antaraghare nisīdanti …pe….	▁tena ▁kho ▁pana ▁samayena ▁chabbaggiyā ▁bhikkhū ▁hatth ampi ▁pād ampi ▁kīḷ āpent ā ▁ antara ghar e ▁nisīd anti ▁pe
PA_bu-vb_sk6:1.3.1	“Susaṁvuto antaraghare nisīdissāmīti sikkhā karaṇīyā”ti.	▁su saṃ vut o ▁ antara ghar e ▁nisīd issāmīti ▁sikkhā ▁ karaṇīy āti
PA_bu-vb_sk6:1.4	Susaṁvutena antaraghare nisīditabbaṁ.	▁su saṃ vut ena ▁ antara ghar e ▁nisīd itabbaṃ
PA_bu-vb_sk6:1.5	Yo anādariyaṁ paṭicca hatthaṁ vā pādaṁ vā kīḷāpento antaraghare nisīdati, āpatti dukkaṭassa.	▁yo ▁anādar iyaṃ ▁paṭicca ▁hatth aṃ ▁vā ▁pād aṃ ▁vā ▁kīḷ āpent o ▁ antara ghar e ▁nisīd ati ▁āpatti ▁dukkaṭassa
PA_bu-vb_sk6:1.6.1	Anāpatti—	▁anāpatti
PA_bu-vb_sk6:1.7	asañcicca,	▁as a ñc icc a
PA_bu-vb_sk6:1.8	assatiyā,	▁ assa ti yā
PA_bu-vb_sk6:1.9	ajānantassa,	▁ajānant assa
PA_bu-vb_sk6:1.10	gilānassa,	▁gilān assa
PA_bu-vb_sk6:1.11	ummattakassa,	▁ummattak assa
PA_bu-vb_sk6:1.12	ādikammikassāti.	▁ādi kamm i k assāti
PA_bu-vb_sk6:1.13	Chaṭṭhasikkhāpadaṁ niṭṭhitaṁ.	▁chaṭṭh asikkhāpad aṃ ▁niṭṭhitaṃ
