segmentnr	original	folio	analyzed
PA_bu-vb_sk65:0.1	Theravāda Vinaya	0	
PA_bu-vb_sk65:0.2	Mahāvibhaṅga	0	
PA_bu-vb_sk65:0.3	Sekhiyakaṇḍa	0	
PA_bu-vb_sk65:0.4	Pādukavagga	0	
PA_bu-vb_sk65:0.5	65. Pallatthikasikkhāpada	0	
PA_bu-vb_sk65:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_bu-vb_sk65:1.2	Tena kho pana samayena chabbaggiyā bhikkhū pallatthikāya nisinnassa dhammaṁ desenti …pe….	1	
PA_bu-vb_sk65:1.3.1	“Na pallatthikāya nisinnassa agilānassa dhammaṁ desessāmīti sikkhā karaṇīyā”ti.	1	
PA_bu-vb_sk65:1.4	Na pallatthikāya nisinnassa agilānassa dhammo desetabbo.	1	
PA_bu-vb_sk65:1.5	Yo anādariyaṁ paṭicca hatthapallatthikāya vā dussapallatthikāya vā nisinnassa agilānassa dhammaṁ deseti, āpatti dukkaṭassa.	1	
PA_bu-vb_sk65:1.6.1	Anāpatti—	1	
PA_bu-vb_sk65:1.7.1	asañcicca …pe…	1	
PA_bu-vb_sk65:1.8	ādikammikassāti.	1	
PA_bu-vb_sk65:1.9	Pañcamasikkhāpadaṁ niṭṭhitaṁ.	1	
