segmentnr	original	folio	analyzed
PA_bv_13:0.1	Buddhavaṁsa	0	
PA_bv_13:0.2	13. Sumedhabuddhavaṁsa	0	
PA_bv_13:1.1	“Padumuttarassa aparena,	1	
PA_bv_13:1.2	Sumedho nāma nāyako;	1	
PA_bv_13:1.3	Durāsado uggatejo,	1	
PA_bv_13:1.4	Sabbalokuttamo muni.	1	
PA_bv_13:2.1	Pasannanetto sumukho,	2	
PA_bv_13:2.2	brahā uju patāpavā;	2	
PA_bv_13:2.3	Hitesī sabbasattānaṁ,	2	
PA_bv_13:2.4	bahū mocesi bandhanā.	2	
PA_bv_13:3.1	Yadā buddho pāpuṇitvā,	3	
PA_bv_13:3.2	kevalaṁ bodhimuttamaṁ;	3	
PA_bv_13:3.3	Sudassanamhi nagare,	3	
PA_bv_13:3.4	dhammacakkaṁ pavattayi.	3	
PA_bv_13:4.1	Tassāpi abhisamayā tīṇi,	4	
PA_bv_13:4.2	Ahesuṁ dhammadesane;	4	
PA_bv_13:4.3	Koṭisatasahassānaṁ,	4	
PA_bv_13:4.4	Paṭhamābhisamayo ahu.	4	
PA_bv_13:5.1	Punāparaṁ kumbhakaṇṇaṁ,	5	
PA_bv_13:5.2	yakkhaṁ so damayī jino;	5	
PA_bv_13:5.3	Navutikoṭisahassānaṁ,	5	
PA_bv_13:5.4	dutiyābhisamayo ahu.	5	
PA_bv_13:6.1	Punāparaṁ amitayaso,	6	
PA_bv_13:6.2	catusaccaṁ pakāsayi;	6	
PA_bv_13:6.3	Asītikoṭisahassānaṁ,	6	
PA_bv_13:6.4	tatiyābhisamayo ahu.	6	
PA_bv_13:7.1	Sannipātā tayo āsuṁ,	7	
PA_bv_13:7.2	sumedhassa mahesino;	7	
PA_bv_13:7.3	Khīṇāsavānaṁ vimalānaṁ,	7	
PA_bv_13:7.4	santacittāna tādinaṁ.	7	
PA_bv_13:8.1	Sudassanaṁ nāma nagaraṁ,	8	
PA_bv_13:8.2	upagañchi jino yadā;	8	
PA_bv_13:8.3	Tadā khīṇāsavā bhikkhū,	8	
PA_bv_13:8.4	samiṁsu satakoṭiyo.	8	
PA_bv_13:9.1	Punāparaṁ devakūṭe,	9	
PA_bv_13:9.2	bhikkhūnaṁ kathinatthate;	9	
PA_bv_13:9.3	Tadā navutikoṭīnaṁ,	9	
PA_bv_13:9.4	dutiyo āsi samāgamo.	9	
PA_bv_13:10.1	Punāparaṁ dasabalo,	10	
PA_bv_13:10.2	yadā carati cārikaṁ;	10	
PA_bv_13:10.3	Tadā asītikoṭīnaṁ,	10	
PA_bv_13:10.4	tatiyo āsi samāgamo.	10	
PA_bv_13:11.1	Ahaṁ tena samayena,	11	
PA_bv_13:11.2	uttaro nāma māṇavo;	11	
PA_bv_13:11.3	Asītikoṭiyo mayhaṁ,	11	
PA_bv_13:11.4	ghare sannicitaṁ dhanaṁ.	11	
PA_bv_13:12.1	Kevalaṁ sabbaṁ datvāna,	12	
PA_bv_13:12.2	sasaṅghe lokanāyake;	12	
PA_bv_13:12.3	Saraṇaṁ tassupagañchiṁ,	12	
PA_bv_13:12.4	pabbajjañcābhirocayiṁ.	12	
PA_bv_13:13.1	Sopi maṁ buddho byākāsi,	13	
PA_bv_13:13.2	karonto anumodanaṁ;	13	
PA_bv_13:13.3	‘Tiṁsakappasahassamhi,	13	
PA_bv_13:13.4	ayaṁ buddho bhavissati.	13	
PA_bv_13:14.1	Padhānaṁ padahitvāna,	14	
PA_bv_13:14.2	…pe…	14	
PA_bv_13:14.3	hessāma sammukhā imaṁ’.	14	
PA_bv_13:15.1	Tassāpi vacanaṁ sutvā,	15	
PA_bv_13:15.2	bhiyyo cittaṁ pasādayiṁ;	15	
PA_bv_13:15.3	Uttariṁ vatamadhiṭṭhāsiṁ,	15	
PA_bv_13:15.4	dasapāramipūriyā.	15	
PA_bv_13:16.1	Suttantaṁ vinayañcāpi,	16	
PA_bv_13:16.2	navaṅgaṁ satthusāsanaṁ;	16	
PA_bv_13:16.3	Sabbaṁ pariyāpuṇitvāna,	16	
PA_bv_13:16.4	sobhayiṁ jinasāsanaṁ.	16	
PA_bv_13:17.1	Tatthappamatto viharanto,	17	
PA_bv_13:17.2	Nisajjaṭṭhānacaṅkame;	17	
PA_bv_13:17.3	Abhiññāsu pāramiṁ gantvā,	17	
PA_bv_13:17.4	Brahmalokamagañchahaṁ.	17	
PA_bv_13:18.1	Sudassanaṁ nāma nagaraṁ,	18	
PA_bv_13:18.2	sudatto nāma khattiyo;	18	
PA_bv_13:18.3	Sudattā nāma janikā,	18	
PA_bv_13:18.4	sumedhassa mahesino.	18	
PA_bv_13:19.1	Navavassasahassāni,	19	
PA_bv_13:19.2	Agāraṁ ajjha so vasi;	19	
PA_bv_13:19.3	Sucandakañcanasirivaḍḍhā,	19	
PA_bv_13:19.4	Tayo pāsādamuttamā.	19	
PA_bv_13:20.1	Tisoḷasasahassāni,	20	
PA_bv_13:20.2	nāriyo samalaṅkatā;	20	
PA_bv_13:20.3	Sumanā nāma sā nārī,	20	
PA_bv_13:20.4	punabbasu nāma atrajo.	20	
PA_bv_13:21.1	Nimitte caturo disvā,	21	
PA_bv_13:21.2	hatthiyānena nikkhami;	21	
PA_bv_13:21.3	Anūnakaṁ aḍḍhamāsaṁ,	21	
PA_bv_13:21.4	padhānaṁ padahī jino.	21	
PA_bv_13:22.1	Brahmunā yācito santo,	22	
PA_bv_13:22.2	sumedho lokanāyako;	22	
PA_bv_13:22.3	Vatti cakkaṁ mahāvīro,	22	
PA_bv_13:22.4	sudassanuyyānamuttame.	22	
PA_bv_13:23.1	Saraṇo sabbakāmo ca,	23	
PA_bv_13:23.2	ahesuṁ aggasāvakā;	23	
PA_bv_13:23.3	Sāgaro nāmupaṭṭhāko,	23	
PA_bv_13:23.4	sumedhassa mahesino.	23	
PA_bv_13:24.1	Rāmā ceva surāmā ca,	24	
PA_bv_13:24.2	ahesuṁ aggasāvikā;	24	
PA_bv_13:24.3	Bodhi tassa bhagavato,	24	
PA_bv_13:24.4	mahānīpoti vuccati.	24	
PA_bv_13:25.1	Uruvelā yasavā ca,	25	
PA_bv_13:25.2	ahesuṁ aggupaṭṭhakā;	25	
