segmentnr	original	folio	analyzed
PA_dn_3:0.1	Dīgha Nikāya 3	0	
PA_dn_3:0.2	Ambaṭṭhasutta	0	
PA_dn_3:1.1.1	Evaṁ me sutaṁ—	1	
PA_dn_3:1.1.2	ekaṁ samayaṁ bhagavā kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi yena icchānaṅgalaṁ nāma kosalānaṁ brāhmaṇagāmo tadavasari.	1	
PA_dn_3:1.1.3	Tatra sudaṁ bhagavā icchānaṅgale viharati icchānaṅgalavanasaṇḍe.	1	
PA_dn_3:1.2.0	1. Pokkharasātivatthu	1	
PA_dn_3:1.2.1	Tena kho pana samayena brāhmaṇo pokkharasāti ukkaṭṭhaṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā pasenadinā kosalena dinnaṁ rājadāyaṁ brahmadeyyaṁ.	1	
PA_dn_3:1.2.2	Assosi kho brāhmaṇo pokkharasāti:	1	
PA_dn_3:1.2.3_0	“samaṇo khalu, bho, gotamo sakyaputto sakyakulā pabbajito kosalesu cārikaṁ caramāno	1	
PA_dn_3:1.2.3_1	mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi icchānaṅgalaṁ anuppatto	1	
PA_dn_3:1.2.3_2	icchānaṅgale viharati icchānaṅgalavanasaṇḍe.	1	
PA_dn_3:1.2.4	Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato—	1	
PA_dn_3:1.2.5	‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā.’	1	
PA_dn_3:1.2.6	So imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti.	1	
PA_dn_3:1.2.7	So dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ, sātthaṁ sabyañjanaṁ, kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti.	1	
PA_dn_3:1.2.8	Sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī”ti.	1	
PA_dn_3:1.3.0	2. Ambaṭṭhamāṇava	1	
PA_dn_3:1.3.1_0	Tena kho pana samayena brāhmaṇassa pokkharasātissa ambaṭṭho nāma māṇavo antevāsī	1	
PA_dn_3:1.3.1_1	hoti ajjhāyako mantadharo tiṇṇaṁ vedānaṁ pāragū sanighaṇḍukeṭubhānaṁ sākkharappabhedānaṁ	1	
PA_dn_3:1.3.1_2	itihāsapañcamānaṁ padako veyyākaraṇo lokāyatamahāpurisalakkhaṇesu anavayo anuññātapaṭiññāto	1	
PA_dn_3:1.3.1_3	sake ācariyake tevijjake pāvacane:	1	
PA_dn_3:1.3.2	“yamahaṁ jānāmi taṁ tvaṁ jānāsi;	1	
PA_dn_3:1.3.3	yaṁ tvaṁ jānāsi tamahaṁ jānāmī”ti.	1	
PA_dn_3:1.4.1	Atha kho brāhmaṇo pokkharasāti ambaṭṭhaṁ māṇavaṁ āmantesi:	1	
PA_dn_3:1.4.2_0	“ayaṁ, tāta ambaṭṭha, samaṇo gotamo sakyaputto sakyakulā pabbajito kosalesu cārikaṁ	1	
PA_dn_3:1.4.2_1	caramāno mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi icchānaṅgalaṁ	1	
PA_dn_3:1.4.2_2	anuppatto icchānaṅgale viharati icchānaṅgalavanasaṇḍe.	1	
PA_dn_3:1.4.3	Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato:	1	
PA_dn_3:1.4.4	‘itipi so bhagavā, arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā.	1	
PA_dn_3:1.4.5	So imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti.	1	
PA_dn_3:1.4.6	So dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ, sātthaṁ sabyañjanaṁ kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti.	1	
PA_dn_3:1.4.7	Sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī’ti.	1	
PA_dn_3:1.4.8	Ehi tvaṁ, tāta ambaṭṭha, yena samaṇo gotamo tenupasaṅkama; upasaṅkamitvā samaṇaṁ gotamaṁ jānāhi, yadi vā taṁ bhavantaṁ gotamaṁ tathāsantaṁyeva saddo abbhuggato, yadi vā no tathā.	1	
PA_dn_3:1.4.9	Yadi vā so bhavaṁ gotamo tādiso, yadi vā na tādiso, tathā mayaṁ taṁ bhavantaṁ gotamaṁ vedissāmā”ti.	1	
PA_dn_3:1.5.1_0	“Yathā kathaṁ panāhaṁ, bho, taṁ bhavantaṁ gotamaṁ jānissāmi: ‘yadi vā taṁ bhavantaṁ	1	
PA_dn_3:1.5.1_1	gotamaṁ tathāsantaṁyeva saddo abbhuggato, yadi vā no tathā. Yadi vā so bhavaṁ gotamo	1	
PA_dn_3:1.5.1_2	tādiso, yadi vā na tādiso’”ti?	1	
PA_dn_3:1.5.2	“Āgatāni kho, tāta ambaṭṭha, amhākaṁ mantesu dvattiṁsa mahāpurisalakkhaṇāni, yehi samannāgatassa mahāpurisassa dveyeva gatiyo bhavanti anaññā.	1	
PA_dn_3:1.5.3	Sace agāraṁ ajjhāvasati, rājā hoti cakkavattī dhammiko dhammarājā cāturanto vijitāvī janapadatthāvariyappatto sattaratanasamannāgato.	1	
PA_dn_3:1.5.4	Tassimāni satta ratanāni bhavanti.	1	
PA_dn_3:1.5.5	Seyyathidaṁ—cakkaratanaṁ, hatthiratanaṁ, assaratanaṁ, maṇiratanaṁ, itthiratanaṁ, gahapatiratanaṁ, pariṇāyakaratanameva sattamaṁ.	1	
PA_dn_3:1.5.6	Parosahassaṁ kho panassa puttā bhavanti sūrā vīraṅgarūpā parasenappamaddanā.	1	
PA_dn_3:1.5.7	So imaṁ pathaviṁ sāgarapariyantaṁ adaṇḍena asatthena dhammena abhivijiya ajjhāvasati.	1	
PA_dn_3:1.5.8	Sace kho pana agārasmā anagāriyaṁ pabbajati, arahaṁ hoti sammāsambuddho loke vivaṭṭacchado.	1	
PA_dn_3:1.5.9	Ahaṁ kho pana, tāta ambaṭṭha, mantānaṁ dātā;	1	
PA_dn_3:1.5.10	tvaṁ mantānaṁ paṭiggahetā”ti.	1	
PA_dn_3:1.6.1_0	“Evaṁ, bho”ti kho ambaṭṭho māṇavo brāhmaṇassa pokkharasātissa paṭissutvā uṭṭhāyāsanā	1	
PA_dn_3:1.6.1_1	brāhmaṇaṁ pokkharasātiṁ abhivādetvā padakkhiṇaṁ katvā vaḷavārathamāruyha sambahulehi	1	
PA_dn_3:1.6.1_2	māṇavakehi saddhiṁ yena icchānaṅgalavanasaṇḍo tena pāyāsi.	1	
PA_dn_3:1.6.2	Yāvatikā yānassa bhūmi yānena gantvā yānā paccorohitvā pattikova ārāmaṁ pāvisi.	1	
PA_dn_3:1.7.1	Tena kho pana samayena sambahulā bhikkhū abbhokāse caṅkamanti.	1	
PA_dn_3:1.7.2	Atha kho ambaṭṭho māṇavo yena te bhikkhū tenupasaṅkami; upasaṅkamitvā te bhikkhū etadavoca:	1	
PA_dn_3:1.7.3	“kahaṁ nu kho, bho, etarahi so bhavaṁ gotamo viharati?	1	
PA_dn_3:1.7.4	Tañhi mayaṁ bhavantaṁ gotamaṁ dassanāya idhūpasaṅkantā”ti.	1	
PA_dn_3:1.8.1	Atha kho tesaṁ bhikkhūnaṁ etadahosi:	1	
PA_dn_3:1.8.2	“ayaṁ kho ambaṭṭho māṇavo abhiññātakolañño ceva abhiññātassa ca brāhmaṇassa pokkharasātissa antevāsī.	1	
PA_dn_3:1.8.3	Agaru kho pana bhagavato evarūpehi kulaputtehi saddhiṁ kathāsallāpo hotī”ti.	1	
PA_dn_3:1.8.4	Te ambaṭṭhaṁ māṇavaṁ etadavocuṁ:	1	
PA_dn_3:1.8.5	“eso, ambaṭṭha, vihāro saṁvutadvāro, tena appasaddo upasaṅkamitvā ataramāno āḷindaṁ pavisitvā ukkāsitvā aggaḷaṁ ākoṭehi, vivarissati te bhagavā dvāran”ti.	1	
PA_dn_3:1.9.1	Atha kho ambaṭṭho māṇavo yena so vihāro saṁvutadvāro, tena appasaddo upasaṅkamitvā ataramāno āḷindaṁ pavisitvā ukkāsitvā aggaḷaṁ ākoṭesi. Vivari bhagavā dvāraṁ.	1	
PA_dn_3:1.9.2	Pāvisi ambaṭṭho māṇavo. Māṇavakāpi pavisitvā bhagavatā saddhiṁ sammodiṁsu, sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdiṁsu.	1	
PA_dn_3:1.9.3	Ambaṭṭho pana māṇavo caṅkamantopi nisinnena bhagavatā kañci kañci kathaṁ sāraṇīyaṁ vītisāreti, ṭhitopi nisinnena bhagavatā kañci kañci kathaṁ sāraṇīyaṁ vītisāreti.	1	
PA_dn_3:1.9.4	Atha kho bhagavā ambaṭṭhaṁ māṇavaṁ etadavoca:	1	
PA_dn_3:1.9.5_0	“evaṁ nu te, ambaṭṭha, brāhmaṇehi vuddhehi mahallakehi ācariyapācariyehi saddhiṁ	1	
PA_dn_3:1.9.5_1	kathāsallāpo hoti, yathayidaṁ caraṁ tiṭṭhaṁ nisinnena mayā kiñci kiñci kathaṁ sāraṇīyaṁ vītisāretī”ti?	1	
PA_dn_3:1.10.0	2.1. Paṭhamaibbhavāda	1	
PA_dn_3:1.10.1	“No hidaṁ, bho gotama.	1	
PA_dn_3:1.10.2_0	Gacchanto vā hi, bho gotama, gacchantena brāhmaṇo brāhmaṇena saddhiṁ sallapitumarahati,	1	
PA_dn_3:1.10.2_1	ṭhito vā hi, bho gotama, ṭhitena brāhmaṇo brāhmaṇena saddhiṁ sallapitumarahati, nisinno	1	
PA_dn_3:1.10.2_2	vā hi, bho gotama, nisinnena brāhmaṇo brāhmaṇena saddhiṁ sallapitumarahati, sayāno	1	
PA_dn_3:1.10.2_3	vā hi, bho gotama, sayānena brāhmaṇo brāhmaṇena saddhiṁ sallapitumarahati.	1	
PA_dn_3:1.10.3	Ye ca kho te, bho gotama, muṇḍakā samaṇakā ibbhā kaṇhā bandhupādāpaccā, tehipi me saddhiṁ evaṁ kathāsallāpo hoti, yathariva bhotā gotamenā”ti.	1	
PA_dn_3:1.11.1	“Atthikavato kho pana te, ambaṭṭha, idhāgamanaṁ ahosi, yāyeva kho panatthāya āgaccheyyātha, tameva atthaṁ sādhukaṁ manasi kareyyātha.	1	
PA_dn_3:1.11.2	Avusitavāyeva kho pana, bho, ayaṁ ambaṭṭho māṇavo vusitamānī kimaññatra avusitattā”ti.	1	
PA_dn_3:1.12.1	Atha kho ambaṭṭho māṇavo bhagavatā avusitavādena vuccamāno kupito anattamano bhagavantaṁyeva khuṁsento bhagavantaṁyeva vambhento bhagavantaṁyeva upavadamāno:	1	
PA_dn_3:1.12.2	“samaṇo ca me bho gotamo pāpito bhavissatī”ti bhagavantaṁ etadavoca:	1	
PA_dn_3:1.12.3	“caṇḍā, bho gotama, sakyajāti;	1	
PA_dn_3:1.12.4	pharusā, bho gotama, sakyajāti;	1	
PA_dn_3:1.12.5	lahusā, bho gotama, sakyajāti;	1	
PA_dn_3:1.12.6	bhassā, bho gotama, sakyajāti;	1	
PA_dn_3:1.12.7	ibbhā santā ibbhā samānā na brāhmaṇe sakkaronti, na brāhmaṇe garuṁ karonti, na brāhmaṇe mānenti, na brāhmaṇe pūjenti, na brāhmaṇe apacāyanti.	1	
PA_dn_3:1.12.8_0	Tayidaṁ, bho gotama, nacchannaṁ, tayidaṁ nappatirūpaṁ, yadime sakyā ibbhā santā ibbhā	1	
PA_dn_3:1.12.8_1	samānā na brāhmaṇe sakkaronti, na brāhmaṇe garuṁ karonti, na brāhmaṇe mānenti, na	1	
PA_dn_3:1.12.8_2	brāhmaṇe pūjenti, na brāhmaṇe apacāyantī”ti.	1	
PA_dn_3:1.12.9	Itiha ambaṭṭho māṇavo idaṁ paṭhamaṁ sakyesu ibbhavādaṁ nipātesi.	1	
PA_dn_3:1.13.0	2.2. Dutiyaibbhavāda	1	
PA_dn_3:1.13.1	“Kiṁ pana te, ambaṭṭha, sakyā aparaddhun”ti?	1	
