segmentnr	original	folio	analyzed
PA_ds_1.3:0.1	Dhammasaṅgaṇī	0	
PA_ds_1.3:0.2	Suttantikadukamātikā	0	
PA_ds_1.3:1.0	1. Vijjābhāgīduka	1	
PA_ds_1.3:1.1	Vijjābhāgino dhammā. (1303)	1	
PA_ds_1.3:2.1	Avijjābhāgino dhammā. (1304)	2	
PA_ds_1.3:3.0	2. Vijjūpamaduka	3	
PA_ds_1.3:3.1	Vijjūpamā dhammā. (1305)	3	
PA_ds_1.3:4.1	Vajirūpamā dhammā. (1306)	4	
PA_ds_1.3:5.0	3. Bāladuka	5	
PA_ds_1.3:5.1	Bālā dhammā. (1307)	5	
PA_ds_1.3:6.1	Paṇḍitā dhammā. (1308)	6	
PA_ds_1.3:7.0	4. Kaṇhaduka	7	
PA_ds_1.3:7.1	Kaṇhā dhammā. (1309)	7	
PA_ds_1.3:8.1	Sukkā dhammā. (1310)	8	
PA_ds_1.3:9.0	5. Tapanīyaduka	9	
PA_ds_1.3:9.1	Tapanīyā dhammā. (1311)	9	
PA_ds_1.3:10.1	Atapanīyā dhammā. (1312)	10	
PA_ds_1.3:11.0	6. Adhivacanaduka	11	
PA_ds_1.3:11.1	Adhivacanā dhammā. (1313)	11	
PA_ds_1.3:12.1	Adhivacanapathā dhammā. (1313)	12	
PA_ds_1.3:13.0	7. Niruttiduka	13	
PA_ds_1.3:13.1	Nirutti dhammā. (1314)	13	
PA_ds_1.3:14.1	Niruttipathā dhammā. (1314)	14	
PA_ds_1.3:15.0	8. Paññattiduka	15	
PA_ds_1.3:15.1	Paññatti dhammā. (1315)	15	
PA_ds_1.3:16.1	Paññattipathā dhammā. (1315)	16	
PA_ds_1.3:17.0	9. Nāmaduka	17	
PA_ds_1.3:17.1	Nāmañca. (1316)	17	
PA_ds_1.3:18.1	Rūpañca. (1317)	18	
PA_ds_1.3:19.0	10. Avijjāduka	19	
PA_ds_1.3:19.1	Avijjā ca. (1318)	19	
PA_ds_1.3:20.1	Bhavataṇhā ca. (1319)	20	
PA_ds_1.3:21.0	11. Bhavadiṭṭhiduka	21	
PA_ds_1.3:21.1	Bhavadiṭṭhi ca. (1320)	21	
PA_ds_1.3:22.1	Vibhavadiṭṭhi ca. (1321)	22	
PA_ds_1.3:23.0	12. Sassatadiṭṭhiduka	23	
PA_ds_1.3:23.1	Sassatadiṭṭhi ca. (1322)	23	
PA_ds_1.3:24.1	Ucchedadiṭṭhi ca. (1323)	24	
PA_ds_1.3:25.0	13. Antavādiṭṭhiduka	25	
PA_ds_1.3:25.1	Antavā diṭṭhi ca. (1324)	25	
PA_ds_1.3:26.1	Anantavā diṭṭhi ca. (1325)	26	
PA_ds_1.3:27.0	14. Pubbantānudiṭṭhiduka	27	
PA_ds_1.3:27.1	Pubbantānudiṭṭhi ca. (1326)	27	
PA_ds_1.3:28.1	Aparantānudiṭṭhi ca. (1327)	28	
PA_ds_1.3:29.0	15. Ahirikaduka	29	
PA_ds_1.3:29.1	Ahirikañca. (1328)	29	
PA_ds_1.3:30.1	Anottappañca. (1329)	30	
PA_ds_1.3:31.0	16. Hiriduka	31	
PA_ds_1.3:31.1	Hirī ca. (1330)	31	
PA_ds_1.3:32.1	Ottappañca. (1331)	32	
PA_ds_1.3:33.0	17. Dovacassatāduka	33	
PA_ds_1.3:33.1	Dovacassatā ca. (1332)	33	
PA_ds_1.3:34.1	Pāpamittatā ca. (1333)	34	
PA_ds_1.3:35.0	18. Sovacassatāduka	35	
PA_ds_1.3:35.1	Sovacassatā ca. (1334)	35	
PA_ds_1.3:36.1	Kalyāṇamittatā ca. (1335)	36	
PA_ds_1.3:37.0	19. Āpattikusalatāduka	37	
PA_ds_1.3:37.1	Āpattikusalatā ca. (1336)	37	
PA_ds_1.3:38.1	Āpattivuṭṭhānakusalatā ca. (1337)	38	
PA_ds_1.3:39.0	20. Samāpattikusalatāduka	39	
PA_ds_1.3:39.1	Samāpattikusalatā ca. (1338)	39	
PA_ds_1.3:40.1	Samāpattivuṭṭhānakusalatā ca. (1339)	40	
PA_ds_1.3:41.0	21. Dhātukusalatāduka	41	
PA_ds_1.3:41.1	Dhātukusalatā ca. (1340)	41	
PA_ds_1.3:42.1	Manasikārakusalatā ca. (1341)	42	
PA_ds_1.3:43.0	22. Āyatanakusalatāduka	43	
PA_ds_1.3:43.1	Āyatanakusalatā ca. (1342)	43	
PA_ds_1.3:44.1	Paṭiccasamuppādakusalatā ca. (1343)	44	
PA_ds_1.3:45.0	23. Ṭhānakusalatāduka	45	
PA_ds_1.3:45.1	Ṭhānakusalatā ca. (1344)	45	
PA_ds_1.3:46.1	Aṭṭhānakusalatā ca. (1345)	46	
PA_ds_1.3:47.0	24. Ajjavaduka	47	
