segmentnr	original	folio	analyzed
PA_ds_2.4.2:0.1	Dhammasaṅgaṇī	0	
PA_ds_2.4.2:0.2	2 Niddesa	0	
PA_ds_2.4.2:0.3	2.4 Aṭṭhakathākaṇḍa	0	
PA_ds_2.4.2:0.4	2.4.2. Dukaatthuddhāra	0	
PA_ds_2.4.2:1.0.1	2.4.2.1. Hetugocchaka	1	
PA_ds_2.4.2:1.0.2	2.4.2.1.1. Hetuduka	1	
PA_ds_2.4.2:1.1	Katame dhammā hetū?	1	
PA_ds_2.4.2:1.2	Tayo kusalahetū, tayo akusalahetū, tayo abyākatahetū.	1	
PA_ds_2.4.2:1.3	Alobho kusalahetu, adoso kusalahetu, catūsu bhūmīsu kusalesu uppajjanti.	1	
PA_ds_2.4.2:1.4	Amoho kusalahetu, kāmāvacarakusalato cattāro ñāṇavippayutte cittuppāde ṭhapetvā, catūsu bhūmīsu kusalesu uppajjati.	1	
PA_ds_2.4.2:2.1	Lobho aṭṭhasu lobhasahagatesu cittuppādesu uppajjati.	2	
PA_ds_2.4.2:2.2	Doso dvīsu domanassasahagatesu cittuppādesu uppajjati.	2	
PA_ds_2.4.2:2.3	Moho sabbākusalesu uppajjati.	2	
PA_ds_2.4.2:3.1	Alobho vipākahetu adoso vipākahetu, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā, catūsu bhūmīsu vipākesu uppajjanti.	3	
PA_ds_2.4.2:3.2	Amoho vipākahetu, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā, cattāro ñāṇavippayutte cittuppāde ṭhapetvā, catūsu bhūmīsu vipākesu uppajjati.	3	
PA_ds_2.4.2:4.1	Alobho kiriyahetu adoso kiriyahetu, kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā, tīsu bhūmīsu kiriyesu uppajjanti.	4	
PA_ds_2.4.2:4.2	Amoho kiriyahetu, kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā, cattāro ñāṇavippayutte cittuppāde ṭhapetvā, tīsu bhūmīsu kiriyesu uppajjati—	4	
PA_ds_2.4.2:4.3	ime dhammā hetū.	4	
PA_ds_2.4.2:5.1	Katame dhammā na hetū?	5	
PA_ds_2.4.2:5.2	Ṭhapetvā hetū, catūsu bhūmīsu kusalaṁ, akusalaṁ, catūsu bhūmīsu vipāko, tīsu bhūmīsu kiriyābyākataṁ, rūpañca, nibbānañca—	5	
PA_ds_2.4.2:5.3	ime dhammā na hetū.	5	
PA_ds_2.4.2:6.0	2.4.2.1.2. Sahetukaduka	6	
PA_ds_2.4.2:6.1	Katame dhammā sahetukā?	6	
PA_ds_2.4.2:6.2_0	Vicikicchāsahagataṁ uddhaccasahagataṁ mohaṁ ṭhapetvā avasesaṁ akusalaṁ, catūsu bhūmīsu	6	
PA_ds_2.4.2:6.2_1	kusalaṁ, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā catūsu bhūmīsu vipāko,	6	
PA_ds_2.4.2:6.2_2	kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā tīsu bhūmīsu kiriyābyākataṁ—	6	
PA_ds_2.4.2:6.3	ime dhammā sahetukā.	6	
PA_ds_2.4.2:7.1	Katame dhammā ahetukā?	7	
PA_ds_2.4.2:7.2	Vicikicchāsahagato moho, uddhaccasahagato moho, dvepañcaviññāṇāni, tisso ca manodhātuyo, pañca ca ahetukamanoviññāṇadhātuyo, rūpañca, nibbānañca—	7	
PA_ds_2.4.2:7.3	ime dhammā ahetukā.	7	
PA_ds_2.4.2:8.0	2.4.2.1.3. Hetusampayuttaduka	8	
PA_ds_2.4.2:8.1	Katame dhammā hetusampayuttā?	8	
PA_ds_2.4.2:8.2_0	Vicikicchāsahagataṁ uddhaccasahagataṁ mohaṁ ṭhapetvā avasesaṁ akusalaṁ, catūsu bhūmīsu	8	
PA_ds_2.4.2:8.2_1	kusalaṁ, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā catūsu bhūmīsu vipāko,	8	
PA_ds_2.4.2:8.2_2	kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā tīsu bhūmīsu kiriyābyākataṁ—	8	
PA_ds_2.4.2:8.3	ime dhammā hetusampayuttā.	8	
PA_ds_2.4.2:9.1	Katame dhammā hetuvippayuttā?	9	
PA_ds_2.4.2:9.2	Vicikicchāsahagato moho, uddhaccasahagato moho, dvepañcaviññāṇāni tisso ca manodhātuyo pañca ca ahetukamanoviññāṇadhātuyo, rūpañca, nibbānañca—	9	
PA_ds_2.4.2:9.3	ime dhammā hetuvippayuttā.	9	
PA_ds_2.4.2:10.0	2.4.2.1.4. Hetusahetukaduka	10	
PA_ds_2.4.2:10.1	Katame dhammā hetū ceva sahetukā ca?	10	
PA_ds_2.4.2:10.2	Yattha dve tayo hetū ekato uppajjanti—	10	
PA_ds_2.4.2:10.3	ime dhammā hetū ceva sahetukā ca.	10	
PA_ds_2.4.2:11.1	Katame dhammā sahetukā ceva na ca hetū?	11	
PA_ds_2.4.2:11.2_0	Catūsu bhūmīsu kusalaṁ, akusalaṁ, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā	11	
PA_ds_2.4.2:11.2_1	catūsu bhūmīsu vipāko, kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā tīsu bhūmīsu	11	
PA_ds_2.4.2:11.2_2	kiriyābyākataṁ, etthuppanne hetū ṭhapetvā—	11	
PA_ds_2.4.2:11.3	ime dhammā sahetukā ceva na ca hetū.	11	
PA_ds_2.4.2:11.4	Ahetukā dhammā na vattabbā—	11	
PA_ds_2.4.2:11.5	hetū ceva sahetukā cātipi, sahetukā ceva na ca hetūtipi.	11	
PA_ds_2.4.2:12.0	2.4.2.1.5. Hetuhetusampayuttaduka	12	
PA_ds_2.4.2:12.1	Katame dhammā hetū ceva hetusampayuttā ca?	12	
PA_ds_2.4.2:12.2	Yattha dve tayo hetū ekato uppajjanti—	12	
PA_ds_2.4.2:12.3	ime dhammā hetū ceva hetusampayuttā ca.	12	
PA_ds_2.4.2:13.1	Katame dhammā hetusampayuttā ceva na ca hetū?	13	
PA_ds_2.4.2:13.2_0	Catūsu bhūmīsu kusalaṁ, akusalaṁ, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā	13	
PA_ds_2.4.2:13.2_1	catūsu bhūmīsu vipāko, kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā tīsu bhūmīsu	13	
PA_ds_2.4.2:13.2_2	kiriyābyākataṁ, etthuppanne hetū ṭhapetvā—	13	
PA_ds_2.4.2:13.3	ime dhammā hetusampayuttā ceva na ca hetū.	13	
PA_ds_2.4.2:13.4	Hetuvippayuttā dhammā na vattabbā—	13	
PA_ds_2.4.2:13.5	hetū ceva hetusampayuttā cātipi, hetusampayuttā ceva na ca hetūtipi.	13	
PA_ds_2.4.2:14.0	2.4.2.1.6. Nahetusahetukaduka	14	
PA_ds_2.4.2:14.1	Katame dhammā na hetū sahetukā?	14	
PA_ds_2.4.2:14.2_0	Catūsu bhūmīsu kusalaṁ, akusalaṁ, kāmāvacarassa vipākato ahetuke cittuppāde ṭhapetvā	14	
PA_ds_2.4.2:14.2_1	catūsu bhūmīsu vipāko, kāmāvacarakiriyato ahetuke cittuppāde ṭhapetvā tīsu bhūmīsu	14	
PA_ds_2.4.2:14.2_2	kiriyābyākataṁ, etthuppanne hetū ṭhapetvā—	14	
PA_ds_2.4.2:14.3	ime dhammā na hetū sahetukā.	14	
PA_ds_2.4.2:15.1	Katame dhammā na hetū ahetukā?	15	
PA_ds_2.4.2:15.2	Dvepañcaviññāṇāni, tisso ca manodhātuyo, pañca ca ahetukamanoviññāṇadhātuyo, rūpañca, nibbānañca—	15	
PA_ds_2.4.2:15.3	ime dhammā na hetū ahetukā.	15	
PA_ds_2.4.2:15.4	Hetū dhammā na vattabbā—	15	
PA_ds_2.4.2:15.5	na hetū sahetukātipi, na hetū ahetukātipi.	15	
PA_ds_2.4.2:16.0.1	2.4.2.2. Cūḷantaraduka	16	
PA_ds_2.4.2:16.0.2	2.4.2.2.1. Sappaccayaduka	16	
PA_ds_2.4.2:16.1	Katame dhammā sappaccayā?	16	
PA_ds_2.4.2:16.2	Catūsu bhūmīsu kusalaṁ, akusalaṁ, catūsu bhūmīsu vipāko, tīsu bhūmīsu kiriyābyākataṁ, sabbañca rūpaṁ—	16	
PA_ds_2.4.2:16.3	ime dhammā sappaccayā.	16	
PA_ds_2.4.2:17.1	Katame dhammā appaccayā?	17	
PA_ds_2.4.2:17.2	Nibbānaṁ—	17	
PA_ds_2.4.2:17.3	ime dhammā appaccayā.	17	
PA_ds_2.4.2:18.0	2.4.2.2.2. Saṅkhataduka	18	
PA_ds_2.4.2:18.1	Katame dhammā saṅkhatā?	18	
PA_ds_2.4.2:18.2	Catūsu bhūmīsu kusalaṁ, akusalaṁ, catūsu bhūmīsu vipāko, tīsu bhūmīsu kiriyābyākataṁ, sabbañca rūpaṁ—	18	
PA_ds_2.4.2:18.3	ime dhammā saṅkhatā.	18	
PA_ds_2.4.2:19.1	Katame dhammā asaṅkhatā?	19	
