segmentnr	original	folio	analyzed
PA_iti_79:0.1	Itivuttaka 79	0	
PA_iti_79:0.2	Tikanipāta	0	
PA_iti_79:0.3	Tatiyavagga	0	
PA_iti_79:0.4	Parihānasutta	0	
PA_iti_79:1.1	Vuttañhetaṁ bhagavatā vuttamarahatāti me sutaṁ:	1	
PA_iti_79:2.1	“Tayome, bhikkhave, dhammā sekhassa bhikkhuno parihānāya saṁvattanti.	2	
PA_iti_79:2.2	Katame tayo?	2	
PA_iti_79:2.3	Idha, bhikkhave, sekho bhikkhu kammārāmo hoti, kammarato, kammārāmatamanuyutto;	2	
PA_iti_79:2.4	bhassārāmo hoti, bhassarato, bhassārāmatamanuyutto;	2	
PA_iti_79:2.5	niddārāmo hoti, niddārato, niddārāmatamanuyutto.	2	
PA_iti_79:2.6	Ime kho, bhikkhave, tayo dhammā sekhassa bhikkhuno parihānāya saṁvattanti.	2	
PA_iti_79:3.1	Tayome, bhikkhave, dhammā sekhassa bhikkhuno aparihānāya saṁvattanti.	3	
PA_iti_79:3.2	Katame tayo?	3	
PA_iti_79:3.3	Idha, bhikkhave, sekho bhikkhu na kammārāmo hoti, na kammarato, na kammārāmatamanuyutto;	3	
PA_iti_79:3.4	na bhassārāmo hoti, na bhassarato, na bhassārāmatamanuyutto;	3	
PA_iti_79:3.5	na niddārāmo hoti, na niddārato, na niddārāmatamanuyutto.	3	
PA_iti_79:3.6	Ime kho, bhikkhave, tayo dhammā sekhassa bhikkhuno aparihānāya saṁvattantī”ti.	3	
PA_iti_79:3.7	Etamatthaṁ bhagavā avoca.	3	
PA_iti_79:3.8	Tatthetaṁ iti vuccati:	3	
PA_iti_79:4.1	“Kammārāmo bhassārāmo,	4	
PA_iti_79:4.2	Niddārāmo ca uddhato;	4	
PA_iti_79:4.3	Abhabbo tādiso bhikkhu,	4	
PA_iti_79:4.4	Phuṭṭhuṁ sambodhimuttamaṁ.	4	
PA_iti_79:5.1	Tasmā hi appakiccassa,	5	
PA_iti_79:5.2	Appamiddho anuddhato;	5	
PA_iti_79:5.3	Bhabbo so tādiso bhikkhu,	5	
PA_iti_79:5.4	Phuṭṭhuṁ sambodhimuttaman”ti.	5	
PA_iti_79:6.1	Ayampi attho vutto bhagavatā, iti me sutanti.	6	
PA_iti_79:6.2	Dasamaṁ.	6	
PA_iti_79:6.3	Tatiyo vaggo.	6	
PA_iti_79:7.0	Tassuddānaṁ	7	
PA_iti_79:7.1	Dve diṭṭhī nissaraṇaṁ rūpaṁ,	7	
PA_iti_79:7.2	putto avuṭṭhikena ca;	7	
PA_iti_79:7.3	Sukhā ca bhiduro dhātu,	7	
PA_iti_79:7.4	parihānena te dasāti.	7	
