segmentnr	original	folio	analyzed
PA_ja_440:0.1	Jātaka	0	
PA_ja_440:0.2	Dasakanipāta	0	
PA_ja_440:0.3	Catudvāravagga	0	
PA_ja_440:0.4	2. Kaṇhajātaka	0	
PA_ja_440:1.1	“Kaṇho vatāyaṁ puriso,	1	
PA_ja_440:1.2	kaṇhaṁ bhuñjati bhojanaṁ;	1	
PA_ja_440:1.3	Kaṇhe bhūmipadesasmiṁ,	1	
PA_ja_440:1.4	na mayhaṁ manaso piyo”.	1	
PA_ja_440:2.1	“Na kaṇho tacasā hoti,	2	
PA_ja_440:2.2	antosāro hi brāhmaṇo;	2	
PA_ja_440:2.3	Yasmiṁ pāpāni kammāni,	2	
PA_ja_440:2.4	sa ve kaṇho sujampati”.	2	
PA_ja_440:3.1	“Etasmiṁ te sulapite,	3	
PA_ja_440:3.2	patirūpe subhāsite;	3	
PA_ja_440:3.3	Varaṁ brāhmaṇa te dammi,	3	
PA_ja_440:3.4	yaṁ kiñci manasicchasi”.	3	
PA_ja_440:4.1	“Varañce me ado sakka,	4	
PA_ja_440:4.2	sabbabhūtānamissara;	4	
PA_ja_440:4.3	Sunikkodhaṁ suniddosaṁ,	4	
PA_ja_440:4.4	nillobhaṁ vuttimattano;	4	
PA_ja_440:4.5	Nisnehamabhikaṅkhāmi,	4	
PA_ja_440:4.6	ete me caturo vare”.	4	
PA_ja_440:5.1	“Kiṁ nu kodhe vā dose vā,	5	
PA_ja_440:5.2	lobhe snehe ca brāhmaṇa;	5	
PA_ja_440:5.3	Ādīnavaṁ tvaṁ passasi,	5	
PA_ja_440:5.4	taṁ me akkhāhi pucchito”.	5	
PA_ja_440:6.1	“Appo hutvā bahu hoti,	6	
PA_ja_440:6.2	vaḍḍhate so akhantijo;	6	
PA_ja_440:6.3	Āsaṅgī bahupāyāso,	6	
PA_ja_440:6.4	tasmā kodhaṁ na rocaye.	6	
PA_ja_440:7.1	Duṭṭhassa pharusā vācā,	7	
PA_ja_440:7.2	parāmāso anantarā;	7	
PA_ja_440:7.3	Tato pāṇi tato daṇḍo,	7	
PA_ja_440:7.4	satthassa paramā gati;	7	
PA_ja_440:7.5	Doso kodhasamuṭṭhāno,	7	
PA_ja_440:7.6	tasmā dosaṁ na rocaye.	7	
PA_ja_440:8.1	Ālopa sāhasākārā,	8	
PA_ja_440:8.2	nikatī vañcanāni ca;	8	
PA_ja_440:8.3	Dissanti lobhadhammesu,	8	
PA_ja_440:8.4	tasmā lobhaṁ na rocaye.	8	
PA_ja_440:9.1	Snehasaṅgathitā ganthā,	9	
PA_ja_440:9.2	senti manomayā puthū;	9	
PA_ja_440:9.3	Te bhusaṁ upatāpenti,	9	
PA_ja_440:9.4	tasmā snehaṁ na rocaye”.	9	
PA_ja_440:10.1	“Etasmiṁ te sulapite,	10	
PA_ja_440:10.2	patirūpe subhāsite;	10	
PA_ja_440:10.3	Varaṁ brāhmaṇa te dammi,	10	
PA_ja_440:10.4	yaṁ kiñci manasicchasi”.	10	
PA_ja_440:11.1	“Varañce me ado sakka,	11	
PA_ja_440:11.2	sabbabhūtānamissara;	11	
PA_ja_440:11.3	Araññe me viharato,	11	
PA_ja_440:11.4	niccaṁ ekavihārino;	11	
PA_ja_440:11.5	Ābādhā mā uppajjeyyuṁ,	11	
PA_ja_440:11.6	antarāyakarā bhusā”.	11	
PA_ja_440:12.1	“Etasmiṁ te sulapite,	12	
PA_ja_440:12.2	patirūpe subhāsite;	12	
PA_ja_440:12.3	Varaṁ brāhmaṇa te dammi,	12	
PA_ja_440:12.4	yaṁ kiñci manasicchasi”.	12	
PA_ja_440:13.1	“Varañce me ado sakka,	13	
PA_ja_440:13.2	sabbabhūtānamissara;	13	
PA_ja_440:13.3	Na mano vā sarīraṁ vā,	13	
PA_ja_440:13.4	maṁ-kate sakka kassaci;	13	
PA_ja_440:13.5	Kadāci upahaññetha,	13	
PA_ja_440:13.6	etaṁ sakka varaṁ vare”ti.	13	
PA_ja_440:14.1	Kaṇhajātakaṁ dutiyaṁ.	14	
