segmentnr	original	folio	analyzed
PA_ja_527:0.1	Jātaka	0	
PA_ja_527:0.2	Paṇṇāsanipāta	0	
PA_ja_527:0.3	Niḷinikāvagga	0	
PA_ja_527:0.4	2 Ummādantījātaka	0	
PA_ja_527:1.1	“Nivesanaṁ kassa nudaṁ sunanda,	1	
PA_ja_527:1.2	Pākārena paṇḍumayena guttaṁ;	1	
PA_ja_527:1.3	Kā dissati aggisikhāva dūre,	1	
PA_ja_527:1.4	Vehāyasaṁ pabbataggeva acci.	1	
PA_ja_527:2.1	Dhītā nvayaṁ kassa sunanda hoti,	2	
PA_ja_527:2.2	Suṇisā nvayaṁ kassa athopi bhariyā;	2	
PA_ja_527:2.3	Akkhāhi me khippamidheva puṭṭho,	2	
PA_ja_527:2.4	Avāvaṭā yadi vā atthi bhattā”.	2	
PA_ja_527:3.1	“Ahañhi jānāmi janinda etaṁ,	3	
PA_ja_527:3.2	Matyā ca petyā ca athopi assā;	3	
PA_ja_527:3.3	Taveva so puriso bhūmipāla,	3	
PA_ja_527:3.4	Rattindivaṁ appamatto tavatthe.	3	
PA_ja_527:4.1	Iddho ca phīto ca suvaḍḍhito ca,	4	
PA_ja_527:4.2	Amacco ca te aññataro janinda;	4	
PA_ja_527:4.3	Tassesā bhariyābhipārakassa,	4	
PA_ja_527:4.4	Ummādantī nāmadheyyena rāja”.	4	
PA_ja_527:5.1	“Ambho ambho nāmamidaṁ imissā,	5	
PA_ja_527:5.2	Matyā ca petyā ca kataṁ susādhu;	5	
PA_ja_527:5.3	Tadā hi mayhaṁ avalokayantī,	5	
PA_ja_527:5.4	Ummattakaṁ ummadantī akāsi.	5	
PA_ja_527:6.1	Yā puṇṇamāse migamandalocanā,	6	
PA_ja_527:6.2	Upāvisi puṇḍarīkattacaṅgī;	6	
PA_ja_527:6.3	Dve puṇṇamāyo tadahū amaññahaṁ,	6	
PA_ja_527:6.4	Disvāna pārāvatarattavāsiniṁ.	6	
PA_ja_527:7.1	Aḷārapamhehi subhehi vaggubhi,	7	
PA_ja_527:7.2	Palobhayantī maṁ yadā udikkhati;	7	
PA_ja_527:7.3	Vijambhamānā harateva me mano,	7	
PA_ja_527:7.4	Jātā vane kimpurisīva pabbate.	7	
PA_ja_527:8.1	Tadā hi brahatī sāmā,	8	
PA_ja_527:8.2	āmuttamaṇikuṇḍalā;	8	
PA_ja_527:8.3	Ekaccavasanā nārī,	8	
PA_ja_527:8.4	migī bhantāvudikkhati.	8	
PA_ja_527:9.1	Kadāssu maṁ tambanakhā sulomā,	9	
PA_ja_527:9.2	Bāhāmudū candanasāralittā;	9	
PA_ja_527:9.3	Vaṭṭaṅgulī sannatadhīrakuttiyā,	9	
PA_ja_527:9.4	Nārī upaññissati sīsato subhā.	9	
PA_ja_527:10.1	Kadāssu maṁ kañcanajāluracchadā,	10	
PA_ja_527:10.2	Dhītā tirīṭissa vilaggamajjhā;	10	
PA_ja_527:10.3	Mudūhi bāhāhi palissajissati,	10	
PA_ja_527:10.4	Brahāvane jātadumaṁva māluvā.	10	
PA_ja_527:11.1	Kadāssu lākhārasarattasucchavī,	11	
PA_ja_527:11.2	Bindutthanī puṇḍarīkattacaṅgī;	11	
PA_ja_527:11.3	Mukhaṁ mukhena upanāmayissati,	11	
PA_ja_527:11.4	Soṇḍova soṇḍassa surāya thālaṁ.	11	
PA_ja_527:12.1	Yadāddasaṁ taṁ tiṭṭhantiṁ,	12	
PA_ja_527:12.2	Sabbabhaddaṁ manoramaṁ;	12	
PA_ja_527:12.3	Tato sakassa cittassa,	12	
PA_ja_527:12.4	Nāvabodhāmi kañcinaṁ.	12	
PA_ja_527:13.1	Ummādantimahaṁ daṭṭhā,	13	
PA_ja_527:13.2	āmuttamaṇikuṇḍalaṁ;	13	
PA_ja_527:13.3	Na supāmi divārattiṁ,	13	
PA_ja_527:13.4	sahassaṁva parājito.	13	
PA_ja_527:14.1	Sakko ce me varaṁ dajjā,	14	
PA_ja_527:14.2	so ca labbhetha me varo;	14	
PA_ja_527:14.3	Ekarattaṁ dvirattaṁ vā,	14	
PA_ja_527:14.4	bhaveyyaṁ abhipārako;	14	
PA_ja_527:14.5	Ummādantyā ramitvāna,	14	
PA_ja_527:14.6	sivirājā tato siyaṁ”.	14	
