segmentnr	original	folio	analyzed
PA_kv_3.5:0.1	Kathāvatthu	0	
PA_kv_3.5:0.2	Mahāpaṇṇāsaka	0	
PA_kv_3.5:0.3	Tatiyavagga	0	
PA_kv_3.5:0.4	Aṭṭhamakakathā	0	
PA_kv_3.5:1.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnanti?	1	
PA_kv_3.5:1.2	Āmantā.	1	
PA_kv_3.5:1.3	Aṭṭhamako puggalo sotāpanno sotāpattiphalappatto paṭiladdho adhigato sacchikato upasampajja viharati, kāyena phusitvā viharatīti?	1	
PA_kv_3.5:1.4	Na hevaṁ vattabbe …pe….	1	
PA_kv_3.5:2.1	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnanti?	2	
PA_kv_3.5:2.2	Āmantā.	2	
PA_kv_3.5:2.3	Aṭṭhamako puggalo sotāpanno sotāpattiphalappatto …pe… kāyena phusitvā viharatīti?	2	
PA_kv_3.5:2.4	Na hevaṁ vattabbe …pe….	2	
PA_kv_3.5:3.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnanti?	3	
PA_kv_3.5:3.2	Āmantā.	3	
PA_kv_3.5:3.3	Aṭṭhamakassa puggalassa diṭṭhānusayo pahīnoti?	3	
PA_kv_3.5:3.4	Na hevaṁ vattabbe …pe…	3	
PA_kv_3.5:3.5	aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnanti?	3	
PA_kv_3.5:3.6	Āmantā.	3	
PA_kv_3.5:3.7	Aṭṭhamakassa puggalassa vicikicchānusayo … sīlabbataparāmāso pahīnoti?	3	
PA_kv_3.5:3.8	Na hevaṁ vattabbe …pe….	3	
PA_kv_3.5:4.1	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnanti?	4	
PA_kv_3.5:4.2	Āmantā.	4	
PA_kv_3.5:4.3	Aṭṭhamakassa puggalassa vicikicchānusayo pahīnoti?	4	
PA_kv_3.5:4.4	Na hevaṁ vattabbe …pe…	4	
PA_kv_3.5:4.5	aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnanti?	4	
PA_kv_3.5:4.6	Āmantā.	4	
PA_kv_3.5:4.7	Aṭṭhamakassa puggalassa diṭṭhānusayo … sīlabbataparāmāso pahīnoti?	4	
PA_kv_3.5:4.8	Na hevaṁ vattabbe …pe…	4	
PA_kv_3.5:5.1	Aṭṭhamakassa puggalassa diṭṭhānusayo appahīnoti?	5	
PA_kv_3.5:5.2	Āmantā.	5	
PA_kv_3.5:5.3	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ appahīnanti?	5	
PA_kv_3.5:5.4	Na hevaṁ vattabbe …pe…	5	
PA_kv_3.5:5.5	aṭṭhamakassa puggalassa diṭṭhānusayo appahīnoti?	5	
PA_kv_3.5:5.6	Āmantā.	5	
PA_kv_3.5:5.7	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ appahīnanti?	5	
PA_kv_3.5:5.8	Na hevaṁ vattabbe …pe….	5	
PA_kv_3.5:6.1	Aṭṭhamakassa puggalassa vicikicchānusayo … sīlabbataparāmāso appahīnoti?	6	
PA_kv_3.5:6.2	Āmantā.	6	
PA_kv_3.5:6.3	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ appahīnanti?	6	
PA_kv_3.5:6.4	Na hevaṁ vattabbe …pe…	6	
PA_kv_3.5:6.5	aṭṭhamakassa puggalassa sīlabbataparāmāso appahīnoti?	6	
PA_kv_3.5:6.6	Āmantā.	6	
PA_kv_3.5:6.7	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ appahīnanti?	6	
PA_kv_3.5:6.8	Na hevaṁ vattabbe …pe….	6	
PA_kv_3.5:7.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnanti?	7	
PA_kv_3.5:7.2	Āmantā.	7	
PA_kv_3.5:7.3	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānapahānāya maggo bhāvitoti?	7	
PA_kv_3.5:7.4	Na hevaṁ vattabbe …pe…	7	
PA_kv_3.5:7.5	aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnanti?	7	
PA_kv_3.5:7.6	Āmantā.	7	
PA_kv_3.5:7.7	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānapahānāya satipaṭṭhānā bhāvitā …pe… sammappadhānā …pe… bojjhaṅgā bhāvitāti?	7	
PA_kv_3.5:7.8	Na hevaṁ vattabbe.	7	
PA_kv_3.5:8.1	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnanti?	8	
PA_kv_3.5:8.2	Āmantā.	8	
PA_kv_3.5:8.3	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānapahānāya maggo bhāvito …pe… bojjhaṅgā bhāvitāti?	8	
PA_kv_3.5:8.4	Na hevaṁ vattabbe …pe….	8	
PA_kv_3.5:9.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānapahānāya maggo abhāvitoti?	9	
PA_kv_3.5:9.2	Āmantā.	9	
PA_kv_3.5:9.3	Amaggena pahīnaṁ lokiyena sāsavena …pe… saṅkilesiyenāti?	9	
PA_kv_3.5:9.4	Na hevaṁ vattabbe …pe…	9	
PA_kv_3.5:9.5	aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānapahānāya satipaṭṭhānā …pe… bojjhaṅgā abhāvitāti?	9	
PA_kv_3.5:9.6	Āmantā.	9	
PA_kv_3.5:9.7	Amaggena pahīnaṁ lokiyena sāsavena …pe… saṅkilesiyenāti?	9	
PA_kv_3.5:9.8	Na hevaṁ vattabbe …pe….	9	
PA_kv_3.5:10.1	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānapahānāya maggo abhāvito …pe… satipaṭṭhānā …pe… bojjhaṅgā abhāvitāti?	10	
PA_kv_3.5:10.2	Āmantā.	10	
PA_kv_3.5:10.3	Amaggena pahīnaṁ lokiyena sāsavena …pe… saṅkilesiyenāti?	10	
PA_kv_3.5:10.4	Na hevaṁ vattabbe …pe….	10	
PA_kv_3.5:11.1	Na vattabbaṁ—	11	
PA_kv_3.5:11.2	“aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnan”ti?	11	
PA_kv_3.5:11.3	Āmantā.	11	
PA_kv_3.5:11.4	Uppajjissatīti?	11	
PA_kv_3.5:11.5	Nuppajjissati.	11	
PA_kv_3.5:11.6	Hañci nuppajjissati, tena vata re vattabbe—	11	
PA_kv_3.5:11.7	“aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ pahīnan”ti.	11	
PA_kv_3.5:12.1	Na vattabbaṁ—	12	
PA_kv_3.5:12.2	“aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnan”ti?	12	
PA_kv_3.5:12.3	Āmantā.	12	
PA_kv_3.5:12.4	Uppajjissatīti?	12	
PA_kv_3.5:12.5	Nuppajjissati.	12	
PA_kv_3.5:12.6	Hañci nuppajjissati, tena vata re vattabbe—	12	
PA_kv_3.5:12.7	“aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ pahīnan”ti.	12	
PA_kv_3.5:13.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	13	
PA_kv_3.5:13.2	Āmantā.	13	
PA_kv_3.5:13.3	Aṭṭhamakassa puggalassa diṭṭhānusayo nuppajjissatīti katvā pahīnoti?	13	
PA_kv_3.5:13.4	Na hevaṁ vattabbe …pe….	13	
PA_kv_3.5:14.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	14	
PA_kv_3.5:14.2	Āmantā.	14	
PA_kv_3.5:14.3	Aṭṭhamakassa puggalassa vicikicchānusayo … sīlabbataparāmāso nuppajjissatīti katvā pahīnoti?	14	
PA_kv_3.5:14.4	Na hevaṁ vattabbe …pe….	14	
PA_kv_3.5:15.1	Aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	15	
PA_kv_3.5:15.2	Āmantā.	15	
PA_kv_3.5:15.3	Aṭṭhamakassa puggalassa vicikicchānusayo … sīlabbataparāmāso nuppajjissatīti katvā pahīnoti?	15	
PA_kv_3.5:15.4	Na hevaṁ vattabbe …pe….	15	
PA_kv_3.5:16.1	Aṭṭhamakassa puggalassa diṭṭhipariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	16	
PA_kv_3.5:16.2	Āmantā.	16	
PA_kv_3.5:16.3	Gotrabhuno puggalassa diṭṭhipariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	16	
PA_kv_3.5:16.4	Na hevaṁ vattabbe …pe…	16	
PA_kv_3.5:16.5	aṭṭhamakassa puggalassa vicikicchāpariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	16	
PA_kv_3.5:16.6	Āmantā.	16	
PA_kv_3.5:16.7	Gotrabhuno puggalassa vicikicchāpariyuṭṭhānaṁ nuppajjissatīti katvā pahīnanti?	16	
PA_kv_3.5:16.8	Na hevaṁ vattabbe …pe….	16	
PA_kv_3.5:16.9	Aṭṭhamakakathā niṭṭhitā.	16	
