segmentnr	original	folio	analyzed
PA_mil_3.5.8:0.1	Milindapañha	0	
PA_mil_3.5.8:0.2	Buddhavagga	0	
PA_mil_3.5.8:0.3	8. Kammaphalaatthibhāvapañha	0	
PA_mil_3.5.8:1.1	Rājā āha—	1	
PA_mil_3.5.8:1.2	“bhante nāgasena, iminā nāmarūpena kammaṁ kataṁ kusalaṁ vā akusalaṁ vā, kuhiṁ tāni kammāni tiṭṭhantī”ti?	1	
PA_mil_3.5.8:1.3	“Anubandheyyuṁ kho, mahārāja, tāni kammāni chāyāva anapāyinī”ti.	1	
PA_mil_3.5.8:1.4	“Sakkā pana, bhante, tāni kammāni dassetuṁ ‘idha vā idha vā tāni kammāni tiṭṭhantī’”ti?	1	
PA_mil_3.5.8:1.5	“Na sakkā, mahārāja, tāni kammāni dassetuṁ ‘idha vā idha vā tāni kammāni tiṭṭhantī’”ti.	1	
PA_mil_3.5.8:2.1	“Opammaṁ karohī”ti.	2	
PA_mil_3.5.8:2.2	“Taṁ kiṁ maññasi, mahārāja, yānimāni rukkhāni anibbattaphalāni, sakkā tesaṁ phalāni dassetuṁ ‘idha vā idha vā tāni phalāni tiṭṭhantī’”ti.	2	
PA_mil_3.5.8:2.3	“Na hi, bhante”ti.	2	
PA_mil_3.5.8:2.4	“Evameva kho, mahārāja, abbocchinnāya santatiyā na sakkā tāni kammāni dassetuṁ ‘idha vā idha vā tāni kammāni tiṭṭhantī’”ti.	2	
PA_mil_3.5.8:3.1	“Kallosi, bhante nāgasenā”ti.	3	
PA_mil_3.5.8:4.1	Kammaphalaatthibhāvapañho aṭṭhamo.	4	
