segmentnr	original	analyzed
PA_mn_117:0.1	Majjhima Nikāya 117	▁majjhim a ▁nikāya
PA_mn_117:0.2	Mahācattārīsakasutta	▁mahā c attā rī sak asutta
PA_mn_117:1.1	Evaṁ me sutaṁ—	▁evaṃ ▁me ▁sut aṃ
PA_mn_117:1.2	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	▁ekaṃ ▁samay aṃ ▁bhagavā ▁sāvatthiyaṃ ▁viharati ▁jetavane ▁ anāthapiṇḍikassa ▁ārām e
PA_mn_117:1.3	Tatra kho bhagavā bhikkhū āmantesi:	▁tatra ▁kho ▁bhagavā ▁bhikkhū ▁āmantesi
PA_mn_117:1.4	“bhikkhavo”ti.	▁ bhikkh a v oti
PA_mn_117:1.5	“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	▁bha dant eti ▁te ▁bhikkhū ▁bhagavato ▁pacc ass o su ṃ
PA_mn_117:1.6	Bhagavā etadavoca:	▁bhagavā ▁etadavoca
PA_mn_117:2.1	“ariyaṁ vo, bhikkhave, sammāsamādhiṁ desessāmi saupanisaṁ saparikkhāraṁ.	▁ariy aṃ ▁vo ▁bhikkhave ▁sammāsamādhi ṃ ▁des e ssāmi ▁sa upa ni saṃ ▁sa parikkhār aṃ
PA_mn_117:2.2	Taṁ suṇātha, sādhukaṁ manasi karotha, bhāsissāmī”ti.	▁taṃ ▁suṇ ā tha ▁sādhu kaṃ ▁manasi ▁karot ha ▁ bhās issāmīti
PA_mn_117:2.3	“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.	▁evaṃ ▁bhanteti ▁kho ▁te ▁bhikkhū ▁bhagavato ▁pacc ass o su ṃ
PA_mn_117:2.4	Bhagavā etadavoca:	▁bhagavā ▁etadavoca
PA_mn_117:3.1	“Katamo ca, bhikkhave, ariyo sammāsamādhi saupaniso saparikkhāro?	▁katamo ▁ca ▁bhikkhave ▁ariy o ▁sammāsamādhi ▁sa upa ni so ▁sa parikkhār o
PA_mn_117:3.2	Seyyathidaṁ—sammādiṭṭhi, sammāsaṅkappo, sammāvācā, sammākammanto, sammāājīvo, sammāvāyāmo, sammāsati;	▁seyyathidaṃ sam mā diṭṭhi ▁sammāsaṃkapp o ▁sammā vāc ā ▁sammā kamm anto ▁sammā ā jīv o ▁sammā vā yā mo ▁sammā sati
PA_mn_117:3.3	yā kho, bhikkhave, imehi sattahaṅgehi cittassa ekaggatā parikkhatā—	▁yā ▁kho ▁bhikkhave ▁imehi ▁satta haṃgehi ▁cittassa ▁ ekaggatā ▁pari kkha tā
PA_mn_117:3.4	ayaṁ vuccati, bhikkhave, ariyo sammāsamādhi saupaniso itipi, saparikkhāro itipi.	▁ayaṃ ▁vuccati ▁bhikkhave ▁ariy o ▁sammāsamādhi ▁sa upa ni so ▁iti pi ▁sa parikkhār o ▁iti pi
PA_mn_117:4.1	Tatra, bhikkhave, sammādiṭṭhi pubbaṅgamā hoti.	▁tatra ▁bhikkhave ▁sammādiṭṭhi ▁ pubbaṃgam ā ▁hoti
PA_mn_117:4.2	Kathañca, bhikkhave, sammādiṭṭhi pubbaṅgamā hoti?	▁kathañca ▁bhikkhave ▁sammādiṭṭhi ▁ pubbaṃgam ā ▁hoti
PA_mn_117:4.3	Micchādiṭṭhiṁ ‘micchādiṭṭhī’ti pajānāti, sammādiṭṭhiṁ ‘sammādiṭṭhī’ti pajānāti—sāssa hoti sammādiṭṭhi.	▁micchādiṭṭhi ṃ ▁micchā diṭṭh īti ▁pajānāti ▁sammādiṭṭhi ṃ ▁sammā diṭṭh īti ▁pajānāti sā ssa ▁hoti ▁sammādiṭṭhi
PA_mn_117:5.1	Katamā ca, bhikkhave, micchādiṭṭhi?	▁katamā ▁ca ▁bhikkhave ▁micchādiṭṭhi
