segmentnr	original	folio	analyzed
PA_mn_36:0.1	Majjhima Nikāya 36	0	
PA_mn_36:0.2	Mahāsaccakasutta	0	
PA_mn_36:1.1	Evaṁ me sutaṁ—	1	
PA_mn_36:1.2	ekaṁ samayaṁ bhagavā vesāliyaṁ viharati mahāvane kūṭāgārasālāyaṁ.	1	
PA_mn_36:2.1	Tena kho pana samayena bhagavā pubbaṇhasamayaṁ sunivattho hoti pattacīvaramādāya vesāliṁ piṇḍāya pavisitukāmo.	2	
PA_mn_36:3.1	Atha kho saccako nigaṇṭhaputto jaṅghāvihāraṁ anucaṅkamamāno anuvicaramāno yena mahāvanaṁ kūṭāgārasālā tenupasaṅkami.	3	
PA_mn_36:3.2	Addasā kho āyasmā ānando saccakaṁ nigaṇṭhaputtaṁ dūratova āgacchantaṁ.	3	
PA_mn_36:3.3	Disvāna bhagavantaṁ etadavoca:	3	
PA_mn_36:3.4	“ayaṁ, bhante, saccako nigaṇṭhaputto āgacchati bhassappavādako paṇḍitavādo sādhusammato bahujanassa.	3	
PA_mn_36:3.5	Eso kho, bhante, avaṇṇakāmo buddhassa, avaṇṇakāmo dhammassa, avaṇṇakāmo saṅghassa.	3	
PA_mn_36:3.6	Sādhu, bhante, bhagavā muhuttaṁ nisīdatu anukampaṁ upādāyā”ti.	3	
PA_mn_36:3.7	Nisīdi bhagavā paññatte āsane.	3	
PA_mn_36:3.8_0	Atha kho saccako nigaṇṭhaputto yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā	3	
PA_mn_36:3.8_1	saddhiṁ sammodi, sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ	3	
PA_mn_36:3.8_2	nisinno kho saccako nigaṇṭhaputto bhagavantaṁ etadavoca:	3	
PA_mn_36:4.1	“Santi, bho gotama, eke samaṇabrāhmaṇā kāyabhāvanānuyogamanuyuttā viharanti, no cittabhāvanaṁ.	4	
PA_mn_36:4.2	Phusanti hi te, bho gotama, sārīrikaṁ dukkhaṁ vedanaṁ.	4	
PA_mn_36:4.3_0	Bhūtapubbaṁ, bho gotama, sārīrikāya dukkhāya vedanāya phuṭṭhassa sato ūrukkhambhopi	4	
PA_mn_36:4.3_1	nāma bhavissati, hadayampi nāma phalissati, uṇhampi lohitaṁ mukhato uggamissati,	4	
PA_mn_36:4.3_2	ummādampi pāpuṇissati cittakkhepaṁ.	4	
PA_mn_36:4.4	Tassa kho etaṁ, bho gotama, kāyanvayaṁ cittaṁ hoti, kāyassa vasena vattati.	4	
PA_mn_36:4.5	Taṁ kissa hetu?	4	
PA_mn_36:4.6	Abhāvitattā cittassa.	4	
PA_mn_36:4.7	Santi pana, bho gotama, eke samaṇabrāhmaṇā cittabhāvanānuyogamanuyuttā viharanti, no kāyabhāvanaṁ.	4	
PA_mn_36:4.8	Phusanti hi te, bho gotama, cetasikaṁ dukkhaṁ vedanaṁ.	4	
PA_mn_36:4.9_0	Bhūtapubbaṁ, bho gotama, cetasikāya dukkhāya vedanāya phuṭṭhassa sato ūrukkhambhopi	4	
PA_mn_36:4.9_1	nāma bhavissati, hadayampi nāma phalissati, uṇhampi lohitaṁ mukhato uggamissati,	4	
PA_mn_36:4.9_2	ummādampi pāpuṇissati cittakkhepaṁ.	4	
PA_mn_36:4.10	Tassa kho eso, bho gotama, cittanvayo kāyo hoti, cittassa vasena vattati.	4	
PA_mn_36:4.11	Taṁ kissa hetu?	4	
PA_mn_36:4.12	Abhāvitattā kāyassa.	4	
PA_mn_36:4.13	Tassa mayhaṁ, bho gotama, evaṁ hoti:	4	
PA_mn_36:4.14	‘addhā bhoto gotamassa sāvakā cittabhāvanānuyogamanuyuttā viharanti, no kāyabhāvanan’”ti.	4	
PA_mn_36:5.1	“Kinti pana te, aggivessana, kāyabhāvanā sutā”ti?	5	
PA_mn_36:5.2	“Seyyathidaṁ—	5	
PA_mn_36:5.3	nando vaccho, kiso saṅkicco, makkhali gosālo—	5	
