segmentnr	original	folio	analyzed
PA_ne_22:0.1	Netti	0	
PA_ne_22:0.2	Paṭiniddesavāra	0	
PA_ne_22:0.3	Sampāta 3	0	
PA_ne_22:0.4	Yuttihārasampāta	0	
PA_ne_22:1.1	Tattha katamo yuttihārasampāto?	1	
PA_ne_22:2.1	“Tasmā rakkhitacittassa,	2	
PA_ne_22:2.2	sammāsaṅkappagocaro;	2	
PA_ne_22:2.3	Sammādiṭṭhipurekkhāro,	2	
PA_ne_22:2.4	ñatvāna udayabbayaṁ;	2	
PA_ne_22:2.5	Thinamiddhābhibhū bhikkhu,	2	
PA_ne_22:2.6	sabbā duggatiyo jahe”ti.	2	
PA_ne_22:3.1_0	“Tasmā rakkhitacittassa, sammāsaṅkappagocaro”ti rakkhitacittassa sammāsaṅkappagocaro	3	
PA_ne_22:3.1_1	bhavissatīti yujjati, sammāsaṅkappagocaro sammādiṭṭhi bhavissatīti yujjati, sammādiṭṭhipurekkhāro	3	
PA_ne_22:3.1_2	viharanto udayabbayaṁ paṭivijjhissatīti yujjati, udayabbayaṁ paṭivijjhanto sabbā	3	
PA_ne_22:3.1_3	duggatiyo jahissatīti yujjati.	3	
PA_ne_22:3.2	Sabbā duggatiyo jahanto sabbāni duggativinipātabhayāni samatikkamissatīti yujjatīti.	3	
PA_ne_22:3.3	Niyutto yuttihārasampāto.	3	
