segmentnr	original	folio	analyzed
PA_patthana_14.3:0.1	Paṭṭhānapakaraṇa	0	
PA_patthana_14.3:0.2	Dhammānulomapaccanīya (3), Dukapaṭṭhānapāḷi (2)	0	
PA_patthana_14.3:0.3	14.3. Hetusampayuttaduka	0	
PA_patthana_14.3:1.1_0	Hetusampayuttaṁ dhammaṁ paṭicca nahetusampayutto dhammo uppajjati hetupaccayā. Hetusampayuttaṁ	1	
PA_patthana_14.3:1.1_1	dhammaṁ paṭicca nahetuvippayutto dhammo uppajjati hetupaccayā. Hetusampayuttaṁ dhammaṁ	1	
PA_patthana_14.3:1.1_2	paṭicca nahetusampayutto ca nahetuvippayutto ca dhammā uppajjanti hetupaccayā.	1	
PA_patthana_14.3:2.1_0	Hetuvippayuttaṁ dhammaṁ paṭicca nahetuvippayutto dhammo uppajjati hetupaccayā. Hetuvippayuttaṁ	2	
PA_patthana_14.3:2.1_1	dhammaṁ paṭicca nahetusampayutto dhammo uppajjati hetupaccayā. Hetuvippayuttaṁ dhammaṁ	2	
PA_patthana_14.3:2.1_2	paṭicca nahetusampayutto ca nahetuvippayutto ca dhammā uppajjanti hetupaccayā.	2	
PA_patthana_14.3:3.1_0	Hetusampayuttañca hetuvippayuttañca dhammaṁ paṭicca nahetusampayutto dhammo uppajjati	3	
PA_patthana_14.3:3.1_1	hetupaccayā. Hetusampayuttañca hetuvippayuttañca dhammaṁ paṭicca nahetuvippayutto	3	
PA_patthana_14.3:3.1_2	dhammo uppajjati hetupaccayā. Hetusampayuttañca hetuvippayuttañca dhammaṁ paṭicca	3	
PA_patthana_14.3:3.1_3	nahetusampayutto ca nahetuvippayutto ca dhammā uppajjanti hetupaccayā. (Saṅkhittaṁ.)	3	
PA_patthana_14.3:4.1	Hetuyā nava, ārammaṇe cha, adhipatiyā pañca …pe… avigate nava. (Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	4	
