segmentnr	original	analyzed
PA_patthana_14.4:0.1	Paṭṭhānapakaraṇa	▁ paṭṭhānapakaraṇa
PA_patthana_14.4:0.2	Dhammānulomapaccanīya (3), Dukapaṭṭhānapāḷi (2)	▁dhammā nulomapaccanīya ▁duk apaṭṭhānapāḷi
PA_patthana_14.4:0.3	14.4. Hetusahetukaduka	▁hetu s ahetu k aduk a
PA_patthana_14.4:1.1_0	Hetuñceva sahetukañca dhammaṁ paṭicca nahetu ceva naahetuko ca dhammo uppajjati hetupaccayā.	▁hetu ñc eva ▁sahetuk añca ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko ▁ca ▁dhammo ▁uppajjati ▁hetupaccayā
PA_patthana_14.4:1.1_1	Hetuñceva sahetukañca dhammaṁ paṭicca naahetuko ceva nanahetu ca dhammo uppajjati	▁hetu ñc eva ▁sahetuk añca ▁dhammaṃ ▁paṭicca ▁na ahetu ko ▁ceva ▁nan ahetu ▁ca ▁dhammo ▁uppajjati
PA_patthana_14.4:1.1_2	hetupaccayā. Hetuñceva sahetukañca dhammaṁ paṭicca nahetu ceva naahetuko ca naahetuko	▁hetupaccayā ▁hetu ñc eva ▁sahetuk añca ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko ▁ca ▁na ahetu ko
PA_patthana_14.4:1.1_3	ceva nanahetu ca dhammā uppajjanti hetupaccayā.	▁ceva ▁nan ahetu ▁ca ▁dhammā ▁uppajjanti ▁hetupaccayā
PA_patthana_14.4:2.1_0	Sahetukañceva na ca hetuṁ dhammaṁ paṭicca naahetuko ceva nanahetu ca dhammo uppajjati	▁sahetuk añceva ▁na ▁ca ▁hetu ṃ ▁dhammaṃ ▁paṭicca ▁na ahetu ko ▁ceva ▁nan ahetu ▁ca ▁dhammo ▁uppajjati
PA_patthana_14.4:2.1_1	hetupaccayā. Sahetukañceva na ca hetuṁ dhammaṁ paṭicca nahetu ceva naahetuko ca dhammo	▁hetupaccayā ▁sahetuk añceva ▁na ▁ca ▁hetu ṃ ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko ▁ca ▁dhammo
PA_patthana_14.4:2.1_2	uppajjati hetupaccayā. Sahetukañceva na ca hetuṁ dhammaṁ paṭicca nahetu ceva naahetuko	▁uppajjati ▁hetupaccayā ▁sahetuk añceva ▁na ▁ca ▁hetu ṃ ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko
PA_patthana_14.4:2.1_3	ca naahetuko ceva nanahetu ca dhammā uppajjanti hetupaccayā.	▁ca ▁na ahetu ko ▁ceva ▁nan ahetu ▁ca ▁dhammā ▁uppajjanti ▁hetupaccayā
PA_patthana_14.4:3.1_0	Hetuñceva sahetukañca sahetukañceva na ca hetuṁ dhammaṁ paṭicca nahetu ceva naahetuko	▁hetu ñc eva ▁sahetuk añca ▁sahetuk añceva ▁na ▁ca ▁hetu ṃ ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko
PA_patthana_14.4:3.1_1	ca dhammo uppajjati hetupaccayā. Hetuñceva sahetukañca sahetukañceva na ca hetuñca	▁ca ▁dhammo ▁uppajjati ▁hetupaccayā ▁hetu ñc eva ▁sahetuk añca ▁sahetuk añceva ▁na ▁ca ▁hetu ñca
PA_patthana_14.4:3.1_2	dhammaṁ paṭicca naahetuko ceva nanahetu ca dhammo uppajjati hetupaccayā. Hetuñceva	▁dhammaṃ ▁paṭicca ▁na ahetu ko ▁ceva ▁nan ahetu ▁ca ▁dhammo ▁uppajjati ▁hetupaccayā ▁hetu ñc eva
PA_patthana_14.4:3.1_3	sahetukañca sahetukañceva na ca hetuṁ dhammaṁ paṭicca nahetu ceva naahetuko ca naahetuko	▁sahetuk añca ▁sahetuk añceva ▁na ▁ca ▁hetu ṃ ▁dhammaṃ ▁paṭicca ▁nahetu ▁ceva ▁na ahetu ko ▁ca ▁na ahetu ko
PA_patthana_14.4:3.1_4	ceva nanahetu ca dhammā uppajjanti hetupaccayā. (Saṅkhittaṁ.)	▁ceva ▁nan ahetu ▁ca ▁dhammā ▁uppajjanti ▁hetupaccayā ▁saṃkhittaṃ
PA_patthana_14.4:4.1	Hetuyā nava …pe… avigate nava. (Sahajātavārampi …pe… pañhāvārampi vitthāretabbaṁ.)	▁hetuyā ▁nava ▁pe ▁avigate ▁nava ▁sahajātavār ampi ▁pe ▁pañhāvār ampi ▁vitthār etabbaṃ
