segmentnr	original	folio	analyzed
PA_pp_1.3:0.1	Puggalapaññatti	0	
PA_pp_1.3:0.2	Mātikā	0	
PA_pp_1.3:0.3	3. Tikauddesa	0	
PA_pp_1.3:1.1	Tayo puggalā—	1	
PA_pp_1.3:2.1	Nirāso, āsaṁso, vigatāso.	2	
PA_pp_1.3:3.1	Tayo gilānūpamā puggalā.	3	
PA_pp_1.3:4.1	Kāyasakkhī, diṭṭhippatto, saddhāvimutto.	4	
PA_pp_1.3:5.1	Gūthabhāṇī, pupphabhāṇī, madhubhāṇī.	5	
PA_pp_1.3:6.1	Arukūpamacitto puggalo, vijjūpamacitto puggalo, vajirūpamacitto puggalo.	6	
PA_pp_1.3:7.1	Andho, ekacakkhu, dvicakkhu.	7	
PA_pp_1.3:8.1	Avakujjapañño puggalo, ucchaṅgapañño puggalo, puthupañño puggalo.	8	
PA_pp_1.3:9.1	Atthekacco puggalo kāmesu ca bhavesu ca avītarāgo, atthekacco puggalo kāmesu vītarāgo bhavesu avītarāgo, atthekacco puggalo kāmesu ca bhavesu ca vītarāgo.	9	
PA_pp_1.3:10.1	Pāsāṇalekhūpamo puggalo, pathavilekhūpamo puggalo, udakalekhūpamo puggalo.	10	
PA_pp_1.3:11.1	Tayo potthakūpamā puggalā.	11	
PA_pp_1.3:12.1	Tayo kāsikavatthūpamā puggalā.	12	
PA_pp_1.3:13.1	Suppameyyo, duppameyyo, appameyyo.	13	
PA_pp_1.3:14.1_0	Atthekacco puggalo na sevitabbo na bhajitabbo na payirupāsitabbo, atthekacco puggalo	14	
PA_pp_1.3:14.1_1	sevitabbo bhajitabbo payirupāsitabbo, atthekacco puggalo sakkatvā garuṁ katvā sevitabbo	14	
PA_pp_1.3:14.1_2	bhajitabbo payirupāsitabbo.	14	
PA_pp_1.3:15.1	Atthekacco puggalo jigucchitabbo na sevitabbo na bhajitabbo na payirupāsitabbo, atthekacco puggalo ajjhupekkhitabbo na sevitabbo na bhajitabbo na payirupāsitabbo;	15	
PA_pp_1.3:15.2	atthekacco puggalo sevitabbo bhajitabbo payirupāsitabbo.	15	
PA_pp_1.3:16.1	Atthekacco puggalo sīlesu paripūrakārī, samādhismiṁ mattaso kārī, paññāya mattaso kārī;	16	
PA_pp_1.3:16.2	atthekacco puggalo sīlesu ca paripūrakārī, samādhismiñca paripūrakārī, paññāya mattaso kārī;	16	
PA_pp_1.3:16.3	atthekacco puggalo sīlesu ca paripūrakārī, samādhismiñca paripūrakārī, paññāya ca paripūrakārī.	16	
PA_pp_1.3:17.1	Tayo satthāro.	17	
PA_pp_1.3:18.1	Aparepi tayo satthāro.	18	
PA_pp_1.3:19.1	Tikaṁ.	19	
