segmentnr	original	folio	analyzed
PA_pv_24:0.1	Petavatthu	0	
PA_pv_24:0.2	Ubbarivagga	0	
PA_pv_24:0.3	12. Kaṇṇamuṇḍapetivatthu	0	
PA_pv_24:1.1	“Soṇṇasopānaphalakā,	1	
PA_pv_24:1.2	soṇṇavālukasanthatā;	1	
PA_pv_24:1.3	Tattha sogandhiyā vaggū,	1	
PA_pv_24:1.4	sucigandhā manoramā.	1	
PA_pv_24:2.1	Nānārukkhehi sañchannā,	2	
PA_pv_24:2.2	nānāgandhasameritā;	2	
PA_pv_24:2.3	Nānāpadumasañchannā,	2	
PA_pv_24:2.4	puṇḍarīkasamotatā.	2	
PA_pv_24:3.1	Surabhiṁ sampavāyanti,	3	
PA_pv_24:3.2	manuññā māluteritā;	3	
PA_pv_24:3.3	Haṁsakoñcābhirudā ca,	3	
PA_pv_24:3.4	cakkavakkābhikūjitā.	3	
PA_pv_24:4.1	Nānādijagaṇākiṇṇā,	4	
PA_pv_24:4.2	nānāsaragaṇāyutā;	4	
PA_pv_24:4.3	Nānāphaladharā rukkhā,	4	
PA_pv_24:4.4	nānāpupphadharā vanā.	4	
PA_pv_24:5.1	Na manussesu īdisaṁ,	5	
PA_pv_24:5.2	nagaraṁ yādisaṁ idaṁ;	5	
PA_pv_24:5.3	Pāsādā bahukā tuyhaṁ,	5	
PA_pv_24:5.4	sovaṇṇarūpiyāmayā;	5	
PA_pv_24:5.5	Daddallamānā ābhenti,	5	
PA_pv_24:5.6	samantā caturo disā.	5	
PA_pv_24:6.1	Pañca dāsisatā tuyhaṁ,	6	
PA_pv_24:6.2	yā temā paricārikā;	6	
PA_pv_24:6.3	Tā kambukāyūradharā,	6	
PA_pv_24:6.4	kañcanāveḷabhūsitā.	6	
PA_pv_24:7.1	Pallaṅkā bahukā tuyhaṁ,	7	
PA_pv_24:7.2	sovaṇṇarūpiyāmayā;	7	
PA_pv_24:7.3	Kadalimigasañchannā,	7	
PA_pv_24:7.4	sajjā gonakasanthatā.	7	
PA_pv_24:8.1	Yattha tvaṁ vāsūpagatā,	8	
PA_pv_24:8.2	sabbakāmasamiddhinī;	8	
PA_pv_24:8.3	Sampattāyaḍḍharattāya,	8	
PA_pv_24:8.4	tato uṭṭhāya gacchasi.	8	
PA_pv_24:9.1	Uyyānabhūmiṁ gantvāna,	9	
PA_pv_24:9.2	pokkharaññā samantato;	9	
PA_pv_24:9.3	Tassā tīre tuvaṁ ṭhāsi,	9	
PA_pv_24:9.4	harite saddale subhe.	9	
PA_pv_24:10.1	Tato te kaṇṇamuṇḍo sunakho,	10	
PA_pv_24:10.2	Aṅgamaṅgāni khādati;	10	
PA_pv_24:10.3	Yadā ca khāyitā āsi,	10	
PA_pv_24:10.4	Aṭṭhisaṅkhalikā katā;	10	
PA_pv_24:10.5	Ogāhasi pokkharaṇiṁ,	10	
PA_pv_24:10.6	Hoti kāyo yathā pure.	10	
PA_pv_24:11.1	Tato tvaṁ aṅgapaccaṅgī,	11	
PA_pv_24:11.2	sucāru piyadassanā;	11	
PA_pv_24:11.3	Vatthena pārupitvāna,	11	
PA_pv_24:11.4	āyāsi mama santikaṁ.	11	
PA_pv_24:12.1	Kiṁ nu kāyena vācāya,	12	
PA_pv_24:12.2	manasā dukkaṭaṁ kataṁ;	12	
PA_pv_24:12.3	Kissa kammavipākena,	12	
PA_pv_24:12.4	kaṇṇamuṇḍo sunakho tava;	12	
PA_pv_24:12.5	Aṅgamaṅgāni khādatī”ti.	12	
PA_pv_24:13.1	“Kimilāyaṁ gahapati,	13	
PA_pv_24:13.2	saddho āsi upāsako;	13	
PA_pv_24:13.3	Tassāhaṁ bhariyā āsiṁ,	13	
PA_pv_24:13.4	dussīlā aticārinī.	13	
PA_pv_24:14.1	So maṁ aticaramānāya,	14	
PA_pv_24:14.2	sāmiko etadabravi;	14	
PA_pv_24:14.3	‘Netaṁ channaṁ patirūpaṁ,	14	
PA_pv_24:14.4	yaṁ tvaṁ aticarāsi maṁ’.	14	
PA_pv_24:15.1	Sāhaṁ ghorañca sapathaṁ,	15	
PA_pv_24:15.2	musāvādañca bhāsisaṁ;	15	
PA_pv_24:15.3	‘Nāhaṁ taṁ aticarāmi,	15	
PA_pv_24:15.4	kāyena uda cetasā.	15	
PA_pv_24:16.1	Sacāhaṁ taṁ aticarāmi,	16	
PA_pv_24:16.2	kāyena uda cetasā;	16	
PA_pv_24:16.3	Kaṇṇamuṇḍoyaṁ sunakho,	16	
PA_pv_24:16.4	aṅgamaṅgāni khādatu’.	16	
PA_pv_24:17.1	Tassa kammassa vipākaṁ,	17	
PA_pv_24:17.2	musāvādassa cūbhayaṁ;	17	
PA_pv_24:17.3	Satteva vassasatāni,	17	
PA_pv_24:17.4	anubhūtaṁ yato hi me;	17	
PA_pv_24:17.5	Kaṇṇamuṇḍo ca sunakho,	17	
PA_pv_24:17.6	aṅgamaṅgāni khādati.	17	
PA_pv_24:18.1	Tvañca deva bahukāro,	18	
PA_pv_24:18.2	atthāya me idhāgato;	18	
PA_pv_24:18.3	Sumuttāhaṁ kaṇṇamuṇḍassa,	18	
PA_pv_24:18.4	asokā akutobhayā.	18	
