segmentnr	original	analyzed
PA_pv_30:0.1	Petavatthu	petavatthu 
PA_pv_30:0.2	Cūḷavagga	cūḷa vagga 
PA_pv_30:0.3	5. Kumārapetavatthu	kumārapetavatthu 
PA_pv_30:1.1	Accherarūpaṁ sugatassa ñāṇaṁ,	sugatassa 
PA_pv_30:1.2	Satthā yathā puggalaṁ byākāsi;	satthā yathā puggalam byākāsi 
PA_pv_30:1.3	Ussannapuññāpi bhavanti heke,	ussanna puññāḥ api bhavanti ha ike 
PA_pv_30:1.4	Parittapuññāpi bhavanti heke.	paritta puññā api bhavanti ha ike 
PA_pv_30:2.1	Ayaṁ kumāro sīvathikāya chaḍḍito,	ayam kumāraḥ sīvathikāya chaḍḍitaḥ 
PA_pv_30:2.2	Aṅguṭṭhasnehena yāpeti rattiṁ;	aṅguṭṭha snehena yāpa iti 
PA_pv_30:2.3	Na yakkhabhūtā na sarīsapā vā,	na yakkha bhūtāḥ na sarīsapāḥ vā 
PA_pv_30:2.4	Viheṭhayeyyuṁ katapuññaṁ kumāraṁ.	viheṭhayeyyum kata puññam kumāra 
PA_pv_30:3.1	Sunakhāpimassa palihiṁsu pāde,	pāde 
PA_pv_30:3.2	Dhaṅkā siṅgālā parivattayanti;	dhaṅkā siṅgālā parivattayanti 
PA_pv_30:3.3	Gabbhāsayaṁ pakkhigaṇā haranti,	gabbhā sayam pakkhi gaṇāḥ haranti 
PA_pv_30:3.4	Kākā pana akkhimalaṁ haranti.	kākāḥ pana akkhi malam haranti 
PA_pv_30:4.1	Nayimassa rakkhaṁ vidahiṁsu keci,	rakkham vidahisu keci 
PA_pv_30:4.2	Na osadhaṁ sāsapadhūpanaṁ vā;	na osadham sāsapa dhūpanam vā 
PA_pv_30:4.3	Nakkhattayogampi na aggahesuṁ,	nakkhatta yogam pi na aggahesu 
PA_pv_30:4.4	Na sabbadhaññānipi ākiriṁsu.	na sabba dhañña anipi ākirisu 
PA_pv_30:5.1	Etādisaṁ uttamakicchapattaṁ,	etādisam 
PA_pv_30:5.2	Rattābhataṁ sīvathikāya chaḍḍitaṁ;	sīvathikāya chaḍḍita 
PA_pv_30:5.3	Nonītapiṇḍaṁva pavedhamānaṁ,	nonīta piṇḍava pavedhamāna 
PA_pv_30:5.4	Sasaṁsayaṁ jīvitasāvasesaṁ.	sa sa yam 
PA_pv_30:6.1	Tamaddasā devamanussapūjito,	tam addasā deva manussa pūjito 
PA_pv_30:6.2	Disvā ca taṁ byākari bhūripañño;	disvā ca tam bhūri pañño 
PA_pv_30:6.3	“Ayaṁ kumāro nagarassimassa,	ayam kumāraḥ 
PA_pv_30:6.4	Aggakuliko bhavissati bhogato ca”.	agga kulikaḥ bhavissati bhogato ca 
PA_pv_30:7.1	“Kissa vataṁ kiṁ pana brahmacariyaṁ,	kim pana 
PA_pv_30:7.2	Kissa suciṇṇassa ayaṁ vipāko;	kissa su ciṇṇassa ayam vipākaḥ 
PA_pv_30:7.3	Etādisaṁ byasanaṁ pāpuṇitvā,	etādisam byasanam pāpuṇitvā 
PA_pv_30:7.4	Taṁ tādisaṁ paccanubhossatiddhin”ti.	tam tādisam 
PA_pv_30:8.1	Buddhapamukhassa bhikkhusaṅghassa,	buddha pamukhassa bhikkhu saṅghassa 
PA_pv_30:8.2	Pūjaṁ akāsi janatā uḷāraṁ;	pūjam akāsi janatāḥ uḷāra 
PA_pv_30:8.3	Tatrassa cittassahu aññathattaṁ,	tatrassa cittassahu aññathatta 
PA_pv_30:8.4	Vācaṁ abhāsi pharusaṁ asabbhaṁ.	vācam abhāsi pharusam asabbha 
PA_pv_30:9.1	So taṁ vitakkaṁ pavinodayitvā,	saḥ tam vitakkam pavi nodayitvā 
PA_pv_30:9.2	Pītiṁ pasādaṁ paṭiladdhā pacchā;	pītim pasādam paṭiladdhā pacchā 
PA_pv_30:9.3	Tathāgataṁ jetavane vasantaṁ,	tathāgatam jetavane vasanta 
PA_pv_30:9.4	Yāguyā upaṭṭhāsi sattarattaṁ.	yāguyā upaṭṭhāsi sattaratta 
PA_pv_30:10.1	Tassa vataṁ taṁ pana brahmacariyaṁ,	tassa vatam tam pana 
PA_pv_30:10.2	Tassa suciṇṇassa ayaṁ vipāko;	tassa su ciṇṇassa ayam vipākaḥ 
PA_pv_30:10.3	Etādisaṁ byasanaṁ pāpuṇitvā,	etādisam byasanam pāpuṇitvā 
PA_pv_30:10.4	Taṁ tādisaṁ paccanubhossatiddhiṁ.	tam tādisam 
PA_pv_30:11.1	Ṭhatvāna so vassasataṁ idheva,	saḥ vassa satam idhā iva 
PA_pv_30:11.2	Sabbehi kāmehi samaṅgibhūto;	sabbehi kāmehi samaṅgi bhūtaḥ 
PA_pv_30:11.3	Kāyassa bhedā abhisamparāyaṁ,	kāyassa bhedāḥ abhisamparāya 
PA_pv_30:11.4	Sahabyataṁ gacchati vāsavassāti.	sahabyatam gacchati vāsavaḥ sāti 
PA_pv_30:12.1	Kumārapetavatthu pañcamaṁ.	kumārapetavatthu pañcama 
