segmentnr	original	folio	analyzed
PA_pvr_1.5:0.1	Parivāra	0	
PA_pvr_1.5:0.2	Bhikkhuvibhaṅga	0	
PA_pvr_1.5:0.3	Paṭhamabhāga	0	
PA_pvr_1.5:0.4	1.5 Samuṭṭhānavāra	0	
PA_pvr_1.5:1.1	Methunaṁ dhammaṁ paṭisevantassa āpattiyo channaṁ āpattisamuṭṭhānānaṁ katihi samuṭṭhānehi samuṭṭhanti?	1	
PA_pvr_1.5:1.2	Methunaṁ dhammaṁ paṭisevantassa āpattiyo channaṁ āpattisamuṭṭhānānaṁ ekena samuṭṭhānena samuṭṭhanti—	1	
PA_pvr_1.5:1.3	kāyato ca cittato ca samuṭṭhanti, na vācato …pe….	1	
PA_pvr_1.5:2.1	Anādariyaṁ paṭicca udake uccāraṁ vā passāvaṁ vā kheḷaṁ vā karontassa āpatti channaṁ āpattisamuṭṭhānānaṁ katihi samuṭṭhānehi samuṭṭhāti?	2	
PA_pvr_1.5:2.2	Anādariyaṁ paṭicca udake uccāraṁ vā passāvaṁ vā kheḷaṁ vā karontassa āpatti channaṁ āpattisamuṭṭhānānaṁ ekena samuṭṭhānena samuṭṭhāti—	2	
PA_pvr_1.5:2.3	kāyato ca cittato ca samuṭṭhāti, na vācato.	2	
PA_pvr_1.5:3.1	Samuṭṭhānavāro niṭṭhito pañcamo.	3	
