segmentnr	original	folio	analyzed
PA_pvr_18:0.1	Parivāra	0	
PA_pvr_18:0.2	18. Atthāpattisamuṭṭhāna	0	
PA_pvr_18:0.3	1. Pārājika	0	
PA_pvr_18:1.1	Atthāpatti acittako āpajjati, sacittako vuṭṭhāti.	1	
PA_pvr_18:1.2	Atthāpatti sacittako āpajjati, acittako vuṭṭhāti.	1	
PA_pvr_18:1.3	Atthāpatti acittako āpajjati, acittako vuṭṭhāti.	1	
PA_pvr_18:1.4	Atthāpatti sacittako āpajjati, sacittako vuṭṭhāti.	1	
PA_pvr_18:1.5	Atthāpatti kusalacitto āpajjati, kusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.6	Atthāpatti kusalacitto āpajjati, akusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.7	Atthāpatti kusalacitto āpajjati, abyākatacitto vuṭṭhāti.	1	
PA_pvr_18:1.8	Atthāpatti akusalacitto āpajjati, kusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.9	Atthāpatti akusalacitto āpajjati, akusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.10	Atthāpatti akusalacitto āpajjati, abyākatacitto vuṭṭhāti.	1	
PA_pvr_18:1.11	Atthāpatti abyākatacitto āpajjati, kusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.12	Atthāpatti abyākatacitto āpajjati, akusalacitto vuṭṭhāti.	1	
PA_pvr_18:1.13	Atthāpatti abyākatacitto āpajjati, abyākatacitto vuṭṭhāti.	1	
PA_pvr_18:2.1	Paṭhamaṁ pārājikaṁ katihi samuṭṭhānehi samuṭṭhāti?	2	
PA_pvr_18:2.2	Paṭhamaṁ pārājikaṁ ekena samuṭṭhānena samuṭṭhāti.	2	
PA_pvr_18:2.3	Kāyato ca cittato ca samuṭṭhāti, na vācato.	2	
PA_pvr_18:3.1	Dutiyaṁ pārājikaṁ katihi samuṭṭhānehi samuṭṭhāti?	3	
PA_pvr_18:3.2	Dutiyaṁ pārājikaṁ tīhi samuṭṭhānehi samuṭṭhāti—	3	
PA_pvr_18:3.3	siyā kāyato ca cittato ca samuṭṭhāti, na vācato;	3	
PA_pvr_18:3.4	siyā vācato ca cittato ca samuṭṭhāti, na kāyato;	3	
PA_pvr_18:3.5	siyā kāyato ca vācato ca cittato ca samuṭṭhāti.	3	
PA_pvr_18:4.1	Tatiyaṁ pārājikaṁ katihi samuṭṭhānehi samuṭṭhāti?	4	
PA_pvr_18:4.2	Tatiyaṁ pārājikaṁ tīhi samuṭṭhānehi samuṭṭhāti—	4	
PA_pvr_18:4.3	siyā kāyato ca cittato ca samuṭṭhāti, na vācato;	4	
PA_pvr_18:4.4	siyā vācato ca cittato ca samuṭṭhāti, na kāyato;	4	
PA_pvr_18:4.5	siyā kāyato ca vācato ca cittato ca samuṭṭhāti.	4	
PA_pvr_18:5.1	Catutthaṁ pārājikaṁ katihi samuṭṭhānehi samuṭṭhāti?	5	
PA_pvr_18:5.2	Catutthaṁ pārājikaṁ tīhi samuṭṭhānehi samuṭṭhāti—	5	
PA_pvr_18:5.3	siyā kāyato ca cittato ca samuṭṭhāti, na vācato;	5	
PA_pvr_18:5.4	siyā vācato ca cittato ca samuṭṭhāti, na kāyato;	5	
PA_pvr_18:5.5	siyā kāyato ca vācato ca cittato ca samuṭṭhāti.	5	
PA_pvr_18:6.1	Cattāro pārājikā niṭṭhitā.	6	
PA_pvr_18:7.0	2. Saṅghādisesa	7	
PA_pvr_18:7.1	Upakkamitvā asuciṁ mocentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	7	
PA_pvr_18:7.2	Upakkamitvā asuciṁ mocentassa saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	7	
PA_pvr_18:7.3	kāyato ca cittato ca samuṭṭhāti, na vācato.	7	
PA_pvr_18:8.1	Mātugāmena saddhiṁ kāyasaṁsaggaṁ samāpajjantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	8	
PA_pvr_18:8.2	Mātugāmena saddhiṁ kāyasaṁsaggaṁ samāpajjantassa saṅghādiseso ekena samuṭṭhānena samuṭṭhāti—	8	
PA_pvr_18:8.3	kāyato ca cittato ca samuṭṭhāti, na vācato.	8	
PA_pvr_18:9.1	Mātugāmaṁ duṭṭhullāhi vācāhi obhāsentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	9	
PA_pvr_18:9.2	Mātugāmaṁ duṭṭhullāhi vācāhi obhāsentassa saṅghādiseso tīhi samuṭṭhānehi samuṭṭhāti—	9	
PA_pvr_18:9.3	siyā kāyato ca cittato ca samuṭṭhāti na vācato;	9	
PA_pvr_18:9.4	siyā vācato ca cittato ca samuṭṭhāti, na kāyato;	9	
PA_pvr_18:9.5	siyā kāyato ca vācato ca cittato ca samuṭṭhāti.	9	
PA_pvr_18:10.1	Mātugāmassa santike attakāmapāricariyāya vaṇṇaṁ bhāsantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	10	
PA_pvr_18:10.2	Mātugāmassa santike attakāmapāricariyāya vaṇṇaṁ bhāsantassa saṅghādiseso tīhi samuṭṭhānehi samuṭṭhāti …pe….	10	
PA_pvr_18:11.1	Sañcarittaṁ samāpajjantassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	11	
PA_pvr_18:11.2	Sañcarittaṁ samāpajjantassa saṅghādiseso chahi samuṭṭhānehi samuṭṭhāti—	11	
PA_pvr_18:11.3	siyā kāyato samuṭṭhāti, na vācato na cittato;	11	
PA_pvr_18:11.4	siyā vācato samuṭṭhāti, na kāyato na cittato;	11	
PA_pvr_18:11.5	siyā kāyato ca vācato ca samuṭṭhāti, na cittato;	11	
PA_pvr_18:11.6	siyā kāyato ca cittato ca samuṭṭhāti, na vācato;	11	
PA_pvr_18:11.7	siyā vācato ca cittato ca samuṭṭhāti, na kāyato;	11	
PA_pvr_18:11.8	siyā kāyato ca vācato ca cittato ca samuṭṭhāti.	11	
PA_pvr_18:12.1	Saññācikāya kuṭiṁ kārāpentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	12	
PA_pvr_18:12.2	Saññācikāya kuṭiṁ kārāpentassa saṅghādiseso chahi samuṭṭhānehi samuṭṭhāti …pe….	12	
PA_pvr_18:13.1	Mahallakaṁ vihāraṁ kārāpentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	13	
PA_pvr_18:13.2	Mahallakaṁ vihāraṁ kārāpentassa saṅghādiseso chahi samuṭṭhānehi samuṭṭhāti …pe….	13	
PA_pvr_18:14.1	Bhikkhuṁ amūlakena pārājikena dhammena anuddhaṁsentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	14	
PA_pvr_18:14.2	Bhikkhuṁ amūlakena pārājikena dhammena anuddhaṁsentassa saṅghādiseso tīhi samuṭṭhānehi samuṭṭhāti …pe….	14	
PA_pvr_18:15.1	Bhikkhuṁ aññabhāgiyassa adhikaraṇassa kiñci desaṁ lesamattaṁ upādāya pārājikena dhammena anuddhaṁsentassa saṅghādiseso katihi samuṭṭhānehi samuṭṭhāti?	15	
