segmentnr	original	folio	analyzed
PA_snp_5.10:0.1	Sutta Nipāta 5.10	0	
PA_snp_5.10:0.2	Todeyyamāṇavapucchā	0	
PA_snp_5.10:1.1	“Yasmiṁ kāmā na vasanti,	1	
PA_snp_5.10:1.2	(iccāyasmā todeyyo)	1	
PA_snp_5.10:1.3	Taṇhā yassa na vijjati;	1	
PA_snp_5.10:1.4	Kathaṅkathā ca yo tiṇṇo,	1	
PA_snp_5.10:1.5	Vimokkho tassa kīdiso”.	1	
PA_snp_5.10:2.1	“Yasmiṁ kāmā na vasanti,	2	
PA_snp_5.10:2.2	(todeyyāti bhagavā)	2	
PA_snp_5.10:2.3	Taṇhā yassa na vijjati;	2	
PA_snp_5.10:2.4	Kathaṅkathā ca yo tiṇṇo,	2	
PA_snp_5.10:2.5	Vimokkho tassa nāparo”.	2	
PA_snp_5.10:3.1	“Nirāsaso so uda āsasāno,	3	
PA_snp_5.10:3.2	Paññāṇavā so uda paññakappī;	3	
PA_snp_5.10:3.3	Muniṁ ahaṁ sakka yathā vijaññaṁ,	3	
PA_snp_5.10:3.4	Taṁ me viyācikkha samantacakkhu”.	3	
PA_snp_5.10:4.1	“Nirāsaso so na ca āsasāno,	4	
PA_snp_5.10:4.2	Paññāṇavā so na ca paññakappī;	4	
PA_snp_5.10:4.3	Evampi todeyya muniṁ vijāna,	4	
PA_snp_5.10:4.4	Akiñcanaṁ kāmabhave asattan”ti.	4	
PA_snp_5.10:4.5	Todeyyamāṇavapucchā navamā.	4	
