segmentnr	original	folio	analyzed
PA_tha-ap_439:0.1	Therāpadāna	0	
PA_tha-ap_439:0.2	Ekavihārivagga	0	
PA_tha-ap_439:0.3	7. Ambāṭakadāyakattheraapadāna	0	
PA_tha-ap_439:1.1	“Vipine buddhaṁ disvāna,	1	
PA_tha-ap_439:1.2	sayambhuṁ aparājitaṁ;	1	
PA_tha-ap_439:1.3	Ambāṭakaṁ gahetvāna,	1	
PA_tha-ap_439:1.4	sayambhussa adāsahaṁ.	1	
PA_tha-ap_439:2.1	Ekatiṁse ito kappe,	2	
PA_tha-ap_439:2.2	yaṁ phalamadadiṁ tadā;	2	
PA_tha-ap_439:2.3	Duggatiṁ nābhijānāmi,	2	
PA_tha-ap_439:2.4	phaladānassidaṁ phalaṁ.	2	
PA_tha-ap_439:3.1	Kilesā jhāpitā mayhaṁ,	3	
PA_tha-ap_439:3.2	…pe…	3	
PA_tha-ap_439:3.3	viharāmi anāsavo.	3	
PA_tha-ap_439:4.1	Svāgataṁ vata me āsi,	4	
PA_tha-ap_439:4.2	…pe…	4	
PA_tha-ap_439:4.3	kataṁ buddhassa sāsanaṁ.	4	
PA_tha-ap_439:5.1	Paṭisambhidā catasso,	5	
PA_tha-ap_439:5.2	…pe…	5	
PA_tha-ap_439:5.3	kataṁ buddhassa sāsanaṁ”.	5	
PA_tha-ap_439:6.1	Itthaṁ sudaṁ āyasmā ambāṭakadāyako thero imā gāthāyo abhāsitthāti.	6	
PA_tha-ap_439:7.1	Ambāṭakadāyakattherassāpadānaṁ sattamaṁ.	7	
