segmentnr	original	folio	analyzed
PA_thag_12.1:0.1	Theragāthā 12.1	0	
PA_thag_12.1:0.2	Dvādasakanipāta	0	
PA_thag_12.1:0.3	Paṭhamavagga	0	
PA_thag_12.1:0.4	Sīlavattheragāthā	0	
PA_thag_12.1:1.1	“Sīlamevidha sikkhetha,	1	
PA_thag_12.1:1.2	asmiṁ loke susikkhitaṁ;	1	
PA_thag_12.1:1.3	Sīlañhi sabbasampattiṁ,	1	
PA_thag_12.1:1.4	upanāmeti sevitaṁ.	1	
PA_thag_12.1:2.1	Sīlaṁ rakkheyya medhāvī,	2	
PA_thag_12.1:2.2	patthayāno tayo sukhe;	2	
PA_thag_12.1:2.3	Pasaṁsaṁ vittilābhañca,	2	
PA_thag_12.1:2.4	pecca sagge pamodanaṁ.	2	
PA_thag_12.1:3.1	Sīlavā hi bahū mitte,	3	
PA_thag_12.1:3.2	saññamenādhigacchati;	3	
PA_thag_12.1:3.3	Dussīlo pana mittehi,	3	
PA_thag_12.1:3.4	dhaṁsate pāpamācaraṁ.	3	
PA_thag_12.1:4.1	Avaṇṇañca akittiñca,	4	
PA_thag_12.1:4.2	dussīlo labhate naro;	4	
PA_thag_12.1:4.3	Vaṇṇaṁ kittiṁ pasaṁsañca,	4	
PA_thag_12.1:4.4	sadā labhati sīlavā.	4	
PA_thag_12.1:5.1	Ādi sīlaṁ patiṭṭhā ca,	5	
PA_thag_12.1:5.2	kalyāṇānañca mātukaṁ;	5	
PA_thag_12.1:5.3	Pamukhaṁ sabbadhammānaṁ,	5	
PA_thag_12.1:5.4	tasmā sīlaṁ visodhaye.	5	
PA_thag_12.1:6.1	Velā ca saṁvaraṁ sīlaṁ,	6	
PA_thag_12.1:6.2	cittassa abhihāsanaṁ;	6	
PA_thag_12.1:6.3	Titthañca sabbabuddhānaṁ,	6	
PA_thag_12.1:6.4	tasmā sīlaṁ visodhaye.	6	
PA_thag_12.1:7.1	Sīlaṁ balaṁ appaṭimaṁ,	7	
PA_thag_12.1:7.2	sīlaṁ āvudhamuttamaṁ;	7	
PA_thag_12.1:7.3	Sīlamābharaṇaṁ seṭṭhaṁ,	7	
PA_thag_12.1:7.4	sīlaṁ kavacamabbhutaṁ.	7	
PA_thag_12.1:8.1	Sīlaṁ setu mahesakkho,	8	
PA_thag_12.1:8.2	sīlaṁ gandho anuttaro;	8	
PA_thag_12.1:8.3	Sīlaṁ vilepanaṁ seṭṭhaṁ,	8	
PA_thag_12.1:8.4	yena vāti disodisaṁ.	8	
PA_thag_12.1:9.1	Sīlaṁ sambalamevaggaṁ,	9	
PA_thag_12.1:9.2	sīlaṁ pātheyyamuttamaṁ;	9	
PA_thag_12.1:9.3	Sīlaṁ seṭṭho ativāho,	9	
PA_thag_12.1:9.4	yena yāti disodisaṁ.	9	
PA_thag_12.1:10.1	Idheva nindaṁ labhati,	10	
PA_thag_12.1:10.2	peccāpāye ca dummano;	10	
PA_thag_12.1:10.3	Sabbattha dummano bālo,	10	
PA_thag_12.1:10.4	sīlesu asamāhito.	10	
PA_thag_12.1:11.1	Idheva kittiṁ labhati,	11	
PA_thag_12.1:11.2	pecca sagge ca summano;	11	
PA_thag_12.1:11.3	Sabbattha sumano dhīro,	11	
PA_thag_12.1:11.4	sīlesu susamāhito.	11	
PA_thag_12.1:12.1	Sīlameva idha aggaṁ,	12	
PA_thag_12.1:12.2	paññavā pana uttamo;	12	
PA_thag_12.1:12.3	Manussesu ca devesu,	12	
PA_thag_12.1:12.4	sīlapaññāṇato jayan”ti.	12	
PA_thag_12.1:12.5	… Sīlavo thero ….	12	
