segmentnr	original	analyzed
PA_thag_4.12:0.1	Theragāthā 4.12	theragāthā 
PA_thag_4.12:0.2	Catukkanipāta	catukka nipāta 
PA_thag_4.12:0.3	Paṭhamavagga	paṭhama vagga 
PA_thag_4.12:0.4	Muditattheragāthā	muditattheragāthā 
PA_thag_4.12:1.1	“Pabbajiṁ jīvikatthohaṁ,	pabbajim jīvikatthā uha 
PA_thag_4.12:1.2	laddhāna upasampadaṁ;	laddhānaḥ upasampadaḥ 
PA_thag_4.12:1.3	Tato saddhaṁ paṭilabhiṁ,	tatas saddham 
PA_thag_4.12:1.4	daḷhavīriyo parakkamiṁ.	daḷha vīriyo parakkami 
PA_thag_4.12:2.1	Kāmaṁ bhijjatuyaṁ kāyo,	kāmam kāyo 
PA_thag_4.12:2.2	maṁsapesī visīyaruṁ;	masapesī visīyaru 
PA_thag_4.12:2.3	Ubho jaṇṇukasandhīhi,	ubhaḥ jaṇṇuka sandhīhi 
PA_thag_4.12:2.4	jaṅghāyo papatantu me.	jaṅghāyo papatantu me 
PA_thag_4.12:3.1	Nāsissaṁ na pivissāmi,	na asissam na pivissāmi 
PA_thag_4.12:3.2	vihārā ca na nikkhame;	vihārā ca na nikkhame 
PA_thag_4.12:3.3	Napi passaṁ nipātessaṁ,	na pi passam nipātessa 
PA_thag_4.12:3.4	taṇhāsalle anūhate.	taṇhāsalle anūhate 
PA_thag_4.12:4.1	Tassa mevaṁ viharato,	tassa mā evam viharato 
PA_thag_4.12:4.2	passa vīriyaparakkamaṁ;	passa vīriya parakkama 
PA_thag_4.12:4.3	Tisso vijjā anuppattā,	tissaḥ vijjāḥ an uppattā 
PA_thag_4.12:4.4	kataṁ buddhassa sāsanan”ti.	katam buddhassa sāsananti 
PA_thag_4.12:4.5	… Mudito thero …	muditaḥ theraḥ 
PA_thag_4.12:4.6	Catukkanipāto niṭṭhito.	catukka nipātaḥ niṭṭhito 
PA_thag_4.12:5.0	Tatruddānaṁ	tatra uddāna 
PA_thag_4.12:5.1	Nāgasamālo bhagu ca,	nāga samālaḥ bhagu ca 
PA_thag_4.12:5.2	sabhiyo nandakopi ca;	sabhiyaḥ nandakaḥ upi ca 
PA_thag_4.12:5.3	Jambuko senako thero,	jambukaḥ senakaḥ theraḥ 
PA_thag_4.12:5.4	sambhūto rāhulopi ca.	sambhūtaḥ rāhulaḥ upi ca 
PA_thag_4.12:6.1	Bhavati candano thero,	bhavati candanaḥ theraḥ 
PA_thag_4.12:6.2	dasete buddhasāvakā;	dasa ite buddha sāvakā 
PA_thag_4.12:6.3	Dhammiko sappako thero,	dhammikaḥ sappakaḥ thero 
PA_thag_4.12:6.4	mudito cāpi te tayo;	ca api te 
PA_thag_4.12:6.5	Gāthāyo dve ca paññāsa,	dve ca paññāsa 
PA_thag_4.12:6.6	therā sabbepi terasāti.	therā sabbe pi terasā ati 
