segmentnr	original	folio	analyzed
PA_thig_2.2:0.1	Therīgāthā 2.2	0	
PA_thig_2.2:0.2	Dukanipāta	0	
PA_thig_2.2:0.3	Jentātherīgāthā	0	
PA_thig_2.2:1.1	“Ye ime satta bojjhaṅgā,	1	
PA_thig_2.2:1.2	maggā nibbānapattiyā;	1	
PA_thig_2.2:1.3	Bhāvitā te mayā sabbe,	1	
PA_thig_2.2:1.4	yathā buddhena desitā.	1	
PA_thig_2.2:2.1	Diṭṭho hi me so bhagavā,	2	
PA_thig_2.2:2.2	antimoyaṁ samussayo;	2	
PA_thig_2.2:2.3	Vikkhīṇo jātisaṁsāro,	2	
PA_thig_2.2:2.4	natthi dāni punabbhavo”ti.	2	
PA_thig_2.2:3.1	Itthaṁ sudaṁ jentā therī gāthāyo abhāsitthāti.	3	
