segmentnr	original	folio	analyzed
PA_thig_6.2:0.1	Therīgāthā 6.2	0	
PA_thig_6.2:0.2	Chakkanipāta	0	
PA_thig_6.2:0.3	Vāseṭṭhītherīgāthā	0	
PA_thig_6.2:1.1	“Puttasokenahaṁ aṭṭā,	1	
PA_thig_6.2:1.2	khittacittā visaññinī;	1	
PA_thig_6.2:1.3	Naggā pakiṇṇakesī ca,	1	
PA_thig_6.2:1.4	tena tena vicārihaṁ.	1	
PA_thig_6.2:2.1	Vīthi saṅkārakūṭesu,	2	
PA_thig_6.2:2.2	susāne rathiyāsu ca;	2	
PA_thig_6.2:2.3	Acariṁ tīṇi vassāni,	2	
PA_thig_6.2:2.4	khuppipāsāsamappitā.	2	
PA_thig_6.2:3.1	Athaddasāsiṁ sugataṁ,	3	
PA_thig_6.2:3.2	nagaraṁ mithilaṁ pati;	3	
PA_thig_6.2:3.3	Adantānaṁ dametāraṁ,	3	
PA_thig_6.2:3.4	sambuddhamakutobhayaṁ.	3	
PA_thig_6.2:4.1	Sacittaṁ paṭiladdhāna,	4	
PA_thig_6.2:4.2	vanditvāna upāvisiṁ;	4	
PA_thig_6.2:4.3	So me dhammamadesesi,	4	
PA_thig_6.2:4.4	anukampāya gotamo.	4	
PA_thig_6.2:5.1	Tassa dhammaṁ suṇitvāna,	5	
PA_thig_6.2:5.2	pabbajiṁ anagāriyaṁ;	5	
PA_thig_6.2:5.3	Yuñjantī satthuvacane,	5	
PA_thig_6.2:5.4	sacchākāsiṁ padaṁ sivaṁ.	5	
PA_thig_6.2:6.1	Sabbe sokā samucchinnā,	6	
PA_thig_6.2:6.2	pahīnā etadantikā;	6	
PA_thig_6.2:6.3	Pariññātā hi me vatthū,	6	
PA_thig_6.2:6.4	yato sokāna sambhavo”ti.	6	
PA_thig_6.2:7.1	… Vāseṭṭhī therī ….	7	
