segmentnr	original	analyzed
PA_tika-s01_03t:0	Namo tassa bhagavato arahato sammāsambuddhassa	namaḥ tassa bhagavataḥ arahataḥ sammāsambuddhassa 
PA_tika-s01_03t:1	Dīghanikāye	dīgha nikāye 
PA_tika-s01_03t:2	Pāthikavaggaṭīkā	pāthika vagga ṭīkā 
PA_tika-s01_03t:3	1. Pāthikasuttavaṇṇanā	pāthika sutta vaṇṇanā 
PA_tika-s01_03t:4	Sunakkhattavatthuvaṇṇanā	sunakkhatta vatthu vaṇṇanā 
PA_tika-s01_03t:5_0	1. Apubbapadavaṇṇanāti atthasaṃvaṇṇanāvasena heṭṭhā aggahitatāya apubbassa abhinavassa	apubba pada vaṇṇanā ti attha saṃvaṇṇanā vasena heṭṭhā aggahita tāya apubbassa abhinavassa 
PA_tika-s01_03t:5_1	padassa vaṇṇanā atthavibhāvanā. “Hitvā punappunāgatamattha”nti hi vuttaṃ. Mallesūti	padassa vaṇṇanā attha vibhāvanā hitvā punappuna āgatam atthanti hi vuttam mallesu iti 
PA_tika-s01_03t:5_2	ettha yaṃ vattabbaṃ, taṃ heṭṭhā vuttanayameva. Chāyūdakasampanne vanasaṇḍe viharatīti	ettha yam vattabbam tam heṭṭhā vutta nayam eva chāyūdaka sampanne vana saṇḍe viharati iti 
PA_tika-s01_03t:5_3	anupiyasāmantā katassa vihārassa abhāvato. Yadi na tāva paviṭṭho, kasmā “pāvisī”ti	anupiya sāmantā katassa vihārassa abhāvato yadi na tāva paviṭṭho kasmā pāvisi iti 
PA_tika-s01_03t:5_4	vuttanti āha “pavisissāmī”tiādi, tena avassaṃ bhāvini bhūte viya upacārā hontīti	vuttam ti āha pavisissāmi itiādi tena avassam bhāvini bhūte viya upacārāḥ honti iti 
PA_tika-s01_03t:5_5	dasseti. Idāni tamatthaṃ upamāya vibhāvento “yathā ki”ntiādimāha. Etanti etaṃ “atippago	dassa iti idāni tam attham upamāya vibhāventaḥ yathā kim ti ādim āha etam ti etam atippago 
PA_tika-s01_03t:5_6	kho”tiādikaṃ cintanaṃ ahosi. Ativiya pago khoti ativiya pātova. Channakopīnatāya,	channa kopīna tāya 
PA_tika-s01_03t:5_7	paribbājakapabbajjupagamena ca channaparibbājakaṃ, na naggaparibbājakaṃ.	paribbājaka pabbajja upagamena ca channa paribbājakam na nagga paribbājakam 
PA_tika-s01_03t:6_0	2. Yasmā bhagavato uccākulappasutataṃ, mahābhinikkhamananikkhantataṃ, anaññasādhāraṇadukkaracaraṇaṃ,	yasmai bhagavato ucca ākula ppasuta tam mahā abhinikkhamana nikkhanta tam anañña sādhāraṇa dukkara caraṇam 
PA_tika-s01_03t:6_1	vivekavāsaṃ, lokasambhāvitataṃ, ovādānusāsanīhi lokassa bahupakārataṃ, parappavādamaddanaṃ,	viveka vāsam ovāda anusāsanīhi lokassa bahu pakāra tam para pavāda maddanam 
PA_tika-s01_03t:6_2	mahiddhikataṃ, mahānubhāvatanti evamādikaṃ taṃtaṃattapaccakkhaguṇavisesaṃ nissāya	mahiddhika tam mahā anubhāva tam ti evamādikam taṃ taṃ atta paccakkha guṇa visesam nissāya 
PA_tika-s01_03t:6_3	yebhuyyena aññatitthiyāpi bhagavantaṃ disvā ādaragāravabahumānaṃ dassentiyeva, tasmā	yebhuyyena añña titthiyā api bhagavantam disvā ādara gārava bahu mānam dassentiyā iva tasmai 
PA_tika-s01_03t:6_4	vuttaṃ “bhagavantaṃ disvā mānathaddhataṃ akatvā”tiādi. Lokasamudācāravasenāti lokopacāravasena.	vuttam bhagavantam disvā a katvā atiādi loka samudācāra vasena ati loka upacāra vasena 
PA_tika-s01_03t:6_5	Cirassanti cirakālena. Ādīni vadanti upacāravasena. Tassāti bhaggavagottassa paribbājakassa.	cirassanti cira kālena ādīni vadanti upacāra vasena tassa ati bhaggavaga uttassa paribbājakassa 
PA_tika-s01_03t:6_6	Gihisahāyoti gihikālato paṭṭhāya sahāyo. Paccakkhātoti yenākārena paccakkhānā, taṃ	gihi sahāyo ti gihi kālataḥ paṭṭhāya sahāyo paccakkhāto ti yena ākārena paccakkhānā tam 
PA_tika-s01_03t:6_7	dassetuṃ “paccakkhāmī”tiādi vuttaṃ.	dassetum paccakkhāmi itiādi vuttam 
