segmentnr	original	folio	analyzed
PA_tika-vin09_t:0	Namo tassa bhagavato arahato sammāsambuddhassa	0	
PA_tika-vin09_t:1	Kaṅkhāvitaraṇīpurāṇa-ṭīkā	0	
PA_tika-vin09_t:2	Ganthārambhakathā	0	
PA_tika-vin09_t:3	Buddhaṃ dhammañca saṅghanti-ādinā yā pakāsitā;	0	
PA_tika-vin09_t:4	Bhadantabuddhaghosena, mātikāṭṭhakathā subhā;	0	
PA_tika-vin09_t:5	Tassā hi līnapadaṃ vi-kāsanakoyamārambho.	0	
PA_tika-vin09_t:6	Ganthārambhakathāvaṇṇanā	0	
PA_tika-vin09_t:7_0	Vippasannenāti vividhappasannena. Kathaṃ? “Itipi so…pe… buddho bhagavā, svākkhāto…pe…	7	
PA_tika-vin09_t:7_1	viññūhi, suppaṭipanno…pe… lokassā”ti evamādinā. “Cetasā”ti vuttattā tīsu vandanāsu	7	
PA_tika-vin09_t:7_2	cetovandanā adhippetā. Tanninnatādivasena kāyādīhi paṇāmakaraṇaṃ vandanā, guṇavasena	7	
PA_tika-vin09_t:7_3	manasāpi tathāva karaṇaṃ mānaṃ, paccayappaṭipattiyādīhi pūjākaraṇaṃ pūjā, paccayādīnaṃ	7	
PA_tika-vin09_t:7_4	abhisaṅkharaṇaṃ sakkacca karaṇaṃ sakkāro, tesaṃ. Bhājananti ādhāro, adhikaraṇaṃ vā.	7	
PA_tika-vin09_t:8_0	Therā mahākassapādayo, tesaṃ vaṃsoti theravaṃso, āgamādhigamasampadāya tassa vaṃsassa	8	
PA_tika-vin09_t:8_1	padīpabhūtāti theravaṃsappadīpā, tesaṃ theravaṃsappadīpānaṃ. Asaṃhīrattā thirānaṃ.	8	
PA_tika-vin09_t:8_2	Vinayakkameti vinayapiṭake, ārambhānurūpavacanametaṃ. Suttābhidhammesupi te thirā	8	
PA_tika-vin09_t:8_3	eva. “Buddhaṃ dhammañca saṅghañca pubbācariyasīhānañcā”ti avatvā kasmā visuṃ vuttanti	8	
PA_tika-vin09_t:8_4	ce? Payojanavisesadassanatthaṃ. Vatthuttayassa hi paṇāmakaraṇassa antarāyanivāraṇaṃ	8	
PA_tika-vin09_t:8_5	payojanaṃ attano nissayabhūtānaṃ ācariyānaṃ paṇāmakaraṇassa upakāraññutādassanaṃ.	8	
PA_tika-vin09_t:8_6	Tena buddhañca dhammañca saṅghañca vanditvā, ca-saddena pubbācariyasīhānañca namo	8	
PA_tika-vin09_t:8_7	katvāti yojanā. Atha vā “vanditvā”ti cetovandanaṃ dassetvā tato “namo katvā”ti vācāvandanā,	8	
PA_tika-vin09_t:8_8	“katañjalī”ti kāyavandanāpi dassitāti yojetabbaṃ.	8	
PA_tika-vin09_t:9_0	Idāni abhidhānappayojanaṃ dassetuṃ “pāmokkha”ntiādimāha. Tattha pāmokkhanti padhānaṃ.	9	
PA_tika-vin09_t:9_1	Sīlañhi sabbesaṃ kusaladhammānaṃ padhānaṃ ādibhāvato. Yathā ca sattānaṃ khajjabhojjaleyyapeyyavasena	9	
PA_tika-vin09_t:9_2	catubbidhopi āhāro mukhena pavisitvā aṅgamaṅgāni pharati, evaṃ yoginopi cātubhūmakaṃ	9	
PA_tika-vin09_t:9_3	kusalaṃ sīlamukhena pavisitvā atthasiddhiṃ sampādeti. Tena vuttaṃ “mukha”ntiādi.	9	
PA_tika-vin09_t:9_4	Atha vā mukhanti upāyo, tena mokkhappavesāya nibbānasacchikiriyāya mukhaṃ upāyoti	9	
PA_tika-vin09_t:9_5	attho. Mahesinā yaṃ pātimokkhaṃ pakāsitanti sambandho. Mahante sīlādikkhandhe esi gavesīti mahesi.	9	
PA_tika-vin09_t:10_0	Sūratena nivātenāti “tattha katamaṃ soraccaṃ? Yo kāyiko avītikkamo”tiādinā sūratena,	10	
