segmentnr	original	folio	analyzed
PA_ud_4.6:0.1	Udāna 4.6	0	
PA_ud_4.6:0.2	Piṇḍolasutta	0	
PA_ud_4.6:1.1	Evaṁ me sutaṁ—	1	
PA_ud_4.6:1.2	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_ud_4.6:1.3_0	Tena kho pana samayena āyasmā piṇḍolabhāradvājo bhagavato avidūre nisinno hoti pallaṅkaṁ	1	
PA_ud_4.6:1.3_1	ābhujitvā ujuṁ kāyaṁ paṇidhāya āraññiko piṇḍapātiko paṁsukūliko tecīvariko appiccho	1	
PA_ud_4.6:1.3_2	santuṭṭho pavivitto asaṁsaṭṭho āraddhavīriyo dhutavādo adhicittamanuyutto.	1	
PA_ud_4.6:2.1_0	Addasā kho bhagavā āyasmantaṁ piṇḍolabhāradvājaṁ avidūre nisinnaṁ pallaṅkaṁ ābhujitvā	2	
PA_ud_4.6:2.1_1	ujuṁ kāyaṁ paṇidhāya āraññikaṁ piṇḍapātikaṁ paṁsukūlikaṁ tecīvarikaṁ appicchaṁ santuṭṭhaṁ	2	
PA_ud_4.6:2.1_2	pavivittaṁ asaṁsaṭṭhaṁ āraddhavīriyaṁ dhutavādaṁ adhicittamanuyuttaṁ.	2	
PA_ud_4.6:3.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi:	3	
PA_ud_4.6:4.1	“Anūpavādo anūpaghāto,	4	
PA_ud_4.6:4.2	Pātimokkhe ca saṁvaro;	4	
PA_ud_4.6:4.3	Mattaññutā ca bhattasmiṁ,	4	
PA_ud_4.6:4.4	Pantañca sayanāsanaṁ;	4	
PA_ud_4.6:4.5	Adhicitte ca āyogo,	4	
PA_ud_4.6:4.6	Etaṁ buddhāna sāsanan”ti.	4	
PA_ud_4.6:4.7	Chaṭṭhaṁ.	4	
