segmentnr	original	folio	analyzed
PA_ud_5.7:0.1	Udāna 5.7	0	
PA_ud_5.7:0.2	Kaṅkhārevatasutta	0	
PA_ud_5.7:1.1	Evaṁ me sutaṁ—	1	
PA_ud_5.7:1.2	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	1	
PA_ud_5.7:1.3	Tena kho pana samayena āyasmā kaṅkhārevato bhagavato avidūre nisinno hoti pallaṅkaṁ ābhujitvā ujuṁ kāyaṁ paṇidhāya attano kaṅkhāvitaraṇavisuddhiṁ paccavekkhamāno.	1	
PA_ud_5.7:2.1	Addasā kho bhagavā āyasmantaṁ kaṅkhārevataṁ avidūre nisinnaṁ pallaṅkaṁ ābhujitvā ujuṁ kāyaṁ paṇidhāya attano kaṅkhāvitaraṇavisuddhiṁ paccavekkhamānaṁ.	2	
PA_ud_5.7:3.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi:	3	
PA_ud_5.7:4.1	“Yā kāci kaṅkhā idha vā huraṁ vā,	4	
PA_ud_5.7:4.2	Sakavediyā vā paravediyā vā;	4	
PA_ud_5.7:4.3	Ye jhāyino tā pajahanti sabbā,	4	
PA_ud_5.7:4.4	Ātāpino brahmacariyaṁ carantā”ti.	4	
PA_ud_5.7:4.5	Sattamaṁ.	4	
