segmentnr	original	folio	analyzed
PA_vb_14:0.1	Vibhaṅga	0	
PA_vb_14:0.2	Sikkhāpadavibhaṅga	0	
PA_vb_14:1.0	1. Abhidhammabhājanīya	1	
PA_vb_14:1.1	Pañca sikkhāpadāni—	1	
PA_vb_14:1.2_0	pāṇātipātā veramaṇī sikkhāpadaṁ, adinnādānā veramaṇī sikkhāpadaṁ, kāmesumicchācārā	1	
PA_vb_14:1.2_1	veramaṇī sikkhāpadaṁ, musāvādā veramaṇī sikkhāpadaṁ, surāmerayamajjapamādaṭṭhānā	1	
PA_vb_14:1.2_2	veramaṇī sikkhāpadaṁ.	1	
PA_vb_14:2.1	Tattha katamaṁ pāṇātipātā veramaṇī sikkhāpadaṁ?	2	
PA_vb_14:2.2_0	Yasmiṁ samaye kāmāvacaraṁ kusalaṁ cittaṁ uppannaṁ hoti somanassasahagataṁ ñāṇasampayuttaṁ	2	
PA_vb_14:2.2_1	pāṇātipātā viramantassa, yā tasmiṁ samaye pāṇātipātā ārati virati paṭivirati veramaṇī	2	
PA_vb_14:2.2_2	akiriyā akaraṇaṁ anajjhāpatti velāanatikkamo setughāto—	2	
PA_vb_14:2.3	idaṁ vuccati “pāṇātipātā veramaṇī sikkhāpadaṁ”.	2	
PA_vb_14:2.4	Avasesā dhammā veramaṇiyā sampayuttā.	2	
PA_vb_14:3.1	Tattha katamaṁ pāṇātipātā veramaṇī sikkhāpadaṁ?	3	
PA_vb_14:3.2	Yasmiṁ samaye kāmāvacaraṁ kusalaṁ cittaṁ uppannaṁ hoti somanassasahagataṁ ñāṇasampayuttaṁ pāṇātipātā viramantassa, yā tasmiṁ samaye cetanā sañcetanā sañcetayitattaṁ—	3	
PA_vb_14:3.3	idaṁ vuccati “pāṇātipātā veramaṇī sikkhāpadaṁ”.	3	
PA_vb_14:3.4	Avasesā dhammā cetanāya sampayuttā.	3	
PA_vb_14:4.1	Tattha katamaṁ pāṇātipātā veramaṇī sikkhāpadaṁ?	4	
PA_vb_14:4.2	Yasmiṁ samaye kāmāvacaraṁ kusalaṁ cittaṁ uppannaṁ hoti somanassasahagataṁ ñāṇasampayuttaṁ pāṇātipātā viramantassa, yo tasmiṁ samaye phasso …pe… paggāho avikkhepo—	4	
PA_vb_14:4.3	idaṁ vuccati “pāṇātipātā veramaṇī sikkhāpadaṁ”.	4	
PA_vb_14:5.1	Tattha katamaṁ pāṇātipātā veramaṇī sikkhāpadaṁ?	5	
