segmentnr	original	folio	analyzed
PA_vv_51:0.1	Vimānavatthu	0	
PA_vv_51:0.2	Purisavimāna	0	
PA_vv_51:0.3	Mahārathavagga	0	
PA_vv_51:0.4	1. Maṇḍūkadevaputtavimānavatthu	0	
PA_vv_51:1.1	“Ko me vandati pādāni,	1	
PA_vv_51:1.2	iddhiyā yasasā jalaṁ;	1	
PA_vv_51:1.3	Abhikkantena vaṇṇena,	1	
PA_vv_51:1.4	sabbā obhāsayaṁ disā”ti.	1	
PA_vv_51:2.1	“Maṇḍūkohaṁ pure āsiṁ,	2	
PA_vv_51:2.2	udake vārigocaro;	2	
PA_vv_51:2.3	Tava dhammaṁ suṇantassa,	2	
PA_vv_51:2.4	avadhī vacchapālako.	2	
PA_vv_51:3.1	Muhuttaṁ cittapasādassa,	3	
PA_vv_51:3.2	iddhiṁ passa yasañca me;	3	
PA_vv_51:3.3	Ānubhāvañca me passa,	3	
PA_vv_51:3.4	vaṇṇaṁ passa jutiñca me.	3	
PA_vv_51:4.1	Ye ca te dīghamaddhānaṁ,	4	
PA_vv_51:4.2	dhammaṁ assosuṁ gotama;	4	
PA_vv_51:4.3	Pattā te acalaṭṭhānaṁ,	4	
PA_vv_51:4.4	yattha gantvā na socare”ti.	4	
PA_vv_51:5.1	Maṇḍūkadevaputtavimānaṁ paṭhamaṁ.	5	
