segmentnr	original	folio	analyzed
PA_ya_3.3.5:0.1	3 Āyatanayamaka	0	
PA_ya_3.3.5:0.2	3.3 Pariññāvāra	0	
PA_ya_3.3.5:0.3	3.3.5. Paccuppannānāgatavāra	0	
PA_ya_3.3.5:1.1	Yo cakkhāyatanaṁ parijānāti so sotāyatanaṁ parijānissatīti? No.	1	
PA_ya_3.3.5:2.1	Yo vā pana sotāyatanaṁ parijānissati so cakkhāyatanaṁ parijānātīti? No.	2	
PA_ya_3.3.5:3.1	Yo cakkhāyatanaṁ na parijānāti so sotāyatanaṁ na parijānissatīti?	3	
PA_ya_3.3.5:4.1_0	Ye maggaṁ paṭilabhissanti te cakkhāyatanaṁ na parijānanti, no ca sotāyatanaṁ na parijānissanti.	4	
PA_ya_3.3.5:4.1_1	Arahā ye ca puthujjanā maggaṁ na paṭilabhissanti te cakkhāyatanañca na parijānanti	4	
PA_ya_3.3.5:4.1_2	sotāyatanañca na parijānissanti.	4	
PA_ya_3.3.5:5.1	Yo vā pana sotāyatanaṁ na parijānissati so cakkhāyatanaṁ na parijānātīti?	5	
PA_ya_3.3.5:6.1_0	Aggamaggasamaṅgī sotāyatanaṁ na parijānissati, no ca cakkhāyatanaṁ na parijānāti.	6	
PA_ya_3.3.5:6.1_1	Arahā ye ca puthujjanā maggaṁ na paṭilabhissanti te sotāyatanañca na parijānissanti	6	
PA_ya_3.3.5:6.1_2	cakkhāyatanañca na parijānanti.	6	
