segmentnr	original	analyzed
PA_ya_8.1.1:0.1	8 Cittayamaka	citta yamaka 
PA_ya_8.1.1:0.2	8.1 Uddesa	uddesa 
PA_ya_8.1.1:0.3	8.1.1. Suddhacittasāmañña	    
PA_ya_8.1.1:1.0.1	8.1.1.1. Puggalavāra	puggala vāra 
PA_ya_8.1.1:1.0.2	8.1.1.1.1. Uppādanirodhakālasambhedavāra	         
PA_ya_8.1.1:1.1	Namo tassa Bhagavato Arahato Sammāsambuddhassa.	namaḥ tassa bhagavataḥ arahataḥ sammāsambuddhassa 
PA_ya_8.1.1:2.1	Yassa cittaṁ uppajjati na nirujjhati tassa cittaṁ nirujjhissati na uppajjissati?	yassa cittam uppajjati na nirujjhati tassa cittam nirujjhissati na uppajjissati 
PA_ya_8.1.1:3.1	Yassa vā pana cittaṁ nirujjhissati na uppajjissati tassa cittaṁ uppajjati na nirujjhati?	yassa vā pana cittam nirujjhissati na uppajjissati tassa cittam uppajjati na nirujjhati 
PA_ya_8.1.1:4.1	Yassa cittaṁ na uppajjati nirujjhati tassa cittaṁ na nirujjhissati uppajjissati?	yassa cittam na uppajjati nirujjhati tassa cittam na nirujjhissati uppajjissati 
PA_ya_8.1.1:5.1	Yassa vā pana cittaṁ na nirujjhissati uppajjissati tassa cittaṁ na uppajjati nirujjhati?	yassa vā pana cittam na nirujjhissati uppajjissati tassa cittam na uppajjati nirujjhati 
PA_ya_8.1.1:6.0	8.1.1.1.2. Uppāduppannavāra	        
PA_ya_8.1.1:6.1	Yassa cittaṁ uppajjati tassa cittaṁ uppannaṁ?	yassa cittam uppajjati tassa cittam uppanna 
PA_ya_8.1.1:7.1	Yassa vā pana cittaṁ uppannaṁ tassa cittaṁ uppajjati?	yassa vā pana cittam uppannam tassa cittam uppajjati 
PA_ya_8.1.1:8.1	Yassa cittaṁ na uppajjati tassa cittaṁ na uppannaṁ?	yassa cittam na uppajjati tassa cittam na uppanna 
PA_ya_8.1.1:9.1	Yassa vā pana cittaṁ na uppannaṁ tassa cittaṁ na uppajjati?	yassa vā pana cittam na uppannam tassa cittam na uppajjati 
PA_ya_8.1.1:10.0	8.1.1.1.3. Nirodhuppannavāra	      
PA_ya_8.1.1:10.1	Yassa cittaṁ nirujjhati tassa cittaṁ uppannaṁ?	yassa cittam nirujjhati tassa cittam uppanna 
PA_ya_8.1.1:11.1	Yassa vā pana cittaṁ uppannaṁ tassa cittaṁ nirujjhati?	yassa vā pana cittam uppannam tassa cittam nirujjhati 
PA_ya_8.1.1:12.1	Yassa cittaṁ na nirujjhati tassa cittaṁ na uppannaṁ?	yassa cittam na nirujjhati tassa cittam na uppanna 
PA_ya_8.1.1:13.1	Yassa vā pana cittaṁ na uppannaṁ tassa cittaṁ na nirujjhati?	yassa vā pana cittam na uppannam tassa cittam na nirujjhati 
PA_ya_8.1.1:14.0	8.1.1.1.4. Uppādavāra	uppāda vāra 
PA_ya_8.1.1:14.1	Yassa cittaṁ uppajjati tassa cittaṁ uppajjittha?	yassa cittam uppajjati tassa cittam uppajjittha 
PA_ya_8.1.1:15.1	Yassa vā pana cittaṁ uppajjittha tassa cittaṁ uppajjati?	yassa vā pana cittam uppajjittha tassa cittam uppajjati 
PA_ya_8.1.1:16.1	Yassa cittaṁ na uppajjati tassa cittaṁ na uppajjittha?	yassa cittam na uppajjati tassa cittam na uppajjittha 
PA_ya_8.1.1:17.1	Yassa vā pana cittaṁ na uppajjittha tassa cittaṁ na uppajjati?	yassa vā pana cittam na uppajjittha tassa cittam na uppajjati 
PA_ya_8.1.1:18.1	Yassa cittaṁ uppajjati tassa cittaṁ uppajjissati?	yassa cittam uppajjati tassa cittam uppajjissati 
PA_ya_8.1.1:19.1	Yassa vā pana cittaṁ uppajjissati tassa cittaṁ uppajjati?	yassa vā pana cittam uppajjissati tassa cittam uppajjati 
PA_ya_8.1.1:20.1	Yassa cittaṁ na uppajjati tassa cittaṁ na uppajjissati?	yassa cittam na uppajjati tassa cittam na uppajjissati 
PA_ya_8.1.1:21.1	Yassa vā pana cittaṁ na uppajjissati tassa cittaṁ na uppajjati?	yassa vā pana cittam na uppajjissati tassa cittam na uppajjati 
PA_ya_8.1.1:22.1	Yassa cittaṁ uppajjittha tassa cittaṁ uppajjissati?	yassa cittam uppajjittha tassa cittam uppajjissati 
PA_ya_8.1.1:23.1	Yassa vā pana cittaṁ uppajjissati tassa cittaṁ uppajjittha?	yassa vā pana cittam uppajjissati tassa cittam uppajjittha 
PA_ya_8.1.1:24.1	Yassa cittaṁ na uppajjittha tassa cittaṁ na uppajjissati?	yassa cittam na uppajjittha tassa cittam na uppajjissati 
PA_ya_8.1.1:25.1	Yassa vā pana cittaṁ na uppajjissati tassa cittaṁ na uppajjittha?	yassa vā pana cittam na uppajjissati tassa cittam na uppajjittha 
PA_ya_8.1.1:26.0	8.1.1.1.5. Nirodhavāra	    
PA_ya_8.1.1:26.1	Yassa cittaṁ nirujjhati tassa cittaṁ nirujjhittha?	yassa cittam nirujjhati tassa cittam 
PA_ya_8.1.1:27.1	Yassa vā pana cittaṁ nirujjhittha tassa cittaṁ nirujjhati?	yassa vā pana cittam nirujjhittha tassa cittam nirujjhati 
PA_ya_8.1.1:28.1	Yassa cittaṁ na nirujjhati tassa cittaṁ na nirujjhittha?	yassa cittam na nirujjhati tassa cittam na 
PA_ya_8.1.1:29.1	Yassa vā pana cittaṁ na nirujjhittha tassa cittaṁ na nirujjhati?	yassa vā pana cittam na nirujjhittha tassa cittam na nirujjhati 
PA_ya_8.1.1:30.1	Yassa cittaṁ nirujjhati tassa cittaṁ nirujjhissati?	yassa cittam nirujjhati tassa cittam nirujjhissati 
PA_ya_8.1.1:31.1	Yassa vā pana cittaṁ nirujjhissati tassa cittaṁ nirujjhati?	yassa vā pana cittam nirujjhissati tassa cittam nirujjhati 
PA_ya_8.1.1:32.1	Yassa cittaṁ na nirujjhati tassa cittaṁ na nirujjhissati?	yassa cittam na nirujjhati tassa cittam na nirujjhissati 
PA_ya_8.1.1:33.1	Yassa vā pana cittaṁ na nirujjhissati tassa cittaṁ na nirujjhati?	yassa vā pana cittam na nirujjhissati tassa cittam na nirujjhati 
PA_ya_8.1.1:34.1	Yassa cittaṁ nirujjhittha tassa cittaṁ nirujjhissati?	yassa cittam nirujjhittha tassa cittam nirujjhissati 
PA_ya_8.1.1:35.1	Yassa vā pana cittaṁ nirujjhissati tassa cittaṁ nirujjhittha?	yassa vā pana cittam nirujjhissati tassa cittam 
PA_ya_8.1.1:36.1	Yassa cittaṁ na nirujjhittha tassa cittaṁ na nirujjhissati?	yassa cittam na nirujjhittha tassa cittam na nirujjhissati 
PA_ya_8.1.1:37.1	Yassa vā pana cittaṁ na nirujjhissati tassa cittaṁ na nirujjhittha?	yassa vā pana cittam na nirujjhissati tassa cittam na 
PA_ya_8.1.1:38.0	8.1.1.1.6. Uppādanirodhavāra	     
PA_ya_8.1.1:38.1	Yassa cittaṁ uppajjati tassa cittaṁ nirujjhittha?	yassa cittam uppajjati tassa cittam 
PA_ya_8.1.1:39.1	Yassa vā pana cittaṁ nirujjhittha tassa cittaṁ uppajjati?	yassa vā pana cittam nirujjhittha tassa cittam uppajjati 
PA_ya_8.1.1:40.1	Yassa cittaṁ na uppajjati tassa cittaṁ na nirujjhittha?	yassa cittam na uppajjati tassa cittam na 
PA_ya_8.1.1:41.1	Yassa vā pana cittaṁ na nirujjhittha tassa cittaṁ na uppajjati?	yassa vā pana cittam na nirujjhittha tassa cittam na uppajjati 
PA_ya_8.1.1:42.1	Yassa cittaṁ uppajjati tassa cittaṁ nirujjhissati?	yassa cittam uppajjati tassa cittam nirujjhissati 
PA_ya_8.1.1:43.1	Yassa vā pana cittaṁ nirujjhissati tassa cittaṁ uppajjati?	yassa vā pana cittam nirujjhissati tassa cittam uppajjati 
PA_ya_8.1.1:44.1	Yassa cittaṁ na uppajjati tassa cittaṁ na nirujjhissati?	yassa cittam na uppajjati tassa cittam na nirujjhissati 
PA_ya_8.1.1:45.1	Yassa vā pana cittaṁ na nirujjhissati tassa cittaṁ na uppajjati?	yassa vā pana cittam na nirujjhissati tassa cittam na uppajjati 
PA_ya_8.1.1:46.1	Yassa cittaṁ uppajjittha tassa cittaṁ nirujjhissati?	yassa cittam uppajjittha tassa cittam nirujjhissati 
PA_ya_8.1.1:47.1	Yassa vā pana cittaṁ nirujjhissati tassa cittaṁ uppajjittha?	yassa vā pana cittam nirujjhissati tassa cittam uppajjittha 
PA_ya_8.1.1:48.1	Yassa cittaṁ na uppajjittha tassa cittaṁ na nirujjhissati?	yassa cittam na uppajjittha tassa cittam na nirujjhissati 
PA_ya_8.1.1:49.1	Yassa vā pana cittaṁ na nirujjhissati tassa cittaṁ na uppajjittha?	yassa vā pana cittam na nirujjhissati tassa cittam na uppajjittha 
PA_ya_8.1.1:50.0	8.1.1.1.7. Uppajjamānananirodhavāra	        
PA_ya_8.1.1:50.1	Yassa cittaṁ uppajjati tassa cittaṁ na nirujjhati?	yassa cittam uppajjati tassa cittam na nirujjhati 
PA_ya_8.1.1:51.1	Yassa vā pana cittaṁ na nirujjhati tassa cittaṁ uppajjati?	yassa vā pana cittam na nirujjhati tassa cittam uppajjati 
PA_ya_8.1.1:52.1	Yassa cittaṁ na uppajjati tassa cittaṁ nirujjhati?	yassa cittam na uppajjati tassa cittam nirujjhati 
PA_ya_8.1.1:53.1	Yassa vā pana cittaṁ nirujjhati tassa cittaṁ na uppajjati?	yassa vā pana cittam nirujjhati tassa cittam na uppajjati 
PA_ya_8.1.1:54.0	8.1.1.1.8. Uppajjamānuppannavāra	uppajjamāna uppanna vāra 
PA_ya_8.1.1:54.1	Yassa cittaṁ uppajjamānaṁ tassa cittaṁ uppannaṁ?	yassa cittam uppajjamānam tassa cittam uppanna 
PA_ya_8.1.1:55.1	Yassa vā pana cittaṁ uppannaṁ tassa cittaṁ uppajjamānaṁ?	yassa vā pana cittam uppannam tassa cittam uppajjamāna 
PA_ya_8.1.1:56.1	Yassa cittaṁ na uppajjamānaṁ tassa cittaṁ na uppannaṁ?	yassa cittam na uppajjamānam tassa cittam na uppanna 
PA_ya_8.1.1:57.1	Yassa vā pana cittaṁ na uppannaṁ tassa cittaṁ na uppajjamānaṁ?	yassa vā pana cittam na uppannam tassa cittam na uppajjamāna 
PA_ya_8.1.1:58.0	8.1.1.1.9. Nirujjhamānuppannavāra	        
PA_ya_8.1.1:58.1	Yassa cittaṁ nirujjhamānaṁ tassa cittaṁ uppannaṁ?	yassa cittam nirujjhamānam tassa cittam uppanna 
PA_ya_8.1.1:59.1	Yassa vā pana cittaṁ uppannaṁ tassa cittaṁ nirujjhamānaṁ?	yassa vā pana cittam uppannam tassa cittam nirujjhamāna 
PA_ya_8.1.1:60.1	Yassa cittaṁ na nirujjhamānaṁ tassa cittaṁ na uppannaṁ?	yassa cittam na nirujjhamānam tassa cittam na uppanna 
PA_ya_8.1.1:61.1	Yassa vā pana cittaṁ na uppannaṁ tassa cittaṁ na nirujjhamānaṁ?	yassa vā pana cittam na uppannam tassa cittam na 
PA_ya_8.1.1:62.0	8.1.1.1.10. Uppannuppādavāra	       
PA_ya_8.1.1:62.1	Yassa cittaṁ uppannaṁ tassa cittaṁ uppajjittha?	yassa cittam uppannam tassa cittam uppajjittha 
PA_ya_8.1.1:63.1	Yassa vā pana cittaṁ uppajjittha tassa cittaṁ uppannaṁ?	yassa vā pana cittam uppajjittha tassa cittam uppanna 
PA_ya_8.1.1:64.1	Yassa cittaṁ na uppannaṁ tassa cittaṁ na uppajjittha?	yassa cittam na uppannam tassa cittam na uppajjittha 
PA_ya_8.1.1:65.1	Yassa vā pana cittaṁ na uppajjittha tassa cittaṁ na uppannaṁ?	yassa vā pana cittam na uppajjittha tassa cittam na uppanna 
PA_ya_8.1.1:66.1	Yassa cittaṁ uppannaṁ tassa cittaṁ uppajjissati?	yassa cittam uppannam tassa cittam uppajjissati 
PA_ya_8.1.1:67.1	Yassa vā pana cittaṁ uppajjissati tassa cittaṁ uppannaṁ?	yassa vā pana cittam uppajjissati tassa cittam uppanna 
PA_ya_8.1.1:68.1	Yassa cittaṁ na uppannaṁ tassa cittaṁ na uppajjissati?	yassa cittam na uppannam tassa cittam na uppajjissati 
PA_ya_8.1.1:69.1	Yassa vā pana cittaṁ na uppajjissati tassa cittaṁ na uppannaṁ?	yassa vā pana cittam na uppajjissati tassa cittam na uppanna 
PA_ya_8.1.1:70.0	8.1.1.1.11. Atītānāgatavāra	       
PA_ya_8.1.1:70.1	Yassa cittaṁ uppajjittha no ca tassa cittaṁ uppannaṁ, tassa cittaṁ uppajjissati?	yassa cittam uppajjittha no ca tassa cittam uppanna tassa cittam uppajjissati 
PA_ya_8.1.1:71.1	Yassa vā pana cittaṁ uppajjissati no ca tassa cittaṁ uppannaṁ, tassa cittaṁ uppajjittha?	yassa vā pana cittam uppajjissati no ca tassa cittam uppanna tassa cittam uppajjittha 
PA_ya_8.1.1:72.1	Yassa cittaṁ na uppajjittha no ca tassa cittaṁ na uppannaṁ, tassa cittaṁ na uppajjissati?	yassa cittam na uppajjittha no ca tassa cittam na uppanna tassa cittam na uppajjissati 
