segmentnr	original	analyzed	translated
['PA_an_8:1.0.1']	Aṅguttara Nikāya 8.1	aṅguttara nikāya 	Numbered Discourses The First Fifty
['PA_an_8:1.0.2']	1. Mettāvagga	mettāvagga 	The Chapter on Loving-kindness
['PA_an_8:1.0.3']	Mettāsutta	mettāsutta 	Loving-kindness
['PA_an_8:1.1.1']	Evaṁ me sutaṁ—	evam me suta 	Thus have I heard.
['PA_an_8:1.1.2']	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	ekam samayam bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 	On one occasion the Blessed One was dwelling at Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s Park.
['PA_an_8:1.1.3']	Tatra kho bhagavā bhikkhū āmantesi:	tatra kho bhagavā bhikkhū āmantesi 	There the Blessed One addressed the mendicants:
['PA_an_8:1.1.4']	“bhikkhavo”ti.	bhikkhavaḥ ti 	“Mendicants!”
['PA_an_8:1.1.5']	“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.	bhadanta iti te bhikkhū bhagavataḥ 	“Venerable sir,” they replied.
['PA_an_8:1.1.6']	Bhagavā etadavoca:	bhagavān etat avoca 	The Blessed One said this:
['PA_an_8:1.2.1']	“Mettāya, bhikkhave, cetovimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya susamāraddhāya aṭṭhānisaṁsā pāṭikaṅkhā.	mettāya bhikkhave cetaḥ vimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya su samāraddhāya aṭṭhānisasā pāṭikaṅkhā 	“Mendicants, when you frequently practice, develop, and cultivate the liberation of the mind by loving-kindness, when you make it your vehicle, make it your basis, stabilize it, consolidate it, and properly undertake it, you can expect eight benefits.
['PA_an_8:1.2.2', 'PA_an_8:1.2.3_0', 'PA_an_8:1.2.3_1']	Katame aṭṭha?🔽Sukhaṁ supati, sukhaṁ paṭibujjhati, na pāpakaṁ supinaṁ passati, manussānaṁ piyo hoti,🔽amanussānaṁ piyo hoti, devatā rakkhanti, nāssa aggi vā visaṁ vā satthaṁ vā kamati,	katame aṭṭha  sukham supati sukham paṭibujjhati na pāpakam supinam passati manussānam piyaḥ hoti  amanussānam piyaḥ hoti devatāḥ rakkhanti na assa aggi vā visam vā sattham vā kamati 	What eight?🔽You sleep well and wake up well; you don’t have bad dreams; you’re dear to humans; you’re dear to non-humans; the gods protect you; fire, poison, and weapons don’t harm you; your facial complexion is serene; you die unbewildered.
['PA_an_8:1.2.3_2']	uttariṁ appaṭivijjhanto brahmalokūpago hoti.	uttarim a paṭivijjhantaḥ brahma loka upagaḥ hoti 	And if you penetrate no further, you’ll at the very least be reborn in the realm of the supreme gods.
['PA_an_8:1.2.4']	Mettāya, bhikkhave, cetovimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya susamāraddhāya ime aṭṭhānisaṁsā pāṭikaṅkhāti.	mettāya bhikkhave cetaḥ vimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya su samāraddhāya ime aṭṭhānisasā pāṭikaṅkhāti 	“Bhikkhus, when the liberation of mind by loving-kindness is developed and cultivated, these eight blessings can be expected.”
['PA_an_8:1.3.1']	Yo ca mettaṁ bhāvayati,	yaḥ ca mettam bhāvayati 	One who develops loving-kindness,
['PA_an_8:1.3.2']	appamāṇaṁ paṭissato;	appamāṇam paṭissato 	mindful, with a well-concentrated mind,
['PA_an_8:1.3.3']	Tanū saṁyojanā honti,	tanū sayojanā honti 	His fetters are worn away,
['PA_an_8:1.3.4']	passato upadhikkhayaṁ.	passataḥ upadhikkhaya 	and he sees the destruction of suffering.
['PA_an_8:1.4.1']	Ekampi ce pāṇamaduṭṭhacitto,	ekam pi ce pāṇam a duṭṭha cittaḥ 	If one is not hostile towards any being,
['PA_an_8:1.4.2']	Mettāyati kusalī tena hoti;	mettāyati kusalī tena hoti 	if one is skillful and full of loving-kindness,
['PA_an_8:1.4.3']	Sabbe ca pāṇe manasānukampī,	sabbe ca pāṇe manasā anukampī 	if one has compassion for all beings,
['PA_an_8:1.4.4']	Pahūtamariyo pakaroti puññaṁ.	pahūta mariyaḥ pakaroti 	the noble one makes much merit.
['PA_an_8:1.5.1', 'PA_an_8:1.5.2', 'PA_an_8:1.5.3']	Ye sattasaṇḍaṁ pathaviṁ vijetvā,🔽Rājisayo yajamānā anupariyagā;🔽Assamedhaṁ purisamedhaṁ,	ye satta saṇḍam pathavim vijetvā  rājisayaḥ yajamānāḥ anupariyagā  assamedham purisamedha 	Those who have conquered the earth as far as the ocean,🔽the kings who have gone about making sacrifices—🔽the horse sacrifice, the human sacrifice,
['PA_an_8:1.5.4']	Sammāpāsaṁ vājapeyyaṁ niraggaḷaṁ.	sammāpāsam vājapeyyam niraggaḷa 	the sacrifice with the sacrificial grass spread out, the Vajapeya, and the consecration—
['PA_an_8:1.6.1']	Mettassa cittassa subhāvitassa,	mettassa cittassa su bhāvitassa 	compared to the development of a mind full of loving-kindness
['PA_an_8:1.6.2']	Kalampi te nānubhavanti soḷasiṁ;	te na anubhavanti soḷasi 	do not amount even to a sixteenth part.
['PA_an_8:1.6.3']	Candappabhā tāragaṇāva sabbe,	canda ppabhā sabbe 	Just as the light of all the stars
['PA_an_8:1.6.4']	Yathā na agghanti kalampi soḷasiṁ.	yathā na agghanti kalampi soḷasi 	does not amount even to a sixteenth part of the moon’s light,
['PA_an_8:1.7.1']	Yo na hanti na ghāteti,	yaḥ na hanti na ghātā iti 	One who neither kills nor gets others to kill,
['PA_an_8:1.7.2']	na jināti na jāpaye;	na jināti na jāpaye 	neither cuts up nor gets others to cut up,
['PA_an_8:1.7.3']	Mettaṁso sabbabhūtānaṁ,	mettasaḥ sabbabhūtāna 	who is full of loving-kindness towards all beings,
['PA_an_8:1.7.4', 'PA_an_8:1.7.5']	veraṁ tassa na kenacī”ti.🔽Paṭhamaṁ.	veram tassa na kenaci iti  paṭhama 	He has no hostility towards anyone.”🔽The first section is finished.
['PA_an_8:2.0.1', 'PA_an_8:2.0.2']	Aṅguttara Nikāya 8.2🔽1. Mettāvagga	aṅguttara nikāya  mettāvagga 	The Book of Elevens🔽The Chapter on Loving-kindness
['PA_an_8:2.0.3']	Paññāsutta	paññāsutta 	Wisdom
['PA_an_8:2.1.1']	“Aṭṭhime, bhikkhave, hetū aṭṭha paccayā ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattanti.	aṭṭhime bhikkhave hetū aṭṭha paccayāḥ ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattanti 	“Monks, there are these eight causes, eight requisite conditions for the arising of wisdom that has not arisen and for the increase, development, and fulfillment by meditation of wisdom that has arisen.
['PA_an_8:2.1.2']	Katame aṭṭha?	katame aṭṭha 	What are the eight?
['PA_an_8:2.1.3']	Idha, bhikkhave, bhikkhu satthāraṁ upanissāya viharati aññataraṁ vā garuṭṭhāniyaṁ sabrahmacāriṁ, yatthassa tibbaṁ hirottappaṁ paccupaṭṭhitaṁ hoti pemañca gāravo ca.	idha bhikkhave bhikkhu satthāram upanissāya viharati aññataram vā garuṭṭhāniyam sabrahmacāri yatthassa tibbam hirottappam paccupaṭṭhitam hoti pemam ca gāravaḥ ca 	There is the case where a monk dwells with his awareness established in the body, in the feelings, in the mind, and in mind-objects, and he is one who observes the mind-objects.
['PA_an_8:2.1.4']	Ayaṁ, bhikkhave, paṭhamo hetu paṭhamo paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave paṭhamaḥ hetu paṭhamaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the first cause, the first requisite condition for the arising of wisdom that has not arisen and for the increase, development, and fulfillment by meditation of wisdom that has arisen.🔽“And how does a monk dwell with his awareness established in the body?
['PA_an_8:2.2.1_0']	So taṁ satthāraṁ upanissāya viharanto aññataraṁ vā garuṭṭhāniyaṁ sabrahmacāriṁ, yatthassa	so tam satthāram upanissāya viharantaḥ aññataram vā garuṭṭhāniyam sabrahmacāri yatthassa 	It’s when a monk—having gone to the wilderness, to the shade of a tree, or to an empty building—sits down cross-legged, with his body erect, and establishes his mindfulness right there.
['PA_an_8:2.2.1_1']	tibbaṁ hirottappaṁ paccupaṭṭhitaṁ hoti pemañca gāravo ca, te kālena kālaṁ upasaṅkamitvā	tibbam hirottappam paccupaṭṭhitam hoti pemaṃ ca gāravo ca te kālena kālam upasaṅkamitvā 	and he has a sense of moral shame and moral dread, and he has affection and reverence.
['PA_an_8:2.2.1_2']	paripucchati paripañhati:	paripucchati paripañhati 	From time to time he approaches those bhikkhus and inquires of them:
['PA_an_8:2.2.2']	‘idaṁ, bhante, kathaṁ; imassa ko attho’ti?	ida bhante katha imassa kaḥ atthaḥ ti 	‘Why is this, venerable sir? What is the meaning of this?’
['PA_an_8:2.2.3']	Tassa te āyasmanto avivaṭañceva vivaranti, anuttānīkatañca uttānīkaronti, anekavihitesu ca kaṅkhāṭhāniyesu dhammesu kaṅkhaṁ paṭivinodenti.	tassa te āyasmantaḥ a vivaṭam ca iva vivaranti an uttānīkatam ca uttānīkaronti aneka vihitesu ca kaṅkhāṭhāniyesu dhammesu kaṅkham paṭivinodenti 	Those venerable ones then reveal to him what has not been revealed to him, clarify what has been obscure for him, and remove his doubt about the many things that cause doubt.
['PA_an_8:2.2.4']	Ayaṁ, bhikkhave, dutiyo hetu dutiyo paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave dutiyaḥ hetu dutiyaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the second cause and condition that leads to the acquiring of the as-yet-unacquired …
['PA_an_8:2.3.1']	So taṁ dhammaṁ sutvā dvayena vūpakāsena sampādeti—kāyavūpakāsena ca cittavūpakāsena ca.	saḥ tam dhammam sutvā dvayena vūpakāsena sampāda iti kāya vūpakāsena ca citta vūpakāsena ca 	Having heard that Dhamma, he practices in accordance with the Dhamma.🔽He practices in accordance with the Dhamma,
['PA_an_8:2.3.2']	Ayaṁ, bhikkhave, tatiyo hetu tatiyo paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave tatiyaḥ hetu tatiyaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the third cause, the third requisite condition…
['PA_an_8:2.4.1']	Sīlavā hoti, pātimokkhasaṁvarasaṁvuto viharati ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhati sikkhāpadesu.	sīlavā hoti pātimokkha savara savutaḥ viharati ācāra gocara sampannaḥ aṇumattesu vajjesu bhaya dassāvī samādāya sikkhati sikkhāpadesu 	He is virtuous, of good character, seeing danger in the slightest fault, he undertakes and trains in the training rules.
['PA_an_8:2.4.2']	Ayaṁ, bhikkhave, catuttho hetu catuttho paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave catutthaḥ hetu catutthaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the fourth cause, the fourth requisite condition…
['PA_an_8:2.5.1_0']	Bahussuto hoti sutadharo sutasannicayo. Ye te dhammā ādikalyāṇā majjhekalyāṇā pariyosānakalyāṇā	bahu sutaḥ hoti suta dharaḥ suta sannicayaḥ ye te dhammā ādi kalyāṇā majjhe kalyāṇā pariyosāna kalyāṇā 	He is learned, remembers what he has learned, and accumulates what he has learned. Those teachings that are good in the beginning, good in the middle, and good in the end,
['PA_an_8:2.5.1_1']	sātthaṁ sabyañjanaṁ kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ abhivadanti, tathārūpāssa	sa attham sa byañjanam kevala paripuṇṇam parisuddham brahmacariyam abhivadanti tathārūpāḥ sa 	with their own meaning, with their own phrasing, that are entirely complete,🔽pure, and presented by the Holy One—such teachings as these he learns much of, remembers, and accumulates.
['PA_an_8:2.5.1_2']	dhammā bahussutā honti dhātā vacasā paricitā manasānupekkhitā diṭṭhiyā suppaṭividdhā.	dhammāḥ bahu ssutāḥ honti dhātā vacasā paricitāḥ manasā anupekkhitāḥ diṭṭhiyā suppaṭividdhā 	and he has learned much, remembers what he has learned, and accumulates what he has learned. He examines the meaning of what he has learned with wisdom. He does not grasp at the meaning of what he has learned.
['PA_an_8:2.5.2']	Ayaṁ, bhikkhave, pañcamo hetu pañcamo paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave pañcamaḥ hetu pañcamaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the fifth cause and condition that leads to the acquiring of the as-yet-unacquired discernment that is noble and supramundane, and to the increase, plenitude, development, and culmination of that which has already been acquired.
['PA_an_8:2.6.1']	Āraddhavīriyo viharati akusalānaṁ dhammānaṁ pahānāya, kusalānaṁ dhammānaṁ upasampadāya, thāmavā daḷhaparakkamo anikkhittadhuro kusalesu dhammesu.	āraddha vīriyaḥ viharati akusalānam dhammānam pahānāya kusalānam dhammānam upasampadāya thāmavā daḷha parakkamaḥ a nikkhitta dhuraḥ kusalesu dhammesu 	He dwells with energy aroused for the relinquishment of unskillful qualities and the acquisition of skillful qualities. He is steadfast, solid in his effort, not shirking his duties with regard to skillful qualities.
['PA_an_8:2.6.2']	Ayaṁ, bhikkhave, chaṭṭho hetu chaṭṭho paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave chaṭṭhaḥ hetu chaṭṭhaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the sixth cause and condition that leads to the acquiring of the as-yet-unacquired discernment that is noble and supramundane, and to the increase, plenitude, development, and culmination of that which has already been acquired.
['PA_an_8:2.7.1']	Saṅghagato kho pana anānākathiko hoti atiracchānakathiko.	saṅgha gataḥ kho pana a nānā kathikaḥ hoti a tiracchāna kathikaḥ 	When in the midst of the Saṅgha, he is not a chatterer, nor does he prattle incoherently.
['PA_an_8:2.7.2']	Sāmaṁ vā dhammaṁ bhāsati paraṁ vā ajjhesati ariyaṁ vā tuṇhībhāvaṁ nātimaññati.	sāmam vā dhammam bhāsati param vā ajjhesati ariyam vā tuṇhībhāvam na atimaññati 	He speaks about the Dhamma himself or encourages others to do so, and he doesn’t neglect the higher mind.
['PA_an_8:2.7.3']	Ayaṁ, bhikkhave, sattamo hetu sattamo paccayo ādibrahmacariyikāya paññāya appaṭiladdhāya paṭilābhāya, paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā saṁvattati.	aya bhikkhave sattamaḥ hetu sattamaḥ paccayaḥ ādibrahmacariyikāya paññāya a paṭiladdhāya paṭilābhāya paṭiladdhāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā savattati 	This is the seventh cause and condition that leads to the acquiring of the as-yet-unacquired discernment that is fundamental to the spiritual life, and to the increase, plenitude, development, and fulfillment by development of that which has already been acquired.
['PA_an_8:2.8.1']	Pañcasu kho pana upādānakkhandhesu udayabbayānupassī viharati:	pañcasu kho pana upādāna khandhesu udaya bbaya anupassī viharati 	He abides contemplating rise and fall in the five aggregates affected by clinging:
['PA_an_8:2.8.2', 'PA_an_8:2.8.3']	‘iti rūpaṁ, iti rūpassa samudayo, iti rūpassa atthaṅgamo;🔽iti vedanā, iti vedanāya samudayo, iti vedanāya atthaṅgamo;	iti rūpa iti rūpassa samudayaḥ iti rūpassa atthaṅgamaḥ  iti vedanā iti vedanāya samudayaḥ iti vedanāya atthaṅgamo 	‘Such is form, such its origination, such its disappearance.🔽Such is feeling …
['PA_an_8:2.8.4']	iti saññā …pe…	iti saññā pe 	Such is perception …
['PA_an_8:2.8.5']	iti saṅkhārā …	iti saṅkhārāḥ 	Such are volitional formations …
['PA_an_8:2.8.6']	iti viññāṇaṁ, iti viññāṇassa samudayo, iti viññāṇassa atthaṅgamo’ti.	iti viññāṇaḥ iti viññāṇassa samudayaḥ iti viññāṇassa atthaṅgamaḥ ti 	Such is consciousness, such its origination, such its disappearance.’
