segmentnr	original	analyzed	folio	translated
['PA_anya-e11_03n:0']	Namo tassa bhagavato arahato sammāsambuddhassa.	namaḥ tassa bhagavataḥ arahataḥ sammāsambuddhassa 	0	Homage to that Blessed One, the Worthy One, the Rightly Self-awakened One.
['PA_anya-e11_03n:1']	Vessantarāgīti	vessantarāgī iti 	0	The Story of Vessantara
['PA_anya-e11_03n:2']	[Ka]	ka 	0	[Ka]🔽🔽
['PA_anya-e11_03n:3']	Bāttiṃsalakkhaṇūpeta,	bāttiṃsa lakkhaṇa upeta 	0	Endowed with thirty-two marks,
['PA_anya-e11_03n:4']	Dātabbaṃ dadataṃ vara;	dātabbam dadatam vara 	0	Best of those who give what should be given;
['PA_anya-e11_03n:5']	Vessantaratta māpādi,	vessantaratta mā āpādi 	0	Vessantara arose,
['PA_anya-e11_03n:6']	Sañcaraṃ bhavasāgare.	sañcaram bhava sāgare 	0	Wandering in the ocean of existence.
['PA_anya-e11_03n:7', 'PA_anya-e11_03n:8']	[Kha]🔽Dvandaṃdvandaṃ sañcarantī,	kha  dvandaṃdvandam sañcarantī 	0	[Kha]🔽Wandering in pairs,
['PA_anya-e11_03n:9']	Janānande yasodhīre;	jana ānande yasaḥ dhīre 	0	In the joy of the people, in the wise Yasodharā;
['PA_anya-e11_03n:10']	Maddittaṃ samupāgañchi,	mad dittam samupāgañchi 	1	You came to Maddī,
['PA_anya-e11_03n:11']	Tvaṃpitena bhavaṇṇave.	tvaṃpitena bhavaṇṇave 	1	In that ocean of existence by your father.
['PA_anya-e11_03n:12']	[Ga]	ga 	1	[Ga]🔽🔽
['PA_anya-e11_03n:13']	Tumhaṃdāni pavakkhāmi,	tumhaṃdāni pavakkhāmi 	1	Now I will tell you,
['PA_anya-e11_03n:14']	Upattiṃ nandiniṃ tahiṃ;	upattim nandinim tahim 	1	The birth of Nandini there;
['PA_anya-e11_03n:15']	Dajjahvovo mamokāsaṃ,	mama ukāsam 	1	Give me a moment,
['PA_anya-e11_03n:16']	Kavayo pyābhinandatha.	kavayaḥ 	1	And may the poets rejoice.
['PA_anya-e11_03n:18']	Ekanavutehito kappe,	ekanavuta ihitaḥ kappe 	1	In the ninety-first eon,
['PA_anya-e11_03n:19']	Vipassīnāma nāyako;	vipassī nāma nāyako 	1	The leader named Vipassī;
['PA_anya-e11_03n:20']	Vineyye tārayaṃkhemaṃ,	vineyye 	2	Delivering those to be trained to safety,
['PA_anya-e11_03n:21']	Loke uppajjicakkhumā.	loke 	2	The one with vision arose in the world.
['PA_anya-e11_03n:23']	Khemārāmamhi sambuddho,	khema ārāmamhi sambuddhaḥ 	2	The Fully Awakened One,
['PA_anya-e11_03n:24']	Migadāye manorame;	migadāye manorame 	2	In the delightful Deer Park at Khemā;
['PA_anya-e11_03n:25']	Nissāya bandhumatiṃso,	nissāya bandhumatiṃsaḥ 	2	Resorting to Bandhumatī,
['PA_anya-e11_03n:26']	Vihāsi nagaraṃtadā.	vihāsi 	2	He dwelt in that city then.
['PA_anya-e11_03n:28']	Rajjaṃdhammena kāresi,	rajjaṃdhammena kāresi 	2	Bandhumat, the king,
['PA_anya-e11_03n:29']	Nagaretamhi bandhumā;	bandhumā 	2	Ruled the kingdom in this city;
['PA_anya-e11_03n:30']	Rājātassa duvedhītā,	rājātassa 	3	The king had two daughters,
['PA_anya-e11_03n:31']	Āsuṃ sabbaṅgasobhaṇā.	āsum sabbaṅga sobhaṇā 	3	Beautiful in every limb.
['PA_anya-e11_03n:33']	Ekohi ekadārājā,	ekaḥ hi ekadā rājā 	3	One of them, a king with one wife,
['PA_anya-e11_03n:34']	Bandhumassa supesayi;	bandhumassa su pesayi 	3	Bandhumat, put to sleep;
