segmentnr	original	analyzed	folio	translated
['PA_bi-vb_pc64:0.1']	Theravāda Vinaya	thera vāda vinaya 	0	The Monastic Code of the Theravāda Vinaya
['PA_bi-vb_pc64:0.2']	Bhikkhunivibhaṅga	bhikkhuni vibhaṅga 	0	The Nuns’ Analysis
['PA_bi-vb_pc64:0.3']	Pācittiyakaṇḍa	pācittiyakaṇḍa 	0	The chapter on offenses entailing confession
['PA_bi-vb_pc64:0.4']	Gabbhinivagga	gabbhi nivagga 	0	The sub-chapter on pregnant women
['PA_bi-vb_pc64:0.5']	64. Dutiyasikkhamānasikkhāpada	dutiya sikkhamāna sikkhāpada 	0	2. The second training rule on those on probation
['PA_bi-vb_pc64:1.1']	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	tena samayena buddhaḥ bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 	1	At one time when the Buddha was staying at Sāvatthī in Anāthapiṇḍika’s Monastery,
['PA_bi-vb_pc64:1.2']	Tena kho pana samayena bhikkhuniyo dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpenti.	tena kho pana samayena bhikkhuniyaḥ dve vassāni chasu dhammesu sikkhita sikkham sikkhamānam saṅghena asammatam vuṭṭhāpenti 	1	the nuns were giving the full admission to women who had trained for two years in the six rules under a teacher who had not been approved by the Sangha.
['PA_bi-vb_pc64:1.3']	Bhikkhuniyo evamāhaṁsu—	bhikkhuniyaḥ evam āhasu 	1	The nuns said to them,
['PA_bi-vb_pc64:1.4']	“etha, sikkhamānā, imaṁ jānātha, imaṁ detha, imaṁ āharatha, iminā attho, imaṁ kappiyaṁ karothā”ti.	etha sikkhamānāḥ imam jānātha imam detha imam āharatha iminā atthaḥ imam kappiyam karotha ati 	1	“Come, trainee nuns. Know this one. Give this. Fetch this. We need this. Make this allowable.”
['PA_bi-vb_pc64:1.5']	Tā evamāhaṁsu—	tāḥ evam āhasu 	1	They replied,
['PA_bi-vb_pc64:1.6']	“na mayaṁ, ayye, sikkhamānā, bhikkhuniyo mayan”ti.	na maya ayye sikkhamānāḥ bhikkhuniyaḥ 	1	“Venerables, we’re not trainee nuns. We’re nuns.”
['PA_bi-vb_pc64:1.7']	Yā tā bhikkhuniyo appicchā …pe… tā ujjhāyanti khiyyanti vipācenti—	yāḥ tāḥ bhikkhuniyaḥ appicchāḥ pe tāḥ ujjhāyanti khiyyanti vipācenti 	1	The nuns of few desires complained and criticized them,🔽“How can nuns give the full admission to a woman who has trained for two years in the six rules under a teacher who has not been approved by the Sangha?” …
['PA_bi-vb_pc64:1.8']	“kathañhi nāma bhikkhuniyo dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpessantī”ti …pe…	katham hi nāma bhikkhuniyaḥ dve vassāni chasu dhammesu sikkhita sikkham sikkhamānam saṅghena asammatam vuṭṭhāpessanti iti pe 	1	“Is it true, monks, that nuns do this?” …🔽“Monks, approval is required for a teacher who has not been approved. And so, monks, the nuns should correct that trainee nun like this. If that trainee nun has trained for two years in the six rules under a teacher who has not been approved by the Sangha, a nun should correct her like this:
['PA_bi-vb_pc64:1.9']	“saccaṁ kira, bhikkhave, bhikkhuniyo dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpentī”ti?	saccam kira bhikkhave bhikkhuniyaḥ dve vassāni chasu dhammesu sikkhita sikkham sikkhamānam saṅghena asammatam vuṭṭhāpenti iti 	1	“Is it true, monks, that nuns are doing this?”
['PA_bi-vb_pc64:1.10']	“Saccaṁ, bhagavā”ti.	sat ca bhagavān ati 	1	“It’s true, Sir.”
['PA_bi-vb_pc64:1.11']	Vigarahi buddho bhagavā …pe…	vigarahi buddhaḥ bhagavān pe 	1	The Buddha rebuked them …🔽“How can nuns do this?
['PA_bi-vb_pc64:1.12', 'PA_bi-vb_pc64:1.13']	kathañhi nāma, bhikkhave, bhikkhuniyo dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpessanti.🔽Netaṁ, bhikkhave, appasannānaṁ vā pasādāya …pe…	katham hi nāma bhikkhave bhikkhuniyaḥ dve vassāni chasu dhammesu sikkhita sikkham sikkhamānam saṅghena asammatam vuṭṭhāpessanti  na ita bhikkhave appasannānam vā pasādāya pe 	1	This won’t give rise to confidence in those without it …
['PA_bi-vb_pc64:1.14']	vigarahitvā …pe…	vigara hitvā pe 	1	After rebuking them …
['PA_bi-vb_pc64:1.15']	dhammiṁ kathaṁ katvā bhikkhū āmantesi—	dhammim katham katvā bhikkhū āmantesi 	1	he gave a teaching and addressed the monks:
['PA_bi-vb_pc64:1.16']	“anujānāmi, bhikkhave, dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya vuṭṭhānasammutiṁ dātuṁ.	anujānāmi bhikkhave dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya vuṭṭhāna sammutim dātu 	1	“Monks, approval is required for a trainee nun who has trained in the six rules for two years to be fully admitted.
['PA_bi-vb_pc64:1.17']	Evañca pana, bhikkhave, dātabbā.	evam ca pana bhikkhave dātabbā 	1	And she should be approved like this.
['PA_bi-vb_pc64:1.18_0']	Tāya dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya saṅghaṁ upasaṅkamitvā	tāya dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya saṅgham upasaṅkamitvā 	1	The trainee nun who has trained in the six rules for two years should approach the Sangha,
['PA_bi-vb_pc64:1.18_1']	ekaṁsaṁ uttarāsaṅgaṁ karitvā bhikkhunīnaṁ pāde vanditvā ukkuṭikaṁ nisīditvā añjaliṁ	ekasam uttarāsaṅgam karitvā bhikkhunīnam pāde vanditvā ukkuṭikam nisīditvā añjali 	1	She should put her upper robe over one shoulder, pay respect at the feet of the nuns, squat on her heels,
['PA_bi-vb_pc64:1.18_2']	paggahetvā evamassa vacanīyo—	paggahetvā evam assa vacanīyaḥ 	1	raise her joined palms, and say,
['PA_bi-vb_pc64:1.19', 'PA_bi-vb_pc64:1.20']	‘ahaṁ, ayye, itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhitasikkhā sikkhamānā saṅghaṁ vuṭṭhānasammutiṁ yācāmī’ti.🔽Dutiyampi yācitabbā.	aha ayye itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhita sikkhā sikkhamānā saṅgham vuṭṭhāna sammutim yācāmi iti  dutiyam pi yācitabbā 	1	‘Venerables, I, so-and-so, who have trained for two years in the six rules under Venerable so-and-so, ask the Sangha for approval to be fully admitted.’
['PA_bi-vb_pc64:1.21']	Tatiyampi yācitabbā.	tatiyam pi yācitabbā 	1	She should ask a second and a third time.
['PA_bi-vb_pc64:1.22']	Byattāya bhikkhuniyā paṭibalāya saṅgho ñāpetabbo—	byattāya bhikkhuniyā paṭibalāya saṅghaḥ ñāpetabbaḥ 	1	An experienced and competent nun should then inform the Sangha:
['PA_bi-vb_pc64:1.23', 'PA_bi-vb_pc64:1.24']	‘Suṇātu me, ayye, saṅgho.🔽Ayaṁ itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhitasikkhā sikkhamānā saṅghaṁ vuṭṭhānasammutiṁ yācati.	suṇātu me ayye saṅghaḥ  ayam itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhita sikkhā sikkhamānā saṅgham vuṭṭhāna sammutim yācati 	1	‘Venerables, may the Sangha listen to me.🔽The trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, is asking the Sangha for approval to be fully admitted.
['PA_bi-vb_pc64:1.25']	Yadi saṅghassa pattakallaṁ, saṅgho itthannāmāya dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya vuṭṭhānasammutiṁ dadeyya.	yadi saṅghassa pattakalla saṅghaḥ itthannāmāya dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya vuṭṭhāna sammutim dadeyya 	1	If it seems appropriate to the Sangha, the Sangha should give approval to the trainee nun so-and-so to be fully admitted.
['PA_bi-vb_pc64:1.26']	Esā ñatti.	esā ñatti 	1	This is the motion.
['PA_bi-vb_pc64:1.27']	Suṇātu me, ayye, saṅgho.	suṇātu me ayye saṅghaḥ 	1	Venerables, may the Sangha listen to me.
['PA_bi-vb_pc64:1.28', 'PA_bi-vb_pc64:1.29']	Ayaṁ itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhitasikkhā sikkhamānā saṅghaṁ vuṭṭhānasammutiṁ yācati.🔽Saṅgho itthannāmāya dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya vuṭṭhānasammutiṁ deti.	ayam itthannāmā itthannāmāya ayyāya dve vassāni chasu dhammesu sikkhita sikkhā sikkhamānā saṅgham vuṭṭhāna sammutim yācati  saṅghaḥ itthannāmāya dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya vuṭṭhāna sammutim deti 	1	The trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, is asking the Sangha for approval to be fully admitted.🔽The Sangha gives approval to the trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, to be fully admitted.
['PA_bi-vb_pc64:1.30']	Yassā ayyāya khamati itthannāmāya dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya vuṭṭhānasammutiyā dānaṁ, sā tuṇhassa;	yassa ayyāya khamati itthannāmāya dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya vuṭṭhāna sammutiyā sā tuṇhassa 	1	Any nun who approves of giving approval to the trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, to be fully admitted should remain silent.
['PA_bi-vb_pc64:1.31']	yassā nakkhamati, sā bhāseyya.	yassā nakkhamati sā bhāseyya 	1	Any nun who does not approve should speak up.
['PA_bi-vb_pc64:1.32']	Dinnā saṅghena itthannāmāya dve vassāni chasu dhammesu sikkhitasikkhāya sikkhamānāya vuṭṭhānasammuti;	dinnā saṅghena itthannāmāya dve vassāni chasu dhammesu sikkhita sikkhāya sikkhamānāya vuṭṭhāna sammuti 	1	The Sangha has given approval to the trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, to be fully admitted.
['PA_bi-vb_pc64:1.33']	khamati saṅghassa, tasmā tuṇhī, evametaṁ dhārayāmī’”ti.	khamati saṅghassa tasmai tuṇhī evam etam dhārayāmi iti 	1	The Sangha approves and is therefore silent. I will remember it thus.’”
['PA_bi-vb_pc64:1.34']	Atha kho bhagavā tā bhikkhuniyo anekapariyāyena vigarahitvā dubbharatāya …pe…	atha kho bhagavā tāḥ bhikkhuniyaḥ aneka pariyāyena vigarahitvā dubbhara tāya pe 	1	After rebuking those nuns in many ways, the Buddha spoke in dispraise of being difficult to support …
['PA_bi-vb_pc64:1.35']	evañca pana, bhikkhave, bhikkhuniyo imaṁ sikkhāpadaṁ uddisantu—	evam ca pana bhikkhave bhikkhuniyaḥ imam sikkhāpadam uddisantu 	1	And, monks, the nuns should recite this training rule like this:
['PA_bi-vb_pc64:1.36.1', 'PA_bi-vb_pc64:2.1', 'PA_bi-vb_pc64:2.2', 'PA_bi-vb_pc64:2.3']	“Yā pana bhikkhunī dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpeyya, pācittiyan”ti.🔽Yā panāti🔽yā yādisā …pe…🔽bhikkhunīti	yā pana bhikkhunī dve vassāni chasu dhammesu sikkhita sikkham sikkhamānam saṅghena a sammatam vuṭṭhāpeyya pācittiyan ti  yā panāti  yā yā disā pe  bhikkhunī iti 	1	If a nun:🔽if she is called a “nun”, a “woman”, a “mendicant”, a “one gone forth”, a “she”, a “person”, or some other such name;
['PA_bi-vb_pc64:2.4']	…pe… ayaṁ imasmiṁ atthe adhippetā bhikkhunīti.	pe ayam imasmin atthe adhippetā bhikkhunī iti 	2	if she is fully ordained, both in the Community of monks and in the Community of nuns, and her conduct and appearance are those of a nun—this is the kind of “nun” who is meant here.
['PA_bi-vb_pc64:2.5']	Dve vassānīti	dve vassāni iti 	2	Two years:
['PA_bi-vb_pc64:2.6', 'PA_bi-vb_pc64:2.7']	dve saṁvaccharāni.🔽Sikkhitasikkhā nāma	dve savat śarāni  sikkhitasikkhā nāma 	2	two twelve-month periods.🔽Who has trained in the six rules:
['PA_bi-vb_pc64:2.8']	chasu dhammesu sikkhitasikkhā.	chasu dhammesu sikkhita sikkhā 	2	who has trained in the six rules.
['PA_bi-vb_pc64:2.9']	Asammatā nāma	asammatā nāma 	2	Who has not been approved:
['PA_bi-vb_pc64:2.10']	ñattidutiyena kammena vuṭṭhānasammuti na dinnā hoti.	ñatti dutiyena kammena vuṭṭhāna sammuti na dinnā hoti 	2	approval for the full admission has not been given through a legal procedure consisting of one motion and one announcement.
['PA_bi-vb_pc64:2.11']	Vuṭṭhāpeyyāti	vuṭṭhāpeyya ati 	2	Gives the full admission:
['PA_bi-vb_pc64:2.12']	upasampādeyya.	upasampādeyya 	2	gives the full ordination.🔽If, intending to give the full admission, she searches for a group, a teacher, a bowl, or a robe, or she establishes a monastery zone, she commits an offense of wrong conduct.
['PA_bi-vb_pc64:2.13', 'PA_bi-vb_pc64:2.14', 'PA_bi-vb_pc64:2.15']	“Vuṭṭhāpessāmī”ti gaṇaṁ vā ācariniṁ vā pattaṁ vā cīvaraṁ vā pariyesati, sīmaṁ vā sammannati, āpatti dukkaṭassa.🔽Ñattiyā dukkaṭaṁ.🔽Dvīhi kammavācāhi dukkaṭā.	vuṭṭhāpessāmi iti gaṇam vā ācarinim vā pattam vā cīvaram vā pariyesati sīmam vā sammannati āpatti dukkaṭassa  ñattiyā dukkaṭa  dvīhi kamma vācāhi dukkaṭā 	2	After the motion, she commits an offense of wrong conduct.🔽After each of the first two announcements, she commits an offense of wrong conduct.
