segmentnr	original	analyzed	translated
['PA_bu-vb_ss2:0.1']	Theravāda Vinaya	thera vāda vinaya 	The Pāṭimokkha of the Theravāda Vinaya
['PA_bu-vb_ss2:0.2', 'PA_bu-vb_ss2:0.3']	Mahāvibhaṅga🔽Saṅghādisesakaṇḍa	mahāvibhaṅga  saṅgha ādi sesa kaṇḍa 	The Great Analysis🔽The chapter on the offense entailing suspension
['PA_bu-vb_ss2:0.4']	2. Kāyasaṁsaggasikkhāpada	kāyasasaggasikkhāpada 	The training rule on physical contact
['PA_bu-vb_ss2:1.1.1']	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	tena samayena buddhaḥ bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 	At one time the Buddha was staying at Sāvatthī in the Jeta Grove, Anāthapiṇḍika’s Monastery.
['PA_bu-vb_ss2:1.1.2']	Tena kho pana samayena āyasmā udāyī araññe viharati.	tena kho pana samayena āyasmai udāyī araññe viharati 	At that time Venerable Udāyī was staying in the wilderness.
['PA_bu-vb_ss2:1.1.3', 'PA_bu-vb_ss2:1.1.4']	Tassāyasmato vihāro abhirūpo hoti dassanīyo pāsādiko, majjhegabbho, samantāpariyāgāro,🔽supaññattaṁ mañcapīṭhaṁ bhisibibbohanaṁ,	tassa ayasmataḥ vihāraḥ abhirūpaḥ hoti dassanīyaḥ pāsādikaḥ majjhegabbhaḥ samantāpariyāgāro  su paññattam mañca pīṭham bhisibibbohana 	His dwelling was beautiful, attractive, and inspiring, with a peaked roof, enclosed on all four sides,🔽with a well-made bed, bench, and mattress,
['PA_bu-vb_ss2:1.1.5']	pānīyaṁ paribhojanīyaṁ sūpaṭṭhitaṁ,	pānīyam paribhojanīyam su upaṭṭhita 	with drinking water and washing water set out,
['PA_bu-vb_ss2:1.1.6']	pariveṇaṁ susammaṭṭhaṁ.	pariveṇam su sammaṭṭha 	and with the surrounding area swept clean.
['PA_bu-vb_ss2:1.1.7']	Bahū manussā āyasmato udāyissa vihārapekkhakā āgacchanti.	bahū manussāḥ āyasmataḥ udāyissa vihāra pekkhakāḥ āgacchanti 	Many people came to see Udāyī’s dwelling.
['PA_bu-vb_ss2:1.1.8']	Aññataropi brāhmaṇo sapajāpatiko yenāyasmā udāyī tenupasaṅkami; upasaṅkamitvā āyasmantaṁ udāyiṁ etadavoca—	aññataraḥ api brāhmaṇaḥ sa pajāpatikaḥ yena ayasmai udāyī tena upasaṅkami upasaṅkamitvā āyasmantam udāyim etat avoca 	A certain brahmin and his wife went to Udāyī and said,
