segmentnr	original	analyzed	folio	translated
['PA_cnd_19:0.1']	Cūḷaniddesa	cūḷa niddesa 	0	The Shorter Expositions
['PA_cnd_19:0.2']	Pārāyanavagganiddesa	pārāyana vagga niddesa 	0	The Exposition of the Pārāyanavagga
['PA_cnd_19:0.3']	Pucchāniddesa	pucchā niddesa 	0	The Exposition of the Questions
['PA_cnd_19:0.4']	15. Mogharājamāṇavapucchāniddesa	      	0	The Exposition of the Questions of the Youth Mogharāja
['PA_cnd_19:1.1']	Dvāhaṁ sakkaṁ apucchissaṁ,	dvā aham sakkam apucchissa 	1	“I would ask Sakka twice,
['PA_cnd_19:1.2']	(iccāyasmā mogharājā)	mogha rājā 	1	(so said the venerable Mogharāja)
['PA_cnd_19:1.3']	Na me byākāsi cakkhumā;	na me byākāsi cakkhumā 	1	The one with vision did not answer me;
['PA_cnd_19:1.4']	Yāvatatiyañca devīsi,	devī isi 	1	But a third time the goddess
['PA_cnd_19:1.5']	Byākarotīti me sutaṁ.	byākaroti iti me suta 	1	Answered, so I have heard.”
['PA_cnd_19:2.1']	Dvāhaṁ sakkaṁ apucchissanti so brāhmaṇo dvikkhattuṁ buddhaṁ bhagavantaṁ pañhaṁ apucchi.	dvā aham sakkam apucchissanti saḥ brāhmaṇaḥ dvi khattum buddham bhagavantam pañham apucchi 	2	“I would ask Sakka twice”: this brahmin asked the Buddha, the Blessed One, a question twice.
['PA_cnd_19:2.2']	Tassa bhagavā pañhaṁ puṭṭho na byākāsi—	tassa bhagavā pañham puṭṭhaḥ na byākāsi 	2	But the Blessed One, when asked a question, did not answer,
['PA_cnd_19:2.3']	“tadantarā imassa brāhmaṇassa indriyaparipāko bhavissatī”ti.	tad antarā imassa brāhmaṇassa indriya paripākaḥ bhavissati iti 	2	thinking, “In the meantime, this brahmin’s faculties will mature.”
['PA_cnd_19:2.4']	Sakkanti sakko.	sakkanti sakko 	2	Sakka: Sakka is Sakka the ruler of the gods.
['PA_cnd_19:2.5']	Bhagavā sakyakulā pabbajitotipi sakko.	bhagavā sakya kulā pabbajitaḥ tipi sakko 	2	The Blessed One is also called Sakka because he went forth from the Sakyan clan.
['PA_cnd_19:2.6']	Atha vā aḍḍho mahaddhano dhanavātipi sakko.	atha vai aḍḍhaḥ mahaddhanaḥ dhanavā atipi sakkaḥ 	2	Or else, he is Sakka because he is rich, very wealthy, and prosperous.
