segmentnr	original	analyzed	translated
['PA_cnd_7:0.1']	Cūḷaniddesa	cūḷa niddesa 	The Shorter Expositions
['PA_cnd_7:0.2', 'PA_cnd_7:0.3']	Pārāyanavagganiddesa🔽Pucchāniddesa	pārāyana vagga niddesa  pucchā niddesa 	The Exposition of the Pārāyanavagga🔽The Exposition of the Questions
['PA_cnd_7:0.4']	3. Puṇṇakamāṇavapucchāniddesa	puṇṇaka māṇava pucchā niddesa 	The Exposition of the Questions of the Youth Puṇṇaka
['PA_cnd_7:1.1']	Anejaṁ mūladassāviṁ,	anejam mūladaḥ sāvi 	The unshaken one, the one who sees the root,
['PA_cnd_7:1.2', 'PA_cnd_7:1.3']	(iccāyasmā puṇṇako)🔽Atthi pañhena āgamaṁ;	iccā ayasmā puṇṇakaḥ  atthi pañhena āgama 	(thus said the venerable Puṇṇaka)🔽I have come with a question;
['PA_cnd_7:1.4']	Kiṁnissitā isayo manujā,	kinissitāḥ isayaḥ manujāḥ 	On what are the seers, the men,
['PA_cnd_7:1.5']	Khattiyā brāhmaṇā devatānaṁ;	khattiyāḥ brāhmaṇāḥ devatāna 	The nobles, the brahmins, the gods in the world
['PA_cnd_7:1.6']	Yaññamakappayiṁsu puthūdha loke,	puthu udha loke 	Based, that they perform various sacrifices in the world?
['PA_cnd_7:1.7']	Pucchāmi taṁ bhagavā brūhi metaṁ.	pucchāmi tam bhagavā brūhi mā ita 	I ask you, Blessed One, please tell me this.
['PA_cnd_7:2.1']	Anejaṁ mūladassāvinti ejā vuccati taṇhā.	anejam mūla dassāvinti ejā vuccati taṇhā 	“The unshaken one, the one who sees the root”: craving is called “shaken.”🔽The lust, lustfulness, fondness, infatuation, craving, attachment, holding, grasping, taking up, misinterpreting, misapprehending, mental standpoints, factionalism, and adherences in the world—this is called “shaken.”
['PA_cnd_7:2.2']	Yo rāgo sārāgo …pe… abhijjhā lobho akusalamūlaṁ sā ejā taṇhā buddhassa bhagavato pahīnā ucchinnamūlā tālāvatthukatā anabhāvaṅkatā āyatiṁ anuppādadhammā.	yaḥ rāgaḥ sārāgaḥ pe abhijjhā lobho akusala mūlam sā ejā taṇhā buddhassa bhagavataḥ pahīnā ucchinna mūlā tālāvatthukatā anabhāvaṅkatā āyatim an uppāda dhammā 	The Buddha, the Blessed One, has abandoned this shaken state, cut it off at the root, made it like a palm stump, eradicated it, and made it incapable of reappearing in the future.
['PA_cnd_7:2.3']	Tasmā buddho anejo.	tasmā buddhaḥ anejaḥ 	Therefore, the Buddha is unshaken.
['PA_cnd_7:2.4']	Ejāya pahīnattā anejo.	ejāya pahīnattā anejaḥ 	Because he has abandoned the shaken state, he is unshaken.
