segmentnr	original	analyzed	translated
['PA_iti_66:0.1']	Itivuttaka 66	itivuttaka 	As It Was Said 66
['PA_iti_66:0.2']	Tikanipāta	tika nipāta 	Itivuttaka🔽The Collection of Threes
['PA_iti_66:0.3']	Dutiyavagga	dutiya vagga 	The second sub-chapter
['PA_iti_66:0.4']	Soceyyasutta	soceyyasutta 	The three kinds of purity
['PA_iti_66:1.1']	Vuttañhetaṁ bhagavatā vuttamarahatāti me sutaṁ:	vuttam ha etam bhagavatā vuttam arahatā iti me suta 	This was said by the Blessed One, the Worthy One, the Perfect Sambuddha:
['PA_iti_66:2.1']	“Tīṇimāni, bhikkhave, soceyyāni.	tīṇi imāni bhikkhave soceyyāni 	“Monks, there are these three kinds of purity.
['PA_iti_66:2.2']	Katamāni tīṇi?	katamāni tīṇi 	What three?
['PA_iti_66:2.3']	Kāyasoceyyaṁ, vacīsoceyyaṁ, manosoceyyaṁ—	kāya soceyya vacī soceyya manaḥ soceyya 	Purity of body, purity of speech, and purity of mind.
['PA_iti_66:2.4', 'PA_iti_66:2.5']	imāni kho, bhikkhave, tīṇi soceyyānī”ti.🔽Etamatthaṁ bhagavā avoca.	imāni kho bhikkhave tīṇi soceyyāni iti  etam attham bhagavān avoca 	These are the three kinds of purity.”🔽The Blessed One said this.
['PA_iti_66:2.6']	Tatthetaṁ iti vuccati:	tattha itam iti vuccati 	And in connection with this, it was said:
['PA_iti_66:3.1', 'PA_iti_66:3.2']	“Kāyasuciṁ vacīsuciṁ,🔽cetosucimanāsavaṁ;	kāya sucim vacī suci  cetaḥ su ci manā sava 	“Pure in body, pure in speech,🔽Pure in mind, without effluents,
['PA_iti_66:3.3']	Suciṁ soceyyasampannaṁ,	sucim 	Pure, endowed with purity,
['PA_iti_66:3.4']	āhu sabbappahāyinan”ti.	āhu sabba ppahāyinanti 	They’re said to have given up everything.”
['PA_iti_66:4.1']	Ayampi attho vutto bhagavatā, iti me sutanti.	ayam pi atthaḥ vuttaḥ bhagavatā iti me sutam ti 	This is the meaning of what the Blessed One said. So it was heard by me.
['PA_iti_66:4.2']	Sattamaṁ.	sattama 	The seventh.
