segmentnr	original	analyzed	folio	translated
['PA_ja_542:0.1']	Jātaka	jātaka 	0	Jātaka
['PA_ja_542:0.2', 'PA_ja_542:0.3']	Mahānipāta🔽Mūgapakkhavagga	mahānipāta  mūga pakkha vagga 	0	Great Division🔽The Chapter of the Fool’s Cart
['PA_ja_542:0.4']	5 Umaṅgajātaka	umaṅgajātaka 	0	The Birth Story of Umaṅga
['PA_ja_542:1.1']	“Pañcālo sabbasenāya,	pañcālaḥ sabba senāya 	1	“The army of all of Pañcāla,
['PA_ja_542:1.2']	brahmadattoyamāgato;	brahmadattaḥ yam āgataḥ 	1	Brahmadatta’s son, has come;
['PA_ja_542:1.3']	Sāyaṁ pañcāliyā senā,	sāyam pañcāliyā senā 	1	This army of Pañcāla,
['PA_ja_542:1.4']	appameyyā mahosadha.	appameyyā mahosadha 	1	incalculable, great in size.
['PA_ja_542:2.1']	Vīthimatī pattimatī,	vīthimatī pattimatī 	2	With a line of march, with infantry,
['PA_ja_542:2.2']	sabbasaṅgāmakovidā;	sabba saṅgāma kovidā 	2	skilled in all battles;
['PA_ja_542:2.3']	Ohārinī saddavatī,	ohārinī saddavatī 	2	Overcoming, with a sound,
['PA_ja_542:2.4']	bherisaṅkhappabodhanā.	bheri saṅkhappa bodhanā 	2	awakened by drums and conches.
['PA_ja_542:3.1']	Lohavijjālaṅkārābhā,	loha vijjā alaṅkāra ābhā 	3	Adorned with iron-tipped arrows,
['PA_ja_542:3.2']	dhajinī vāmarohinī;	dhajinī vāmarohinī 	3	with banners, with a left-hand army;
['PA_ja_542:3.3']	Sippiyehi susampannā,	sippiyehi su sampannā 	3	Well-endowed with archers,
['PA_ja_542:3.4']	sūrehi suppatiṭṭhitā.	sūrehi su patiṭṭhitā 	3	firmly established with heroes.
['PA_ja_542:4.1']	Dasettha paṇḍitā āhu,	dasa itthā paṇḍitāḥ āhu 	4	Ten of them are said to be wise,
['PA_ja_542:4.2']	bhūripaññā rahogamā;	bhūri paññā rahogamā 	4	of great wisdom, coming from secret places;
['PA_ja_542:4.3']	Mātā ekādasī rañño,	mātā ekādasī rañño 	4	The mother is the eleventh of the king,
['PA_ja_542:4.4']	pañcāliyaṁ pasāsati.	pañcāliyam pasāsati 	4	ruling over Pañcāla.
['PA_ja_542:5.1']	Athetthekasataṁ khatyā,	atha itthā ika satam khatyā 	5	Then a hundred or so Khattiyas,
['PA_ja_542:5.2']	anuyantā yasassino;	anuyantā yasassinaḥ 	5	followers, famous,
['PA_ja_542:5.3']	Acchinnaraṭṭhā byathitā,	a chinna raṭṭhā byathitā 	5	deprived of their kingdom, afflicted,
['PA_ja_542:5.4']	pañcāliyaṁ vasaṁ gatā.	pañcāliyam vasam gatā 	5	have gone to live in Pañcāla.
['PA_ja_542:6.1']	Yaṁvadā takkarā rañño,	yavadā takkarā rañño 	6	What the king’s relatives say,
['PA_ja_542:6.2']	akāmā piyabhāṇino;	akāmā piya bhāṇinaḥ 	6	unwillingly, speaking what is dear;
['PA_ja_542:6.3']	Pañcālamanuyāyanti,	pañcālam anuyāyanti 	6	They follow Pañcāla,
['PA_ja_542:6.4']	akāmā vasino gatā.	akāmāḥ vasinaḥ gatā 	6	unwillingly, gone to live.
['PA_ja_542:7.1']	Tāya senāya mithilā,	tāya senāya mithilā 	7	With that army, Mithilā,
['PA_ja_542:7.2']	tisandhiparivāritā;	ti sandhi parivāritā 	7	surrounded by three divisions,
['PA_ja_542:7.3']	Rājadhānī videhānaṁ,	rājadhānī videhāna 	7	the capital of the Videhans,
['PA_ja_542:7.4']	samantā parikhaññati.	samantā parikhaññati 	7	is being besieged on all sides.
['PA_ja_542:8.1']	Uddhaṁ tārakajātāva,	ud 	8	Above, like stars,
['PA_ja_542:8.2']	samantā parivāritā;	samantā parivāritā 	8	surrounded on all sides;
['PA_ja_542:8.3']	Mahosadha vijānāhi,	mahosadha vijānāhi 	8	“Great Sage, understand this,
['PA_ja_542:8.4']	kathaṁ mokkho bhavissati”.	katham mokkhaḥ bhavissati 	8	how can there be freedom?”
