segmentnr	original	analyzed	folio	translated
['PA_kv_18.2:0.1']	Kathāvatthu	kathāvatthu 	0	Points of Controversy
['PA_kv_18.2:0.2']	Mahāpaṇṇāsaka	mahāpaṇṇāsaka 	0	The Great Fifty
['PA_kv_18.2:0.3']	Aṭṭhārasamavagga	aṭṭhārasama vagga 	0	The eighteenth chapter
['PA_kv_18.2:0.4']	Dhammadesanākathā	dhamma desanā kathā 	0	Discussion of teaching the Dhamma
['PA_kv_18.2:1.1']	Na vattabbaṁ—	na vattabba 	1	“Is it wrong to say
['PA_kv_18.2:1.2']	“buddhena bhagavatā dhammo desito”ti?	buddhena bhagavatā dhammaḥ desito ti 	1	that the Buddha, the Blessed One, taught the Dhamma?”
['PA_kv_18.2:1.3']	Āmantā.	āmantā 	1	“Yes, it is.”
['PA_kv_18.2:1.4']	Kena desitoti?	kena desitā uti 	1	“By whom was it taught?”
['PA_kv_18.2:1.5']	Abhinimmitena desitoti.	abhinimmitena desitā ti 	1	“By a created being.”
['PA_kv_18.2:1.6']	Abhinimmito jino satthā sammāsambuddho sabbaññū sabbadassāvī dhammassāmī dhammappaṭisaraṇoti?	abhinimmitaḥ jinaḥ satthā sammāsambuddhaḥ sabbaññū sabba dassāvī dhamma ssāmī dhamma ppaṭisaraṇaḥ ti 	1	“Is the Victor, the Teacher, the Rightly Self-awakened One, the all-seer, the unsurpassed guide for those people who need taming, the Teacher of gods and men, the Buddha, the Blessed One, a created being?”🔽“No, it is not.”
['PA_kv_18.2:1.7', 'PA_kv_18.2:2.1']	Na hevaṁ vattabbe …pe….🔽Na vattabbaṁ—	na ha ivam vattabbe pe  na vattabba 	1	“Is it wrong to say
['PA_kv_18.2:2.2']	“buddhena bhagavatā dhammo desito”ti?	buddhena bhagavatā dhammaḥ desito ti 	2	that the Buddha, the Blessed One, taught the Dhamma?”
['PA_kv_18.2:2.3']	Āmantā.	āmantā 	2	“Yes, it is.”
['PA_kv_18.2:2.4']	Kena desitoti?	kena desitā uti 	2	“By whom was it taught?”
['PA_kv_18.2:2.5']	Āyasmatā ānandena desitoti.	āyasmatā ānandena 	2	“By the venerable Ānanda.”
['PA_kv_18.2:2.6']	Āyasmā ānando jino satthā sammāsambuddho sabbaññū sabbadassāvī dhammassāmī dhammappaṭisaraṇoti?	āyasmai ānandaḥ jinaḥ satthā sammāsambuddhaḥ sabbaññū sabba dassāvī dhamma ssāmī dhamma ppaṭisaraṇaḥ ti 	2	“Is the venerable Ānanda the Victor, the Teacher, the Rightly Self-awakened One, the all-seer, the unsurpassed guide for those people who need taming, the Teacher of gods and men, the Buddha, the Blessed One?”🔽“No, it is not.”
['PA_kv_18.2:2.7', 'PA_kv_18.2:3.1']	Na hevaṁ vattabbe …pe….🔽Na vattabbaṁ—	na ha ivam vattabbe pe  na vattabba 	2	“Is it wrong to say
['PA_kv_18.2:3.2']	“buddhena bhagavatā dhammo desito”ti?	buddhena bhagavatā dhammaḥ desito ti 	3	that the Buddha, the Blessed One, taught the Dhamma?”
['PA_kv_18.2:3.3', 'PA_kv_18.2:3.4', 'PA_kv_18.2:3.5']	Āmantā.🔽Nanu vuttaṁ bhagavatā—🔽“saṅkhittenapi kho ahaṁ, sāriputta, dhammaṁ deseyyaṁ;	āmantā  nanu vuttam bhagavatā  saṅkhittena api kho aha sāriputta dhammam deseyya 	3	“Yes, it is.”🔽“But, lord, wasn’t it said by the Blessed One—the one of perfected virtue, perfected view—🔽‘I will teach you the Dhamma, Sāriputta, in brief and in detail’?
['PA_kv_18.2:3.6']	vitthārenapi kho ahaṁ, sāriputta, dhammaṁ deseyyaṁ;	vitthārena api kho aha sāriputta dhammam deseyya 	3	“Yes, it was said.”
['PA_kv_18.2:3.7']	saṅkhittavitthārenapi kho ahaṁ, sāriputta, dhammaṁ deseyyaṁ;	saṅkhitta vitthārena api kho aha sāriputta dhammam deseyya 	3	I could teach the Dhamma in brief or in detail,
['PA_kv_18.2:3.8']	aññātāro ca dullabhā”ti.	aññātāro ca dullabhāti 	3	but those who understand it are few.”
['PA_kv_18.2:3.9']	Attheva suttantoti?	atthā iva suttanto ti 	3	Is there a discourse?
['PA_kv_18.2:3.10']	Āmantā.	āmantā 	3	“Yes.”
['PA_kv_18.2:3.11']	Tena hi buddhena bhagavatā dhammo desitoti.	tena hi buddhena bhagavatā dhammaḥ desitaḥ iti 	3	“Then the Dhamma has been taught by the Buddha.”
['PA_kv_18.2:4.1']	Na vattabbaṁ—	na vattabba 	4	“You shouldn’t say that.”
['PA_kv_18.2:4.2']	“buddhena bhagavatā dhammo desito”ti?	buddhena bhagavatā dhammaḥ desito ti 	4	“Is it not true that the Buddha has taught the Dhamma?”
['PA_kv_18.2:4.3']	Āmantā.	āmantā 	4	“Yes.”
['PA_kv_18.2:4.4']	Nanu vuttaṁ bhagavatā—	nanu vuttam bhagavatā 	4	“Hasn’t the Buddha said this:
['PA_kv_18.2:4.5', 'PA_kv_18.2:4.6']	“‘abhiññāyāhaṁ, bhikkhave, dhammaṁ desemi, no anabhiññāya;🔽sanidānāhaṁ, bhikkhave, dhammaṁ desemi, no anidānaṁ;	abhiññāya aha bhikkhave dhammam desemi no an abhiññāya  sa nidānā aha bhikkhave dhammam desemi no a nidāna 	4	‘Monks, I teach the Dhamma after directly knowing it myself.🔽I teach the Dhamma with its grounds and with its references.
['PA_kv_18.2:4.7']	sappāṭihāriyāhaṁ, bhikkhave, dhammaṁ desemi, no appāṭihāriyaṁ;	sappāṭihāriya aha bhikkhave dhammam desemi no appāṭihāriya 	4	I teach the Dhamma with its stories.
['PA_kv_18.2:4.8_0']	tassa mayhaṁ, bhikkhave, abhiññāya dhammaṁ desayato no anabhiññāya, sanidānaṁ dhammaṁ	tassa bhikkhave abhiññāya dhammaṃ desayataḥ no an abhiññāya sa nidānam dhamma 	4	When I teach the Dhamma after directly knowing it myself, with its grounds and with its references, with its stories,
['PA_kv_18.2:4.8_1']	desayato no anidānaṁ, sappāṭihāriyaṁ dhammaṁ desayato no appāṭihāriyaṁ karaṇīyo ovādo karaṇīyā anusāsanī;	desayataḥ no sappāṭihāriyam dhammam desayataḥ no appāṭihāriyam karaṇīyaḥ ovādaḥ karaṇīyā anusāsanī 	4	advice and instruction are appropriate.
['PA_kv_18.2:4.9']	alañca pana vo, bhikkhave, tuṭṭhiyā alaṁ attamanatāya alaṁ somanassāya—	alam ca pana vaḥ bhikkhave tuṭṭhiyā alam atta manatāya alam somanassāya 	4	You should be satisfied, uplifted, and delighted
['PA_kv_18.2:4.10']	sammāsambuddho bhagavā, svākkhāto dhammo, suppaṭipanno saṅgho’ti.	sammāsambuddhaḥ bhagavā su ākkhātaḥ dhammo su paṭipanno saṅghaḥ iti 	4	the Fortunate One is a Worthy One, a Perfect Sambuddha, the Dhamma is well proclaimed by the Fortunate One, the Saṅgha is practising the good way (to heaven).
['PA_kv_18.2:4.11']	Imasmiñca pana veyyākaraṇasmiṁ bhaññamāne dasasahassilokadhātu akampitthā”ti.	imasmin ca pana veyyākaraṇasmiṃ bhaññamāne dasa sahassi lokadhātu akampittha ati 	4	And while this explanation was being spoken the ten thousand world-element shook.”
['PA_kv_18.2:4.12']	Attheva suttantoti?	atthā iva suttanto ti 	4	Is there such a discourse?
['PA_kv_18.2:4.13']	Āmantā.	āmantā 	4	“Yes.”
['PA_kv_18.2:4.14']	Tena hi buddhena bhagavatā dhammo desitoti.	tena hi buddhena bhagavatā dhammaḥ desitaḥ iti 	4	“Then the Dhamma was taught by the Buddha, the Fortunate One.”
['PA_kv_18.2:4.15']	Dhammadesanākathā niṭṭhitā.	dhamma desanā kathā niṭṭhitā 	4	The Discussion of the Teaching of the Dhamma is finished.
