segmentnr	original	analyzed	translated
['PA_mil_3.6.3:0.1']	Milindapañha	milindapañha 	The Questions of King Milinda
['PA_mil_3.6.3:0.2']	Sativagga	sativagga 	The Section on Mindfulness
['PA_mil_3.6.3:0.3']	3. Mahāpurisalakkhaṇapañha	    	The Questions about the Characteristics of a Great Man
['PA_mil_3.6.3:1.1']	Rājā āha—	rājā āha 	The King said:
['PA_mil_3.6.3:1.2']	“bhante nāgasena, buddho dvattiṁsamahāpurisalakkhaṇehi samannāgato asītiyā ca anubyañjanehi parirañjito suvaṇṇavaṇṇo kañcanasannibhattaco byāmappabho”ti?	bhante nāgasena buddhaḥ dvattisa mahāpurisa lakkhaṇehi samannāgataḥ asītiyā ca anubyañjanehi parirañjitaḥ suvaṇṇa vaṇṇaḥ kañcana sannibha ttacaḥ byāma ppabhaḥ ti 	“Revered Nāgasena, is it true that the Buddha was endowed with the thirty-two marks of a Great Man and the eighty minor characteristics, that he was of golden colour, of a radiance extending a fathom, and of the splendour of a mass of fire?”
['PA_mil_3.6.3:1.3']	“Āma, mahārāja, bhagavā dvattiṁsamahāpurisalakkhaṇehi samannāgato asītiyā ca anubyañjanehi parirañjito suvaṇṇavaṇṇo kañcanasannibhattaco byāmappabho”ti.	āma mahā rāja bhagavā dvattisa mahāpurisa lakkhaṇehi samannāgataḥ asītiyā ca anubyañjanehi parirañjitaḥ suvaṇṇa vaṇṇaḥ kañcana sannibha ttacaḥ byāma ppabhaḥ ti 	“Yes, sire, the Blessed One was endowed with the thirty-two marks of a Great Man and the eighty minor characteristics, he was of golden colour, of a radiance extending a fathom, and of the splendour of a mass of fire.”
['PA_mil_3.6.3:2.1']	“Kiṁ panassa, bhante, mātāpitaropi dvattiṁsamahāpurisalakkhaṇehi samannāgatā asītiyā ca anubyañjanehi parirañjitā suvaṇṇavaṇṇā kañcanasannibhattacā byāmappabhā”ti?	kim pana assa bhante mātā pitaraḥ api dvattisa mahāpurisa lakkhaṇehi samannāgatāḥ asītiyā ca anubyañjanehi parirañjitā suvaṇṇa vaṇṇā kañcana sannibha ttacā byāma ppabhā ati 	“But, revered sir, were his parents also endowed with the thirty-two marks of a Great Man and the eighty minor characteristics, of golden colour, of a radiance extending a fathom, and of the splendour of a mass of fire?”
['PA_mil_3.6.3:2.2']	“No cassa, mahārāja, mātāpitaro dvattiṁsamahāpurisalakkhaṇehi samannāgatā asītiyā ca anubyañjanehi parirañjitā suvaṇṇavaṇṇā kañcanasannibhattacā byāmappabhā”ti.	no ca ssa mahā rāja mātā pitaraḥ dvattisa mahāpurisa lakkhaṇehi samannāgatāḥ asītiyā ca anubyañjanehi parirañjitā suvaṇṇa vaṇṇā kañcana sannibha ttacā byāma ppabhāti 	“No, sire, his parents were not endowed with the thirty-two marks of a Great Man and the eighty minor characteristics, nor were they of golden colour, of a radiance extending a fathom, and of the splendour of a mass of fire.”
['PA_mil_3.6.3:3.1_0']	“Evaṁ sante kho, bhante nāgasena, na uppajjati buddho dvattiṁsamahāpurisalakkhaṇehi	evam sante kho bhante nāgasena na uppajjati buddhaḥ dvattisa mahāpurisa lakkhaṇehi 	“If that is so, revered Nāgasena, then a Buddha does not arise endowed with the thirty-two marks of a Great Man,
['PA_mil_3.6.3:3.1_1', 'PA_mil_3.6.3:3.1_2']	samannāgato asītiyā ca anubyañjanehi parirañjito suvaṇṇavaṇṇo kañcanasannibhattaco🔽byāmappabhoti, api ca mātusadiso vā putto hoti mātupakkho vā, pitusadiso vā putto	samannāgataḥ asītiyā ca anubyañjanehi parirañjitaḥ suvaṇṇa vaṇṇo kañcana sannibhattacaḥ  byāmappabho ti api ca mātu sadisaḥ vā puttaḥ hoti mātu pakkhaḥ vā pitu sadisaḥ vā putto 	with the eighty minor characteristics, with a body radiant like the golden Jambu river-gold,
