segmentnr	original	analyzed	folio	translated
['PA_mil_6.3.5:0.1']	Milindapañha	milindapañha 	0	The Questions of King Milinda
['PA_mil_6.3.5:0.2']	Anumānapañha	anumāna pañha 	0	The Questions of King Milinda🔽The Chapter on Inference
['PA_mil_6.3.5:0.3']	Vessantaravagga	vessantara vagga 	0	The Story of Vessantara
['PA_mil_6.3.5:0.4']	5. Supinapañha	supinapañha 	0	The Questions of King Milinda
['PA_mil_6.3.5:1.1_0']	“Bhante nāgasena, imasmiṁ loke naranāriyo supinaṁ passanti kalyāṇampi pāpakampi,	bhante nāgasena imasmin loke nara nāriyo supinam passanti kalyāṇam pi pāpakam pi 	1	“Revered Nāgasena, in this world men and women see dreams, good and bad,
['PA_mil_6.3.5:1.1_1']	diṭṭhapubbampi adiṭṭhapubbampi, katapubbampi akatapubbampi, khemampi sabhayampi,	diṭṭha pubbam pi a diṭṭha pubbam pi kata pubbam pi a kata pubbam pi khemam pi sa bhayam pi 	1	seen before and not seen before, done before and not done before, safe and fearful,
['PA_mil_6.3.5:1.1_2']	dūrepi santikepi, bahuvidhānipi anekavaṇṇasahassāni dissanti, kiñcetaṁ supinaṁ nāma,	dūre pi santike pi bahuvidhāni api aneka vaṇṇa sahassāni dissanti kiñca itam supinam nāma 	1	far and near, and many thousands of different colours are seen. What is this thing called a dream?
['PA_mil_6.3.5:1.1_3']	ko cetaṁ passatī”ti?	kaḥ ca itaṃ passati iti 	1	Who sees it?”
['PA_mil_6.3.5:1.2']	“Nimittametaṁ, mahārāja, supinaṁ nāma, yaṁ cittassa āpātamupagacchati.	nimittam eta mahā rāja supinam nāma yam cittassa āpātam upagacchati 	1	“This, sire, is a sign called a dream, which comes within the range of the mind.
['PA_mil_6.3.5:1.3_0']	Chayime, mahārāja, supinaṁ passanti, vātiko supinaṁ passati, pittiko supinaṁ passati,	chayime mahā rāja supinam passanti vātikaḥ supinam passati pittikaḥ supinam passati 	1	There are six, sire, who see dreams: one who is windy sees dreams, one who is bilious sees dreams,
['PA_mil_6.3.5:1.3_1']	semhiko supinaṁ passati, devatūpasaṁhārato supinaṁ passati, samudāciṇṇato supinaṁ	semhiko supinam passati devatu upasahārataḥ supinam passati samudāciṇṇataḥ supina 	1	one who is phlegmatic sees dreams, one who is possessed by a spirit sees dreams, one who has seen or heard of something sees dreams,
['PA_mil_6.3.5:1.3_2']	passati, pubbanimittato supinaṁ passati, tatra, mahārāja, yaṁ pubbanimittato supinaṁ	passati pubba nimittataḥ supinam passati tatra mahā rāja yam pubba nimittataḥ 	1	one who sees dreams as a portent of the future sees dreams. Of these, sire, he who sees dreams as a portent of the future
['PA_mil_6.3.5:1.3_3']	passati, taṁyeva saccaṁ, avasesaṁ micchā”ti.	passati tayā iva avasesam 	1	sees what is true, the rest are false.”
['PA_mil_6.3.5:2.1_0']	“Bhante nāgasena, yo pubbanimittato supinaṁ passati, kiṁ tassa cittaṁ sayaṁ gantvā	bhante nāgasena yaḥ pubba nimittataḥ supinam passati kim tassa cittam sayam gantvā 	2	“Revered Nāgasena, when a man sees a dream as an omen, does his mind go of its own accord
['PA_mil_6.3.5:2.1_1']	taṁ nimittaṁ vicināti, taṁ vā nimittaṁ cittassa āpātamupagacchati, añño vā āgantvā tassa ārocetī”ti?	tam nimittam vicināti tam vā nimittam cittassa āpātam upagacchati aññaḥ vā āgantvā tassa āroceti iti 	2	and investigate that omen, or does that omen come into the range of his mind, or does someone else come and tell him?”
['PA_mil_6.3.5:2.2']	“Na, mahārāja, tassa cittaṁ sayaṁ gantvā taṁ nimittaṁ vicināti, nāpi añño koci āgantvā tassa āroceti, atha kho taṁyeva nimittaṁ cittassa āpātamupagacchati.	na mahā rāja tassa cittam sayam gantvā tam nimittam vicināti na api aññaḥ koci āgantvā tassa āroceti atha kho tayā iva nimittam cittassa āpātam upagacchati 	2	“No, sire, his mind does not go of its own accord and investigate that omen, nor does someone else come and tell him, but that very omen comes into the range of his mind.
