segmentnr	original	analyzed	translated
['PA_mn_88:0.1']	Majjhima Nikāya 88	majjhima nikāya 	Middle Length Discourses 
['PA_mn_88:0.2']	Bāhitikasutta	bāhitika sutta 	With Bāhitika 
['PA_mn_88:1.1']	Evaṁ me sutaṁ—	evam me suta 	Thus have I heard. 
['PA_mn_88:1.2']	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.	ekam samayam bhagavā sāvatthiyam viharati jetavane anāthapiṇḍikassa ārāme 	Once the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park. 
['PA_mn_88:2.1']	Atha kho āyasmā ānando pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya sāvatthiyaṁ piṇḍāya pāvisi.	atha kho āyasmai ānandaḥ pubbaṇha samayam nivāsetvā patta cīvaram ādāya sāvatthiyam piṇḍāya pāvisi 	Then, when it was morning, the venerable Ānanda dressed, and taking his bowl and outer robe, went into Sāvatthī for alms. 
['PA_mn_88:2.2']	Sāvatthiyaṁ piṇḍāya caritvā pacchābhattaṁ piṇḍapātapaṭikkanto yena pubbārāmo migāramātupāsādo tenupasaṅkami divāvihārāya.	sāvatthiyam piṇḍāya caritvā pacchābhattam piṇḍapāta paṭikkantaḥ yena pubbārāmaḥ migāra mātu pāsādaḥ tena upasaṅkami divāvihārāya 	When he had walked for alms in Sāvatthī and had returned from his alms round, after his meal he went to the Eastern Park, to the Palace of Migāra’s Mother for the day’s abiding. 
['PA_mn_88:3.1']	Tena kho pana samayena rājā pasenadi kosalo ekapuṇḍarīkaṁ nāgaṁ abhiruhitvā sāvatthiyā niyyāti divā divassa.	tena khalu pana samayena rājā pasenadi kosalaḥ ekapuṇḍarīkam nāgam abhiruhitvā sāvatthiyā niyyāti divā divassa 	Now on that occasion King Pasenadi of Kosala had mounted the elephant Ekapundarika and was riding out from Sāvatthī in the middle of the day. 
['PA_mn_88:3.2']	Addasā kho rājā pasenadi kosalo āyasmantaṁ ānandaṁ dūratova āgacchantaṁ.	addasā khalu rājā pasenadi kosalaḥ āyasmantam ānandam āgacchanta 	He saw the venerable Ānanda coming in the distance. 
['PA_mn_88:3.3', 'PA_mn_88:3.4']	Disvāna sirivaḍḍhaṁ mahāmattaṁ āmantesi:🔽“āyasmā no eso, samma sirivaḍḍha, ānando”ti.	disvāna sirivaḍḍham mahāmattam āmantesi  āyasmai naḥ esaḥ samma sirivaḍḍhaḥ ānandaḥ ti 	Seeing him, he addressed the chief minister Sirivaḍḍha: 🔽“That, my good Sirivaḍḍha, is the venerable Ānanda.” 
['PA_mn_88:3.5']	“Evaṁ, mahārāja, āyasmā eso ānando”ti.	eva mahā rāja āyasmai ānandaḥ iti 	“Yes, sire, that is the venerable Ānanda.”
['PA_mn_88:4.1']	Atha kho rājā pasenadi kosalo aññataraṁ purisaṁ āmantesi:	atha kho rājā pasenadi kosalaḥ aññataram purisam āmantesi 	Then King Pasenadi of Kosala told a man,🔽“Come, good man, go to the venerable Ānanda,
['PA_mn_88:4.2']	“ehi tvaṁ, ambho purisa, yenāyasmā ānando tenupasaṅkama; upasaṅkamitvā mama vacanena āyasmato ānandassa pāde sirasā vandāhi:	ehi tva ambho purisa yena āyasmataḥ ānandaḥ tena upasaṅkama upasaṅkamitvā mama vacanena āyasmataḥ ānandassa pāde sirasā vandāhi 	bow down in my name with your head at his feet,🔽and say:
['PA_mn_88:4.3']	‘rājā, bhante, pasenadi kosalo āyasmato ānandassa pāde sirasā vandatī’ti;	rājā bhante pasenadi kosalaḥ āyasmataḥ ānandassa pāde sirasā vandati iti 	‘Venerable sir, King Pasenadi of Kosala bows down with his head at the feet of the venerable Ānanda
['PA_mn_88:4.4']	evañca vadehi:	evañca vadehi 	and says this:
['PA_mn_88:4.5']	‘sace kira, bhante, āyasmato ānandassa na kiñci accāyikaṁ karaṇīyaṁ, āgametu kira, bhante, āyasmā ānando muhuttaṁ anukampaṁ upādāyā’”ti.	sace kira bhante āyasmataḥ ānandassa na kiñci accāyikam karaṇīyaḥ āgametu kira bhante āyasmai ānandaḥ muhuttam anukampam upādāya ati 	If the venerable Ānanda has nothing more to do, may he consent to come to the royal palace. It would be good if the venerable Ānanda would take pity on me and come.’”
['PA_mn_88:5.1_0', 'PA_mn_88:5.1_1']	“Evaṁ, devā”ti kho so puriso rañño pasenadissa kosalassa paṭissutvā yenāyasmā ānando🔽tenupasaṅkami; upasaṅkamitvā āyasmantaṁ ānandaṁ abhivādetvā ekamantaṁ aṭṭhāsi. Ekamantaṁ	eva deva ati kho so purisaḥ rañño pasenadissa kosalassa paṭissutvā yena ayasmai ānando  tena upasaṅkami upasaṅkamitvā āyasmantam ānandam abhivādetvā ekamantam aṭṭhāsi ekamanta 	Responding, “As you say, your majesty,” to the king, the man went to the venerable Ānanda
['PA_mn_88:5.1_2']	ṭhito kho so puriso āyasmantaṁ ānandaṁ etadavoca:	ṭhitaḥ kho saḥ purisaḥ āyasmantam ānandam etat avoca 	and, on arrival, having bowed down to him, stood to one side. As he was standing there, he said to the venerable Ānanda,🔽“Master Ānanda, King Pasenadi of Kosala bows down with his head at your feet and says this:
['PA_mn_88:5.2']	“rājā, bhante, pasenadi kosalo āyasmato ānandassa pāde sirasā vandati;	rājā bhante pasenadi kosalaḥ āyasmataḥ ānandassa pāde sirasā vandati 	“Venerable Ānanda, King Pasenadi of Kosala bows down at your feet.
['PA_mn_88:5.3']	evañca vadeti:	evañca vada iti 	He says this:
['PA_mn_88:5.4']	‘sace kira, bhante, āyasmato ānandassa na kiñci accāyikaṁ karaṇīyaṁ, āgametu kira, bhante, āyasmā ānando muhuttaṁ anukampaṁ upādāyā’”ti.	sace kira bhante āyasmataḥ ānandassa na kiñci accāyikam karaṇīyaḥ āgametu kira bhante āyasmai ānandaḥ muhuttam anukampam upādāya ati 	‘If there’s nothing urgent to do, may the Venerable Ānanda please wait a moment out of compassion.’”
['PA_mn_88:6.1']	Adhivāsesi kho āyasmā ānando tuṇhībhāvena.	adhivāsesi kho āyasmai ānandaḥ tuṇhībhāvena 	Ānanda consented in silence.
['PA_mn_88:6.2_0']	Atha kho rājā pasenadi kosalo yāvatikā nāgassa bhūmi nāgena gantvā nāgā paccorohitvā	atha kho rājā pasenadi kosalaḥ yāvatikā nāgassa bhūmi nāgena gantvā nāgā paccorohitvā 	Then, after traveling by elephant as far as the terrain allowed, King Pasenadi got down from his elephant
['PA_mn_88:6.2_1']	pattikova yenāyasmā ānando tenupasaṅkami; upasaṅkamitvā āyasmantaṁ ānandaṁ abhivādetvā	pattikaḥ uva yena āyasmai ānandaḥ tena upasaṅkami upasaṅkamitvā āyasmantam ānandam abhivādetvā 	and, on foot, approached Ānanda. He bowed,
['PA_mn_88:6.2_2']	ekamantaṁ aṭṭhāsi. Ekamantaṁ ṭhito kho rājā pasenadi kosalo āyasmantaṁ ānandaṁ etadavoca:	ekamantam aṭṭhāsi ekamantam ṭhitaḥ kho rājā pasenadi kosalaḥ āyasmantam ānandam etat avoca 	and then stood to one side. He said to Ānanda,
['PA_mn_88:6.3']	“sace, bhante, āyasmato ānandassa na kiñci accāyikaṁ karaṇīyaṁ, sādhu, bhante, āyasmā ānando yena aciravatiyā nadiyā tīraṁ tenupasaṅkamatu anukampaṁ upādāyā”ti.	sace bhante āyasmataḥ ānandassa na kiñci accāyikam sādhu bhante āyasmai ānandaḥ yena aciravatiyāḥ nadiyāḥ tīram tena upasaṅkamatu anukampam upādāya ati 	“If there’s nothing urgent to do, it would be good if the Venerable Ānanda would approach the bank of the river Aciravatī out of compassion.”
['PA_mn_88:7.1']	Adhivāsesi kho āyasmā ānando tuṇhībhāvena.	adhivāsesi kho āyasmai ānandaḥ tuṇhībhāvena 	The venerable Ānanda consented in silence.
['PA_mn_88:7.2', 'PA_mn_88:7.3_0', 'PA_mn_88:7.3_1']	Atha kho āyasmā ānando yena aciravatiyā nadiyā tīraṁ tenupasaṅkami; upasaṅkamitvā aññatarasmiṁ rukkhamūle paññatte āsane nisīdi.🔽Atha kho rājā pasenadi kosalo yāvatikā nāgassa bhūmi nāgena gantvā nāgā paccorohitvā🔽pattikova yenāyasmā ānando tenupasaṅkami; upasaṅkamitvā āyasmantaṁ ānandaṁ abhivādetvā	atha kho āyasmai ānandaḥ yena aciravatiyāḥ nadiyāḥ tīram tena upasaṅkami upasaṅkamitvā aññatarasmim rukkha mūle paññatte āsane nisīdi  atha kho rājā pasenadi kosalaḥ yāvatikā nāgassa bhūmi nāgena gantvā nāgā paccorohitvā  pattikaḥ uva yena āyasmai ānandaḥ tena upasaṅkami upasaṅkamitvā āyasmantam ānandam abhivādetvā 	Then the venerable Ānanda went to the bank of the river Aciravatī, and after going, he sat down at the root of a certain tree on a seat made ready.🔽Then King Pasenadi of Kosala went as far as the ground for vehicles, and after going as far as the ground for vehicles, he dismounted from his vehicle and went on foot to the venerable Ānanda. After going and paying homage to the venerable Ānanda,🔽he stood at one side
['PA_mn_88:7.3_2']	ekamantaṁ aṭṭhāsi. Ekamantaṁ ṭhito kho rājā pasenadi kosalo āyasmantaṁ ānandaṁ etadavoca:	ekamantam aṭṭhāsi ekamantam ṭhitaḥ kho rājā pasenadi kosalaḥ āyasmantam ānandam etat avoca 	and said to him:
['PA_mn_88:7.4']	“idha, bhante, āyasmā ānando hatthatthare nisīdatū”ti.	idha bhante āyasmai ānandaḥ hatthatthare nisīdatu uti 	“Venerable sir, let the venerable Ānanda sit down on the couch.”
['PA_mn_88:7.5']	“Alaṁ, mahārāja.	ala mahā rāja 	“Enough, great king.
['PA_mn_88:7.6']	Nisīda tvaṁ;	nisīda tva 	You sit down;
['PA_mn_88:7.7', 'PA_mn_88:8.1']	nisinno ahaṁ sake āsane”ti.🔽Nisīdi kho rājā pasenadi kosalo paññatte āsane.	nisinnaḥ aham sake āsane iti  nisīdi kho rājā pasenadi kosalo paññatte āsane 	I am sitting on my own seat.”🔽King Pasenadi of Kosala sat down on a seat made ready🔽and said to the venerable Ānanda:
['PA_mn_88:8.2']	Nisajja kho rājā pasenadi kosalo āyasmantaṁ ānandaṁ etadavoca:	nisajja khalu rājā pasenadi kosalaḥ āyasmantam ānandam etat avoca 	“Venerable sir, it is said, ‘Nibbāna, Nibbāna.’
['PA_mn_88:8.3']	“kiṁ nu kho, bhante ānanda, so bhagavā tathārūpaṁ kāyasamācāraṁ samācareyya, yvāssa kāyasamācāro opārambho samaṇehi brāhmaṇehī”ti?	kim nu khalu bhante ānanda saḥ bhagavā tathārūpam kāya samācāram samācareyya yvā assa kāya samācāraḥ opārambhaḥ samaṇehi brāhmaṇehi iti 	“But, reverend Ānanda, would the Lord have conducted himself in such a way as to be open to criticism by recluses and brahmins?”
['PA_mn_88:8.4', 'PA_mn_88:8.5', 'PA_mn_88:8.6']	“Na kho, mahārāja, so bhagavā tathārūpaṁ kāyasamācāraṁ samācareyya, yvāssa kāyasamācāro opārambho samaṇehi brāhmaṇehi viññūhī”ti.🔽“Kiṁ pana, bhante ānanda, so bhagavā tathārūpaṁ vacīsamācāraṁ …pe…🔽manosamācāraṁ samācareyya, yvāssa manosamācāro opārambho samaṇehi brāhmaṇehī”ti?	na kho mahā rāja saḥ bhagavā tathārūpam kāya samācāram samācareyya yvā assa kāya samācāraḥ opārambhaḥ samaṇehi brāhmaṇehi viññūhi iti  kim pana bhante ānanda saḥ bhagavā tathārūpam vacī samācāram pe  manaḥ samācāram samācareyya yvā assa manaḥ samācāraḥ opārambhaḥ samaṇehi brāhmaṇehi iti 	“No, sire.”🔽“But, reverend Ānanda, would the Lord have conducted himself in such a way as to be open to criticism by recluses and brahmins in regard to speech and mind?”
