segmentnr	original	analyzed	folio	translated
['PA_patthana_18.1:0.1']	Paṭṭhānapakaraṇa	paṭṭhāna pakaraṇa 	0	The Book of Conditional Relations🔽The Book of the Middle Length Sayings🔽The Book of the Numerical Sayings
['PA_patthana_18.1:0.2']	Dhammānulomapaccanīya (3), Dukadukapaṭṭhānapāḷi (6)	dhamma anuloma paccanīya 	0	The Book of the Ones🔽The Book of the Twelves
['PA_patthana_18.1:0.3']	18.1. Hetuduka, Sahetukaduka	hetu duka sa hetuka duka 	0	The Book of Cause and Effect
['PA_patthana_18.1:1.1']	Namo tassa Bhagavato Arahato Sammāsambuddhassa.	namaḥ tassa bhagavataḥ arahataḥ sammāsambuddhassa 	1	Homage to the Blessed One, the Worthy One, the Rightly Self-awakened One.
['PA_patthana_18.1:2.1']	Hetuṁ sahetukaṁ dhammaṁ paṭicca nahetu nasahetuko dhammo uppajjati hetupaccayā. Nahetuṁ sahetukaṁ dhammaṁ paṭicca nahetu nasahetuko dhammo uppajjati hetupaccayā.	hetum sa hetukam dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ uppajjati hetu paccayā na hetum sa hetukam dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ uppajjati hetu paccayā 	2	With a cause and an effect as condition, a state without a cause and without an effect arises through a condition by way of cause. With a state without a cause and without an effect as condition, a state without a cause and without an effect arises through a condition by way of cause.
['PA_patthana_18.1:3.1']	Hetuṁ sahetukañca nahetuṁ sahetukañca dhammaṁ paṭicca nahetu nasahetuko dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.)	hetum sa hetukam ca na hetum sa hetukañca dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ uppajjati hetu paccayā 	3	With a cause and an effect and a state without a cause and without an effect as condition, a state without a cause and without an effect arises through a condition by way of cause. (In brief.)
['PA_patthana_18.1:4.1']	Hetuyā tīṇi, ārammaṇe ekaṁ, adhipatiyā tīṇi …pe… aññamaññe pañca …pe… vipāke tīṇi …pe… avigate pañca.	hetuyā tīṇi ārammaṇe eka adhipatiyā tīṇi pe aññamaññe pañca pe vipāke tīṇi pe avigate pañca 	4	In the case of cause, there are three; in the case of object, one; in the case of predominance, three. … In the case of mutuality, five. … In the case of kamma result, three. … In the case of dissociation, five.
['PA_patthana_18.1:5.1']	Nahetuṁ sahetukaṁ dhammaṁ paṭicca nanahetu nasahetuko dhammo uppajjati nahetupaccayā … (Saṅkhittaṁ.)	na hetum sa hetukam dhammam paṭicca na na hetu na sa hetukaḥ dhammaḥ uppajjati na hetu paccayā 	5	With a state without a cause and without an effect as condition, a state without a cause and without an effect arises through a condition by way of cause. … (In brief.)
['PA_patthana_18.1:6.1']	Nahetuyā ekaṁ, naārammaṇe tīṇi, naadhipatiyā pañca, napurejāte cattāri …pe… navippayutte ekaṁ …pe… novigate tīṇi.	na hetuyā eka na ārammaṇe tīṇi na adhipatiyā pañca na purejāte cattāri pe na vippayutte ekam pe no vigate tīṇi 	6	With non-cause as condition: one. With non-object as condition: three. With non-dominance as condition: five. With non-decisive-support as condition: four. With non-kamma as condition: four. With non-nutritive-essence as condition: four. With non-pre-nascence as condition: four. With non-priority as condition: four. With non-contiguous as condition: four. With non-dependence as condition: four. With non-source as condition: four. With non-root as condition: four. With non-sphere as condition: one. With non-path as condition: four. With non-non-causality as condition: one. With non-non-object as condition: three.
['PA_patthana_18.1:7.1']	(Sahajātavārampi …pe… sampayuttavārampi paṭiccavārasadisaṁ.)	sahajāta vārampi pe sampayutta vārampi paṭicca vāra sadisa 	7	(The section on origination should be elaborated in the same way as the section on condition.)
['PA_patthana_18.1:8.0']	Hetu-ārammaṇa	hetu ārammaṇa 	8	Cause and object
['PA_patthana_18.1:8.1', 'PA_patthana_18.1:9.1_0']	Hetu sahetuko dhammo nahetussa nasahetukassa dhammassa hetupaccayena paccayo.🔽Hetu sahetuko dhammo nahetussa nasahetukassa dhammassa ārammaṇapaccayena paccayo.	hetu sa hetukaḥ dhammaḥ na hetussa na sa hetukassa dhammassa hetu paccayena paccayaḥ  hetu sa hetukaḥ dhammaḥ na hetussa na sa hetukassa dhammassa ārammaṇa paccayena paccayaḥ 	8	A cause that is causally related is a condition, by way of cause condition, for a non-cause that is causally unrelated.
['PA_patthana_18.1:9.1_1', 'PA_patthana_18.1:9.1_2']	Hetu sahetuko dhammo nanahetussa nasahetukassa dhammassa ārammaṇapaccayena paccayo.🔽Hetu sahetuko dhammo nahetussa nasahetukassa ca nanahetussa nasahetukassa ca dhammassa	hetu sa hetukaḥ dhammaḥ na na hetussa na sa hetukassa dhammassa ārammaṇa paccayena paccayaḥ  hetu sa hetukaḥ dhammaḥ na hetussa na sa hetukassa ca na na hetussa na sa hetukassa ca dhammassa 	9	A cause that is causally related is a condition, by way of object condition, for a non-cause that is causally unrelated.🔽A cause that is causally related is a condition, by way of object condition, for a non-cause that is causally unrelated.
