segmentnr	original	analyzed	translated
['PA_patthana_8.6:0.1', 'PA_patthana_8.6:0.2']	Paṭṭhānapakaraṇa🔽Dhammapaccanīya (2), Dukapaṭṭhānapāḷi (2)	paṭṭhāna pakaraṇa  dhamma paccanīya duka paṭṭhāna pāḷi 	The Book of Conditional Relations🔽The Chapter on Pairs, the Text on the Schedule in Twos
['PA_patthana_8.6:0.3', 'PA_patthana_8.6:1.1_0', 'PA_patthana_8.6:1.1_1', 'PA_patthana_8.6:1.1_2']	8.6. Nahetusahetukaduka🔽Nahetuṁ nasahetukaṁ dhammaṁ paṭicca nahetu nasahetuko dhammo uppajjati hetupaccayā—ekaṁ🔽mahābhūtaṁ paṭicca tayo mahābhūtā …pe…. Nahetuṁ nasahetukaṁ dhammaṁ paṭicca nahetu🔽naahetuko dhammo uppajjati hetupaccayā— paṭisandhikkhaṇe vatthuṁ paṭicca nahetusahetukā	na hetu sa hetuka duka  na hetum na sa hetukam dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ uppajjati hetu paccayā eka  mahābhūtam paṭicca tayaḥ mahābhūtā pe na hetum na sa hetukam dhammam paṭicca na hetu  na ahetukaḥ dhammaḥ uppajjati hetu paccayā paṭisandhi kkhaṇe vatthum paṭicca na hetu sa hetukā 	The Dyad on Root-Caused and Root-Causeless
['PA_patthana_8.6:1.1_3', 'PA_patthana_8.6:1.1_4']	khandhā. Nahetuṁ nasahetukaṁ dhammaṁ paṭicca nahetu nasahetuko ca nahetu naahetuko🔽ca dhammā uppajjanti hetupaccayā.	khandhāḥ na hetum na sa hetukam dhammam paṭicca na hetu na sa hetukaḥ ca na hetu na ahetukaḥ  ca dhammā uppajjanti hetu paccayā 	With a root-caused and root-free state as condition, a root-free and root-caused state arises, by way of root-cause condition: with one great primary as condition, three great primaries … With a root-free and root-caused state as condition, a root-free and root-caused state arises, by way of root-cause condition: at the moment of rebirth-linking, with the physical heart-basis as condition, the root-free and root-caused aggregates. With a root-free and root-caused state as condition, a root-free and root-caused state and a root-free and root-cause state arise, by way of root-cause condition.
['PA_patthana_8.6:2.1_0']	Nahetuṁ naahetukaṁ dhammaṁ paṭicca nahetu naahetuko dhammo uppajjati hetupaccayā.	na hetum na ahetukam dhammam paṭicca na hetu na ahetukaḥ dhammo uppajjati hetu paccayā 	With a root-free and root-cause state as condition, a root-free and root-cause state arises, by way of root-cause condition.
['PA_patthana_8.6:2.1_1']	Nahetuṁ naahetukaṁ dhammaṁ paṭicca nahetu nasahetuko dhammo uppajjati hetupaccayā.	na hetum na ahetukam dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ uppajjati hetu paccayā 	With a root-free and root-cause state as condition, a root-free and root-caused state arises, by way of root-cause condition.
['PA_patthana_8.6:2.1_2', 'PA_patthana_8.6:2.1_3', 'PA_patthana_8.6:3.1_0']	Nahetuṁ naahetukaṁ dhammaṁ paṭicca nahetu nasahetuko ca nahetu naahetuko ca dhammā🔽uppajjanti hetupaccayā.🔽Nahetuṁ nasahetukañca nahetuṁ naahetukañca dhammaṁ paṭicca nahetu nasahetuko dhammo	na hetum na ahetukam dhammam paṭicca na hetu na sahetukaḥ ca na hetu na ahetukaḥ ca dhammā  uppajjanti hetu paccayā  na hetum na sa hetukam ca na hetum na ahetukañca dhammam paṭicca na hetu na sa hetukaḥ dhammaḥ 	With a non-cause that is not related to a non-cause and a non-cause that is related to a non-cause as condition, a non-cause that is not related to a non-cause …
['PA_patthana_8.6:3.1_1']	uppajjati hetupaccayā. Nahetuṁ nasahetukañca nahetuṁ naahetukañca dhammaṁ paṭicca	uppajjati hetu paccayā na hetum na sahetukam ca na hetum na ahetukam ca dhammam paṭicca 	With a non-cause that is not related to a non-cause and a non-cause that is related to a non-cause as condition, a non-cause that is related to a non-cause …
['PA_patthana_8.6:3.1_2', 'PA_patthana_8.6:3.1_3', 'PA_patthana_8.6:4.1']	nahetu naahetuko dhammo uppajjati hetupaccayā. Nahetuṁ nasahetukañca nahetuṁ naahetukañca🔽dhammaṁ paṭicca nahetu nasahetuko ca nahetu naahetuko ca dhammā uppajjanti hetupaccayā. (Saṅkhittaṁ.)🔽Hetuyā nava, ārammaṇe cattāri, adhipatiyā pañca …pe… aññamaññe cha …pe… purejāte āsevane dve …pe… avigate nava.	na hetu na ahetukaḥ dhammaḥ uppajjati hetu paccayā na hetum na sahetukam ca na hetum na ahetukam ca  dhammam paṭicca na hetu na sahetuko ca na hetu na ahetuko ca dhammā uppajjanti hetu paccayā  hetuyā nava ārammaṇe cattāri adhipatiyā pañca pe aññamaññe cha pe purejāte āsevane dve pe avigate nava 	With a non-cause that is not related to a non-cause and a non-cause that is related to a non-cause as condition, a non-cause that is not related to a non-cause and a non-cause that is related to a non-cause …🔽(In brief:)🔽With a cause, nine; with object, four; with predominance, five … with mutual dependence, six … with prior, with subsequent, with neither prior nor subsequent, with nutriment, with faculty, with jhāna, with path, with association, with presence, with non-disappearance, with root, with fruit, with nibbāna as object, and with condition being as condition, two.
['PA_patthana_8.6:5.1']	(Sahajātavārampi …pe… sampayuttavārampi paṭiccavārasadisaṁ.)	sahajāta vārampi pe sampayutta vārampi paṭicca vāra sadisa 	(The section on the origination of the non-cause that is related to a non-cause should be treated in the same way as the section on the origination of the cause that is related to a cause.)
['PA_patthana_8.6:6.0']	Ārammaṇa	ārammaṇa 	With object
['PA_patthana_8.6:6.1', 'PA_patthana_8.6:7.1_0']	Nahetu nasahetuko dhammo nahetussa nasahetukassa dhammassa ārammaṇapaccayena paccayo. Nahetu nasahetuko dhammo nahetussa naahetukassa dhammassa ārammaṇapaccayena paccayo.🔽Nahetu naahetuko dhammo nahetussa naahetukassa dhammassa ārammaṇapaccayena paccayo.	na hetu na sa hetukaḥ dhammaḥ na hetussa na sa hetukassa dhammassa ārammaṇa paccayena paccayaḥ na hetu na sa hetukaḥ dhammaḥ na hetussa na ahetukassa dhammassa ārammaṇa paccayena paccayaḥ  na hetu na ahetukaḥ dhammaḥ na hetussa na ahetukassa dhammassa ārammaṇa paccayena paccayaḥ 	A state that is not a root and is not a condition being a root conditions a state that is not a root and is not a condition being a root as object condition. A state that is not a root and is not a condition being a root conditions a state that is not a root and is not a condition being a root as object condition.🔽A state that is not a root and is not a condition being a root conditions a state that is not a root and is not a condition being a root as object condition.
