segmentnr	original	analyzed	translated
['PA_pe_4:0.1']	Peṭakopadesa	peṭaka upadesa 	The Petakopadesa
['PA_pe_4:0.2']	4. Suttavicayacatutthabhūmi	      	The fourth stage, the investigation of the Suttas
['PA_pe_4:1.1']	Tattha katamo suttavicayo?	tattha katamaḥ sutta vicayo 	Herein, what is the investigation of the Suttas?
['PA_pe_4:2.1']	Tattha kusalehi dhammehi akusalehi dhammehi pubbāparaso sādhukaṁ upaparikkhiyati.	tattha kusalehi dhammehi akusalehi dhammehi pubba aparasaḥ sādhukam upaparikkhiyati 	Herein, the profitable ideas and unprofitable ideas are well investigated in the forward order and the reverse order.
['PA_pe_4:2.2']	Kiṁ nu kho idaṁ suttaṁ ārabhi …pe… tehi suttehi saha adhisannaṭṭhehi yujjati udāhu na yujjatīti?	kim nu kho idam suttam ārabhi pe tehi suttehi saha adhisanna ṭṭhehi yujjati udāhu na yujjati iti 	Does this sutta begin with what? … and so on up to … does it agree with the Suttas and with the Discipline?
['PA_pe_4:3.1']	Yathā bhagavā kilese ādimhi tattha deseti.	yathā bhagavā kilese ādimhi tattha deseti 	As the Blessed One teaches in the case of defilements, so in the case of the origin of the world.
['PA_pe_4:3.2']	Kiṁ desitaṁ?	kim 	What is taught?
['PA_pe_4:3.3']	Tesaṁ kilesānaṁ pahānaṁ udāhu no desitanti upaparikkhitabbaṁ.	tesam kilesānam pahānam udāhu no desitanti upaparikkhitabba 	The abandoning of those defilements. Or is it not taught? It should be investigated.
['PA_pe_4:3.4']	Yadi na desitaṁ bhagavati tesaṁ kilesānaṁ pahānaṁ kusalā dhammā pariyesitabbā;	yadi na desitam bhagavati tesam kilesānam pahānam kusalāḥ dhammā pariyesitabbā 	If the Blessed One’s teaching of the abandoning of those defilements is not found, then profitable ideas should be sought out
['PA_pe_4:3.5']	yattha te akusalā pahānaṁ gacchanti.	yattha te akusalā pahānam gacchanti 	where those unprofitable ideas are abandoned.
['PA_pe_4:3.6']	Sace samannehamāno na labhati.	sace samannehamānaḥ na labhati 	If, on reviewing, he does not find it,
['PA_pe_4:3.7']	Tattha akusalā dhammā apakaḍḍhitabbā vīmaṁsitabbā, saṅkilesabhāgiyasuttaṁ, yadi kilesā apakaḍḍhiyantā.	tattha akusalāḥ dhammāḥ apakaḍḍhitabbāḥ vīmasitabbā saṅkilesabhāgiya sutta yadi kilesāḥ apakaḍḍhiyantā 	then those unprofitable ideas should be removed and investigated in the sutta dealing with corruption, and if those defilements are removed,
['PA_pe_4:3.8']	Ye vā na denti tattha upaparikkhitabbā ariyamaggadhammā tāsu bhūmīsu kilesā pahānaṁ gacchanti, udāhu na gacchantīti.	ye vā na denti tattha upaparikkhitabbāḥ ariya magga dhammā tāsu bhūmīsu kilesāḥ pahānam gacchanti udāhu na gacchanti iti 	Or else, if they do not give, they should be examined thus: “Are the defilements in these stages abandoned by the noble path or not? ”
['PA_pe_4:3.9']	Yattakā pana kilesā desitā.	yattakā pana kilesāḥ desitā 	But how many defilements are taught?
['PA_pe_4:3.10']	Na tattakā ariyadhammā desitā.	na tattakāḥ ariya dhammāḥ desitā 	And how many noble ideas are taught?
['PA_pe_4:3.11']	Yattha kilesā pahānaṁ gacchanti, tattha ye kilesā ariyadhammānaṁ paṭipakkhena na yujjanti, te apakaḍḍhitabbā, sace apakaḍḍhiyantā yojanaṁ deti.	yattha kilesā pahānam gacchanti tattha ye kilesāḥ ariya dhammānam paṭipakkhena na yujjanti te apakaḍḍhitabbā sace apakaḍḍhiyantā yojanam deti 	And where the defilements are abandoned, there the defilements that are not opposed to the noble ideas should be excluded if they give a reason.
['PA_pe_4:3.12']	Tattha evaṁ vīmaṁsitabbaṁ.	tattha evam 	Herein, this should be investigated:
['PA_pe_4:3.13']	Dve tīṇi vā taduttari vā kilesā ekena ariyamaggena pahānaṁ gacchantīti.	dve tīṇi vā tad uttari vā kilesāḥ ekena ariya maggena pahānam gacchanti iti 	whether two, three, or more than that, defilements are abandoned by a single noble path.
['PA_pe_4:3.14']	Sace evaṁ vīmaṁsiyantā yojanaṁ deti, tattha upaparikkhitabbaṁ.	sace evam yojanam deti tattha upaparikkhitabba 	If they give a reason when investigated in this way, then this should be examined:
['PA_pe_4:3.15']	Paramparāya vā piṭakasampadānena vā suttassa attho ca nattho ca.	paramparāya vā piṭaka sampadānena vā suttassa attho ca nattho ca 	whether by tradition or by the text’s arrangement, the meaning of the sutta is or is not.
['PA_pe_4:3.16']	Yaṁ vā na sakkā suttaṁ niddisituṁ neva suttaṁ vicikicchitabbaṁ.	yam vā na sakkā suttam niddisitum na iva suttam 	Or if it is not possible to demonstrate a sutta, then the sutta need not be doubted.
['PA_pe_4:3.17']	Evaṁ yathā ādimhi kusalā dhammā honti.	evam yathā ādimhi kusalāḥ dhammāḥ honti 	So firstly, when the ideas are profitable,
['PA_pe_4:3.18']	Ye kilesā te pahīneyyāti.	ye kilesā te pahīneyya ati 	the defilements should be abandoned.
['PA_pe_4:3.19']	Te upaparikkhitabbā.	te upaparikkhitabbā 	They should be examined.
['PA_pe_4:3.20']	Puro vā kusalo paṭipakkhena vā puro desanā, anūnā anadhikā uggahetabbā.	puras vā kusalaḥ paṭipakkhena vā puras desanā anūnā anadhikā uggahetabbā 	Or else, if the teacher is skilled, he can teach by way of the opposite. The teaching should be received neither less nor more than is appropriate.
