segmentnr	original	analyzed	folio	translated
['PA_pvr_4:0.1', 'PA_pvr_4:0.2']	Parivāra🔽4. Antarapeyyāla	parivāra  antara peyya āla 	0	The middle repetition
['PA_pvr_4:0.3', 'PA_pvr_4:1.1', 'PA_pvr_4:1.2']	Katipucchāvāra🔽Kati āpattiyo?🔽Kati āpattikkhandhā?	katipucchāvāra  kati āpattiyaḥ  kati āpatti kkhandhāḥ 	0	The section on “How many?”🔽How many kinds of offenses are there?🔽How many classes of offenses are there?
['PA_pvr_4:1.3', 'PA_pvr_4:1.4']	Kati vinītavatthūni?🔽Kati agāravā?	kati vinīta vatthūni  kati agāravā 	1	How many grounds for training are there?🔽How many kinds of disrespect are there?
['PA_pvr_4:1.5']	Kati gāravā?	kati gāravā 	1	How many kinds of respect are there?
['PA_pvr_4:1.6', 'PA_pvr_4:1.7']	Kati vinītavatthūni?🔽Kati vipattiyo?	kati vinīta vatthūni  kati vipattiyaḥ 	1	How many grounds for training are there?🔽How many kinds of failure are there?
['PA_pvr_4:1.8', 'PA_pvr_4:1.9']	Kati āpattisamuṭṭhānā?🔽Kati vivādamūlāni?	kati āpatti samuṭṭhānā  kati vivāda mūlāni 	1	How many origins of offenses are there?🔽How many roots of arguments are there?
['PA_pvr_4:1.10']	Kati anuvādamūlāni?	kati anuvāda mūlāni 	1	How many roots of accusations are there?
['PA_pvr_4:1.11', 'PA_pvr_4:1.12', 'PA_pvr_4:1.13']	Kati sāraṇīyā dhammā?🔽Kati bhedakaravatthūni?🔽Kati adhikaraṇāni?	kati sāraṇīyāḥ dhammāḥ  kati  kati adhikaraṇāni 	1	How many qualities make for amiability?🔽How many grounds for schism are there?🔽How many kinds of legal issues are there?
['PA_pvr_4:1.14']	Kati samathā?	kati samathā 	1	How many principles for settling are there?
['PA_pvr_4:2.1', 'PA_pvr_4:2.2']	Pañca āpattiyo.🔽Pañca āpattikkhandhā.	pañca āpattiyaḥ  pañca āpatti kkhandhāḥ 	2	There are five kinds of offenses.🔽There are five classes of offenses.
['PA_pvr_4:2.3', 'PA_pvr_4:2.4', 'PA_pvr_4:2.5']	Pañca vinītavatthūni.🔽Satta āpattiyo.🔽Satta āpattikkhandhā.	pañca vinīta vatthūni  satta āpattiyaḥ  satta āpatti kkhandhāḥ 	2	There are five grounds for training.🔽There are seven kinds of offenses.🔽There are seven classes of offenses.
['PA_pvr_4:2.6', 'PA_pvr_4:2.7']	Satta vinītavatthūni.🔽Cha agāravā.	satta vinīta vatthūni  cha agāravā 	2	There are seven grounds for training.🔽There are six kinds of disrespect.
['PA_pvr_4:2.8']	Cha gāravā.	cha gāravā 	2	There are six kinds of respect.
['PA_pvr_4:2.9']	Cha vinītavatthūni.	cha vinīta vatthūni 	2	There are six grounds for training.
['PA_pvr_4:2.10', 'PA_pvr_4:2.11']	Catasso vipattiyo.🔽Cha āpattisamuṭṭhānā.	catassaḥ vipattiyaḥ  cha āpatti samuṭṭhānāḥ 	2	There are four kinds of failure.🔽There are six origins of offenses.
['PA_pvr_4:2.12', 'PA_pvr_4:2.13']	Cha vivādamūlāni.🔽Cha anuvādamūlāni.	vivāda mūlāni  anuvāda mūlāni 	2	There are six roots of arguments.🔽There are six roots of accusations.
['PA_pvr_4:2.14']	Cha sāraṇīyā dhammā.	cha sāraṇīyāḥ dhammā 	2	There are six qualities that make for amiability.
['PA_pvr_4:2.15']	Aṭṭhārasa bhedakaravatthūni.	aṭṭhārasa bheda karavatthūni 	2	There are eighteen grounds for schism.
['PA_pvr_4:2.16']	Cattāri adhikaraṇāni.	cattāri adhikaraṇāni 	2	There are four kinds of legal issues.
['PA_pvr_4:2.17']	Satta samathā.	satta samathā 	2	There are seven principles for settling.
