segmentnr	original	analyzed	folio	translated
['PA_snp_5.1:0.1']	Sutta Nipāta 5.1	sutta nipāta 	0	The Collection of Long Sayings .
['PA_snp_5.1:0.2']	Vatthugāthā	vatthu gāthā 	0	The Verses of the Story
['PA_snp_5.1:1.1']	Kosalānaṁ purā rammā,	kosalānam purā rammā 	1	Beautiful in the city of the Kosalans,
['PA_snp_5.1:1.2']	agamā dakkhiṇāpathaṁ;	agamā dakkhiṇāpatha 	1	I went to the southern region;
['PA_snp_5.1:1.3']	Ākiñcaññaṁ patthayāno,	ākiñcaññam patthayānaḥ 	1	Seeking the state of nothingness,
['PA_snp_5.1:1.4']	brāhmaṇo mantapāragū.	brāhmaṇaḥ manta pāragū 	1	a brahmin who had mastered the chants.
['PA_snp_5.1:2.1']	So assakassa visaye,	saḥ assakassa visaye 	2	In the domain of the Assakas,
['PA_snp_5.1:2.2']	aḷakassa samāsane;	aḷakassa samāsane 	2	in the town of Aḷakā;
['PA_snp_5.1:2.3']	Vasi godhāvarīkūle,	vasi godhāvarī kūle 	2	I lived on the banks of the Godhāvarī,
['PA_snp_5.1:2.4']	uñchena ca phalena ca.	uñchena ca phalena ca 	2	with roots and fruits that I gathered.
['PA_snp_5.1:3.1']	Tasseva upanissāya,	tassa iva upanissāya 	3	Next to that,
['PA_snp_5.1:3.2']	gāmo ca vipulo ahu;	gāmaḥ ca vipulaḥ ahu 	3	a large village arose;
['PA_snp_5.1:3.3']	Tato jātena āyena,	tatas jātena āyena 	3	Then, with the income that arose,
['PA_snp_5.1:3.4']	mahāyaññamakappayi.	mahā yaññam akappayi 	3	I prepared for a great sacrifice.
['PA_snp_5.1:4.1']	Mahāyaññaṁ yajitvāna,	mahāyaññam yajitvāna 	4	Having performed the great sacrifice,
['PA_snp_5.1:4.2']	puna pāvisi assamaṁ;	puna pāvisi assama 	4	I entered the hermitage again;
['PA_snp_5.1:4.3']	Tasmiṁ paṭipaviṭṭhamhi,	tasmin paṭipaviṭṭhamhi 	4	While I was staying there,
['PA_snp_5.1:4.4']	añño āgañchi brāhmaṇo.	aññaḥ āgañchi brāhmaṇaḥ 	4	another brahmin came.
['PA_snp_5.1:5.1']	Ugghaṭṭapādo tasito,	ugghaṭṭa pādaḥ tasitaḥ 	5	With his feet dusty, tired,
['PA_snp_5.1:5.2']	paṅkadanto rajassiro;	paṅka dantaḥ rajaḥ siraḥ 	5	with his teeth covered in mud, his hair dirty;
['PA_snp_5.1:5.3']	So ca naṁ upasaṅkamma,	saḥ ca nam upasaṅkamma 	5	He approached me,
['PA_snp_5.1:5.4']	satāni pañca yācati.	satāni pañca yācati 	5	and asked for five hundred (cows).
['PA_snp_5.1:6.1']	Tamenaṁ bāvarī disvā,	tam enam bāvarī disvā 	6	Seeing him,
['PA_snp_5.1:6.2']	āsanena nimantayi;	āsanena 	6	I invited him to sit down;
['PA_snp_5.1:6.3']	Sukhañca kusalaṁ pucchi,	sukham ca kusalam 	6	I asked about his comfort and welfare,
['PA_snp_5.1:6.4']	idaṁ vacanamabravi.	idam vacanam abravi 	6	and spoke this statement:
['PA_snp_5.1:7.1']	“Yaṁ kho mama deyyadhammaṁ,	yam kho mama 	7	“Whatever is my gift,
['PA_snp_5.1:7.2']	Sabbaṁ visajjitaṁ mayā;	sabbam visajjitam mayā 	7	all has been given away by me;
['PA_snp_5.1:7.3']	Anujānāhi me brahme,	anujānāhi me brahme 	7	Please allow me, brahmin,
['PA_snp_5.1:7.4']	Natthi pañcasatāni me”.	natthi pañca satāni me 	7	I do not have five hundred (cows).”
['PA_snp_5.1:8.1']	“Sace me yācamānassa,	sace me yācamānassa 	8	“If you, sir,
['PA_snp_5.1:8.2']	bhavaṁ nānupadassati;	bhavam na an upadassati 	8	do not give to me when I ask,
['PA_snp_5.1:8.3']	Sattame divase tuyhaṁ,	sattame divase tuyha 	8	On the seventh day your head
['PA_snp_5.1:8.4']	muddhā phalatu sattadhā”.	muddhā phalatu sattadhā 	8	will split into seven pieces.”
['PA_snp_5.1:9.1']	Abhisaṅkharitvā kuhako,	abhisaṅkharitvā kuhakaḥ 	9	The deceitful one, having made his plan,
['PA_snp_5.1:9.2']	bheravaṁ so akittayi;	bheravam saḥ akittayi 	9	made a terrible noise;
['PA_snp_5.1:9.3']	Tassa taṁ vacanaṁ sutvā,	tassa tam vacanam sutvā 	9	Having heard his words,
['PA_snp_5.1:9.4']	bāvarī dukkhito ahu.	bāvarī dukkhitaḥ ahu 	9	Bāvari was distressed.
['PA_snp_5.1:10.1']	Ussussati anāhāro,	ussussati anāhāraḥ 	10	He became emaciated from lack of food,
['PA_snp_5.1:10.2']	Sokasallasamappito;	soka salla samappito 	10	afflicted with the dart of sorrow;
['PA_snp_5.1:10.3']	Athopi evaṁ cittassa,	evam cittassa 	10	Then his mind,
