segmentnr	original	analyzed	folio	translated
['PA_tha-ap_506:0.1', 'PA_tha-ap_506:0.2']	Therāpadāna🔽Kaṇikāravagga	theḥ apadāna  kaṇikāra vagga 	0	Elder’s Birth Stories🔽The Chapter with Kaṇikāra as the First Story
['PA_tha-ap_506:0.3']	4. Avaṭaphaliyattheraapadāna	avaṭa phaliya tthera a padāna 	0	The Story of the Elder Avaṭa-phali
['PA_tha-ap_506:1.1']	“Sahassaraṁsī bhagavā,	sahas sarasī bhagavān 	1	“The Lord, the thousand-rayed One,
['PA_tha-ap_506:1.2']	sayambhū aparājito;	sayambhū aparājitaḥ 	1	self-arisen, unconquered,
['PA_tha-ap_506:1.3']	Vivekā vuṭṭhahitvāna,	vivekā vuṭṭhahitvāna 	1	having arisen from seclusion,
['PA_tha-ap_506:1.4']	gocarāyābhinikkhami.	gocarāya abhinikkhami 	1	went out for his alms round.
['PA_tha-ap_506:2.1', 'PA_tha-ap_506:2.2']	Phalahattho ahaṁ disvā,🔽upagacchiṁ narāsabhaṁ;	phalahatthaḥ aham disvā  upagacchim narāsabha 	2	Seeing him with a fruit in my hand,🔽I approached the Lord of men;
['PA_tha-ap_506:2.3']	Pasannacitto sumano,	pasanna cittaḥ sumanaḥ 	2	with a serene mind, joyful,
['PA_tha-ap_506:2.4']	avaṭaṁ adadiṁ phalaṁ.	avaṭam adadim phala 	2	I offered the fruit.
['PA_tha-ap_506:3.1']	Catunnavutito kappe,	catunnavutitaḥ kappe 	3	For ninety-four aeons,
['PA_tha-ap_506:3.2']	yaṁ phalaṁ adadiṁ tadā;	yam phalam adadim tadā 	3	the fruit I offered then;
['PA_tha-ap_506:3.3']	Duggatiṁ nābhijānāmi,	duggatim na abhijānāmi 	3	I do not recall a bad destination,
['PA_tha-ap_506:3.4']	phaladānassidaṁ phalaṁ.	phala dānaḥ sidam 	3	this is the fruit of offering the fruit.
['PA_tha-ap_506:4.1']	Kilesā jhāpitā mayhaṁ,	kilesāḥ jhāpitāḥ mayha 	4	My defilements were burned up,
['PA_tha-ap_506:4.2']	…pe…	pe 	4	…🔽…
['PA_tha-ap_506:4.3']	viharāmi anāsavo.	viharāmi anāsavaḥ 	4	I live without defilements.
['PA_tha-ap_506:5.1']	Svāgataṁ vata me āsi,	svāgatam vata me āsi 	5	Welcome indeed was it to me,
['PA_tha-ap_506:5.2']	…pe…	pe 	5	…🔽…
['PA_tha-ap_506:5.3']	kataṁ buddhassa sāsanaṁ.	katam buddhassa sāsana 	5	the Buddha’s instruction has been done.
['PA_tha-ap_506:6.1']	Paṭisambhidā catasso,	paṭisambhidā catasso 	6	The four analytical insights,
['PA_tha-ap_506:6.2']	…pe…	pe 	6	…🔽…
['PA_tha-ap_506:6.3']	kataṁ buddhassa sāsanaṁ”.	katam buddhassa sāsana 	6	the Buddha’s instruction has been done.”🔽Thus the elder Avaṭa-phali recited these verses.
['PA_tha-ap_506:7.1', 'PA_tha-ap_506:8.1']	Itthaṁ sudaṁ āyasmā avaṭaphaliyo thero imā gāthāyo abhāsitthāti.🔽Avaṭaphaliyattherassāpadānaṁ catutthaṁ.	ittham sudam āyasmai avaṭaphaliyaḥ theraḥ imāḥ gāthāyaḥ abhāsittha ati 🔽avaṭaphaliya therassa apadānam catuttha 	7	The story of the elder Avaṭa-phali is the fourth.
