segmentnr	original	analyzed	translated
['PA_tha-ap_66:0.1', 'PA_tha-ap_66:0.2']	Therāpadāna🔽Sakacintaniyavagga	theḥ apadāna  saka cintaniya vagga 	Elder’s Birth Stories🔽The Chapter with Sakacintani
['PA_tha-ap_66:0.3']	4. Parappasādakattheraapadāna	para ppasādaka tthera apadāna 	The Elder Parappasādaka’s Birth Story
['PA_tha-ap_66:1.1', 'PA_tha-ap_66:1.2']	“Usabhaṁ pavaraṁ vīraṁ,🔽Mahesiṁ vijitāvinaṁ;	usabham pavaram vīra  mahā isim vijitāvina 	“Who, having seen the bull, the supreme hero,🔽the great seer, the conqueror,
['PA_tha-ap_66:1.3']	Suvaṇṇavaṇṇaṁ sambuddhaṁ,	suvaṇṇa vaṇṇam sambuddha 	the one with the golden complexion, the fully awakened one,
['PA_tha-ap_66:1.4']	Ko disvā nappasīdati.	kaḥ disvā na appasīdati 	would not be inspired?
['PA_tha-ap_66:2.1']	Himavāvāparimeyyo,	hima vā vā parimeyyaḥ 	Like the Himalayas, immeasurable,
['PA_tha-ap_66:2.2']	sāgarova duruttaro;	sāgaraḥ uva duruttaraḥ 	like the ocean, difficult to cross,
['PA_tha-ap_66:2.3']	Tatheva jhānaṁ buddhassa,	tathā iva jhānam buddhassa 	so too is the Buddha’s meditation,
['PA_tha-ap_66:2.4']	ko disvā nappasīdati.	kaḥ disvā na appasīdati 	who, having seen, would not be inspired?
['PA_tha-ap_66:3.1']	Vasudhā yathāppameyyā,	vasudhā yathā appameyyā 	Like the earth, immeasurable,
['PA_tha-ap_66:3.2']	cittā vanavaṭaṁsakā;	cittā vanavaṭasakā 	with the mind, a grove, a thicket,
['PA_tha-ap_66:3.3']	Tatheva sīlaṁ buddhassa,	tathā iva sīlam buddhassa 	so too is the Buddha’s virtue,
['PA_tha-ap_66:3.4', 'PA_tha-ap_66:4.1']	ko disvā nappasīdati.🔽Anilañjasāsaṅkhubbho,	kaḥ disvā na appasīdati  anilañjasā saṅkhubbhaḥ 	who, having seen, would not be inspired?🔽Like the wind, swift, powerful,
['PA_tha-ap_66:4.2']	yathākāso asaṅkhiyo;	yathā ākāsaḥ asaṅkhiyaḥ 	like space, incalculable,
['PA_tha-ap_66:4.3']	Tatheva ñāṇaṁ buddhassa,	tathā iva ñāṇam buddhassa 	so too is the Buddha’s knowledge,
['PA_tha-ap_66:4.4']	ko disvā nappasīdati.	kaḥ disvā na appasīdati 	who, having seen, would not be inspired?
['PA_tha-ap_66:5.1']	Imāhi catugāthāhi,	imāhi catugāthāhi 	With these four verses,
['PA_tha-ap_66:5.2']	brāhmaṇo senasavhayo;	brāhmaṇaḥ sena savhayaḥ 	the brahmin Senasavhaya,
['PA_tha-ap_66:5.3']	Buddhaseṭṭhaṁ thavitvāna,	buddha seṭṭham thavitvāna 	having praised the best Buddha,
['PA_tha-ap_66:5.4']	siddhatthaṁ aparājitaṁ.	siddhattham aparājita 	the undefeated Siddhattha,
['PA_tha-ap_66:6.1']	Catunnavutikappāni,	catunnavuti kappāni 	for ninety-four eons
['PA_tha-ap_66:6.2', 'PA_tha-ap_66:6.3']	duggatiṁ nupapajjatha;🔽Sugatiṁ sukhasampattiṁ,	duggatim nu upapajjatha  sugatim sukha sampatti 	did not fall into an unhappy destination,
['PA_tha-ap_66:6.4']	anubhosimanappakaṁ.	anu bhaḥ sima nappaka 	but experienced much happiness and prosperity in a good destination.
['PA_tha-ap_66:7.1']	Catunnavutito kappe,	catunnavutitaḥ kappe 	For ninety-four eons,
['PA_tha-ap_66:7.2']	thavitvā lokanāyakaṁ;	thavitvā loka nāyaka 	having praised the leader of the world,
['PA_tha-ap_66:7.3']	Duggatiṁ nābhijānāmi,	duggatim na abhijānāmi 	I do not recall any unhappy destination—
['PA_tha-ap_66:7.4']	thomanāya idaṁ phalaṁ.	thomanāya idam 	this is the fruit of the praise.
['PA_tha-ap_66:8.1']	Cātuddasamhi kappamhi,	cātuddasamhi kappamhi 	In the fourth world-cycle,
['PA_tha-ap_66:8.2']	caturo āsumuggatā;	caturaḥ āsumuk gatā 	they were four who had attained the highest,
['PA_tha-ap_66:8.3']	Sattaratanasampannā,	satta ratana sampannā 	endowed with the seven treasures,
['PA_tha-ap_66:8.4']	cakkavattī mahabbalā.	cakkavattī mahat balā 	wheel-turning monarchs of great power.
['PA_tha-ap_66:9.1']	Paṭisambhidā catasso,	paṭisambhidā catasso 	The four analytical insights,
['PA_tha-ap_66:9.2']	…pe…	pe 	…🔽…
['PA_tha-ap_66:9.3']	kataṁ buddhassa sāsanaṁ”.	katam buddhassa sāsana 	I have done the Buddha’s bidding.”🔽Thus has the venerable Parappasāda told this verse.
['PA_tha-ap_66:10.1', 'PA_tha-ap_66:11.1']	Itthaṁ sudaṁ āyasmā parappasādako thero imā gāthāyo abhāsitthāti.🔽Parappasādakattherassāpadānaṁ catutthaṁ.	ittham sudam āyasmā parappasādakaḥ theraḥ imāḥ gāthāyaḥ abhāsittha ati 🔽parappasādaka therassa apadānam catuttha 	The Story of the Elder Parappasāda, the Fourth.
