segmentnr	original	analyzed	translated
['PA_thig_15.1:0.1']	Therīgāthā 15.1	therīgāthā 	Verses of the Elder Nuns .
['PA_thig_15.1:0.2']	Cattālīsanipāta	cattālīsa nipāta 	The Book of the Forty-One
['PA_thig_15.1:0.3']	Isidāsītherīgāthā	isi dāsī therī gāthā 	The Nun Isidāsī
['PA_thig_15.1:1.1']	Nagaramhi kusumanāme,	nagaramhi kusumanāme 	In the city named Kusinārā,
['PA_thig_15.1:1.2', 'PA_thig_15.1:1.3']	Pāṭaliputtamhi pathaviyā maṇḍe;🔽Sakyakulakulīnāyo,	pāṭaliputtamhi pathaviyāḥ maṇḍe  sakya kula kulīnāyaḥ 	In Pāṭaliputta, the ornament of the earth;🔽Two nuns of noble character,
['PA_thig_15.1:1.4']	Dve bhikkhuniyo hi guṇavatiyo.	dve bhikkhuniyaḥ hi guṇavatiyaḥ 	Both of the Sakyan clan, were endowed with virtue.
['PA_thig_15.1:2.1']	Isidāsī tattha ekā,	isi dāsī tattha ekā 	One of them was Isidāsī,
['PA_thig_15.1:2.2']	Dutiyā bodhīti sīlasampannā ca;	dutiyā bodhī iti sīla sampannā ca 	The other was Bodhī, accomplished in virtue;
['PA_thig_15.1:2.3']	Jhānajjhāyanaratāyo,	jhāna ajjhāyana rata ayaḥ 	Delighting in meditation and reflection,
['PA_thig_15.1:2.4', 'PA_thig_15.1:3.1']	Bahussutāyo dhutakilesāyo.🔽Tā piṇḍāya caritvā,	bahu ssutāyaḥ  tā piṇḍāya caritvā 	Learned, with defilements exhausted.🔽Having gone for alms,
['PA_thig_15.1:3.2']	Bhattatthaṁ kariya dhotapattāyo;	bhattattham kariya dhota pattāyo 	Having done what had to be done regarding food, with their bowls washed;
['PA_thig_15.1:3.3']	Rahitamhi sukhanisinnā,	rahitamhi sukha nisinnā 	Seated comfortably in private,
['PA_thig_15.1:3.4']	Imā girā abbhudīresuṁ.	imāḥ girāḥ abbhudīresu 	These words arose in their minds.
['PA_thig_15.1:4.1']	“Pāsādikāsi ayye,	pāsādikā asi ayye 	“You are inspiring, Venerable Lady,
['PA_thig_15.1:4.2']	Isidāsi vayopi te aparihīno;	isi dāsi te a parihīnaḥ 	Isidāsī, your youth has not passed;
