segmentnr	original	analyzed	translated
['PA_vb_5:0.1', 'PA_vb_5:0.2']	Vibhaṅga🔽Indriyavibhaṅga	vibhaṅga  indriya vibhaṅga 	The Vibhanga 🔽The Analysis of the Faculties 
['PA_vb_5:1.0']	1. Abhidhammabhājanīya	abhidhammabhājanīya 	The Abhidhamma 
['PA_vb_5:1.1', 'PA_vb_5:1.2_0', 'PA_vb_5:1.2_1']	Bāvīsatindriyāni—🔽cakkhundriyaṁ, sotindriyaṁ, ghānindriyaṁ, jivhindriyaṁ, kāyindriyaṁ, manindriyaṁ,🔽itthindriyaṁ, purisindriyaṁ, jīvitindriyaṁ, sukhindriyaṁ, dukkhindriyaṁ, somanassindriyaṁ,	bāvīsati indriyāni  cakkhundriya sotindriya ghānindriya jivhindriya kāyindriya manindriya  itthi indriya purisa indriya jīvita indriya sukha indriya dukkha indriya somanassa indriya 	There are twenty-two faculties:🔽the eye faculty, the ear faculty, the nose faculty, the tongue faculty, the body faculty, the mind faculty,🔽the femininity faculty, the masculinity faculty, the life faculty, the pleasure faculty, the pain faculty, the happiness faculty,
['PA_vb_5:1.2_2']	domanassindriyaṁ, upekkhindriyaṁ, saddhindriyaṁ, vīriyindriyaṁ, satindriyaṁ, samādhindriyaṁ,	domanassa indriya upekkhā indriya vīriya indriya sati indriya samādhi indriya 	the distress faculty, the equanimity faculty, the faith faculty, the energy faculty, the mindfulness faculty, the concentration faculty,
['PA_vb_5:1.2_3']	paññindriyaṁ, anaññātaññassāmītindriyaṁ, aññindriyaṁ, aññātāvindriyaṁ.	paññā indriya anaññātaññassāmi itindriya aññindriya aññātāvindriya 	the wisdom faculty, the faculty of “I am able”, the faculty of understanding, and the faculty of one who has understood. 
['PA_vb_5:2.1']	Tattha katamaṁ cakkhundriyaṁ?	tattha katamat 	Herein, what is the eye faculty?
['PA_vb_5:2.2']	Yaṁ cakkhu catunnaṁ mahābhūtānaṁ upādāya pasādo …pe… suñño gāmopeso—	yam cakkhu catunnam mahābhūtānam upādāya pasādaḥ pe suññaḥ gāmopeso 	That which is the eye, the visible, the eye-consciousness element, and the things that are cognized by the eye-consciousness element—
['PA_vb_5:2.3']	idaṁ vuccati “cakkhundriyaṁ”.	idam vuccati cakkhu indriya 	this is called the eye faculty. 
['PA_vb_5:3.1', 'PA_vb_5:3.2']	Tattha katamaṁ sotindriyaṁ …pe…🔽ghānindriyaṁ …pe…	tattha katamam sotindriyam pe  ghānindriyam pe 	Herein, what is the ear faculty? …🔽The nose faculty? …
['PA_vb_5:3.3']	jivhindriyaṁ …pe…	jivhindriyam pe 	The tongue faculty? …
['PA_vb_5:3.4']	kāyindriyaṁ?	kāyindriya 	The body faculty?
['PA_vb_5:3.5']	Yo kāyo catunnaṁ mahābhūtānaṁ upādāya pasādo …pe… suñño gāmopeso—	yaḥ kāyo catunnam mahābhūtānam upādāya pasādaḥ pe suññaḥ gāmopeso 	That which is the body, the tangible, the body-consciousness element, and the things that are cognized by the body-consciousness element—
['PA_vb_5:3.6']	idaṁ vuccati “kāyindriyaṁ”.	idam vuccati kāya indriya 	This is called the body faculty.
['PA_vb_5:4.1']	Tattha katamaṁ manindriyaṁ?	tat tha katamam 	Herein, what is the mind faculty?
['PA_vb_5:4.2']	Ekavidhena manindriyaṁ—	ekavidhena 	In one way the mind faculty is:
['PA_vb_5:4.3']	phassasampayuttaṁ.	phassa sampayutta 	associated with contact.
['PA_vb_5:4.4']	Duvidhena manindriyaṁ—	duvidhena 	In two ways the mind faculty is:
['PA_vb_5:4.5']	atthi sahetukaṁ, atthi ahetukaṁ.	atthi sa hetuka atthi ahetuka 	there is that with cause, there is that without cause.
['PA_vb_5:4.6']	Tividhena manindriyaṁ—	tividhena 	In three ways the mind faculty is:
['PA_vb_5:4.7']	atthi kusalaṁ, atthi akusalaṁ, atthi abyākataṁ.	atthi kusala atthi akusala atthi abyākata 	there is that which is wholesome, there is that which is unwholesome, there is that which is indeterminate.
['PA_vb_5:4.8']	Catubbidhena manindriyaṁ—	caturbidhena 	In four ways the mind faculty is:
['PA_vb_5:4.9']	atthi kāmāvacaraṁ, atthi rūpāvacaraṁ, atthi arūpāvacaraṁ, atthi apariyāpannaṁ.	atthi kāmāvacara atthi rūpāvacara atthi arūpāvacara atthi apariyāpanna 	there is that which is of the sense-sphere, there is that which is of the fine-material sphere, there is that which is of the immaterial sphere, there is that which is of the unincluded.
['PA_vb_5:4.10']	Pañcavidhena manindriyaṁ—	pañcavidhena 	In five ways the mind faculty is:
['PA_vb_5:4.11']	atthi sukhindriyasampayuttaṁ, atthi dukkhindriyasampayuttaṁ, atthi somanassindriyasampayuttaṁ, atthi domanassindriyasampayuttaṁ, atthi upekkhindriyasampayuttaṁ.	atthi sukha indriya sampayutta atthi dukkha indriya sampayutta atthi somanassa indriya sampayutta atthi domanassa indriya sampayutta atthi upekkhā indriya sampayutta 	there is that associated with the pleasure faculty, there is that associated with the pain faculty, there is that associated with the happiness faculty, there is that associated with the distress faculty, there is that associated with the equanimity faculty.
['PA_vb_5:4.12']	Chabbidhena manindriyaṁ—	chabbidhena 	In six ways the mind faculty is:
['PA_vb_5:4.13']	cakkhuviññāṇaṁ …pe… manoviññāṇaṁ.	cakkhu viññāṇam pe manaḥ viññāṇa 	eye-consciousness … mind-consciousness.
['PA_vb_5:4.14']	Evaṁ chabbidhena manindriyaṁ.	evam chabbidhena 	The mind faculty is in six ways like this.
['PA_vb_5:5.1']	Sattavidhena manindriyaṁ—	sattavidhena 	In seven ways the mind faculty is:
['PA_vb_5:5.2']	cakkhuviññāṇaṁ …pe… kāyaviññāṇaṁ, manodhātu, manoviññāṇadhātu.	cakkhu viññāṇam pe kāya viññāṇa manaḥ dhātu manaḥ viññāṇa dhātu 	eye-consciousness … body-consciousness, the mind element, the mind-consciousness element.
['PA_vb_5:5.3']	Evaṁ sattavidhena manindriyaṁ.	evam sattavidhena 	So it is of seven kinds.
['PA_vb_5:6.1']	Aṭṭhavidhena manindriyaṁ—	aṭṭhavidhena 	The mind faculty is of eight kinds:
['PA_vb_5:6.2']	cakkhuviññāṇaṁ …pe… kāyaviññāṇaṁ atthi sukhasahagataṁ, atthi dukkhasahagataṁ, manodhātu, manoviññāṇadhātu.	cakkhu viññāṇam pe kāya viññāṇam atthi sukha sahagata atthi dukkha sahagata manaḥ dhātu manaḥ viññāṇa dhātu 	eye-consciousness …
['PA_vb_5:6.3', 'PA_vb_5:7.1']	Evaṁ aṭṭhavidhena manindriyaṁ.🔽Navavidhena manindriyaṁ—	evam aṭṭhavidhena  navavidhena 	So it is of eight kinds.🔽The mind faculty is of nine kinds:
['PA_vb_5:7.2']	cakkhuviññāṇaṁ …pe… kāyaviññāṇaṁ, manodhātu, manoviññāṇadhātu atthi kusalā, atthi akusalā, atthi abyākatā.	cakkhu viññāṇam pe kāya viññāṇa manaḥ dhātu manaḥ viññāṇa dhātu atthi kusalā atthi akusalā atthi abyākatā 	eye-consciousness …
['PA_vb_5:7.3']	Evaṁ navavidhena manindriyaṁ.	evam navavidhena 	So it is of nine kinds.
['PA_vb_5:8.1']	Dasavidhena manindriyaṁ—	dasavidhena 	The mind faculty is of ten kinds:
['PA_vb_5:8.2']	cakkhuviññāṇaṁ …pe… kāyaviññāṇaṁ atthi sukhasahagataṁ, atthi dukkhasahagataṁ, manodhātu, manoviññāṇadhātu atthi kusalā, atthi akusalā, atthi abyākatā.	cakkhu viññāṇam pe kāya viññāṇam atthi sukha sahagata atthi dukkha sahagata manaḥ dhātu manaḥ viññāṇa dhātu atthi kusalā atthi akusalā atthi abyākatā 	eye-consciousness …
