segmentnr	original	analyzed	translated
['PA_vv_31:0.1']	Vimānavatthu	vimāna vatthu 	The Mansion on the Plane of the Gods
['PA_vv_31:0.2', 'PA_vv_31:0.3']	Itthivimāna🔽Pāricchattakavagga	itthi vimāna  pāricchattaka vagga 	The Divine Maiden’s Mansion🔽The Chapter on the Coral Tree
['PA_vv_31:0.4']	3. Pallaṅkavimānavatthu	pallaṅka vimāna vatthu 	The Mansion of the Couch
['PA_vv_31:1.1']	“Pallaṅkaseṭṭhe maṇisoṇṇacitte,	           	“On your couch, the best, with a mind shining with gems,
['PA_vv_31:1.2']	Pupphābhikiṇṇe sayane uḷāre;	puppha abhikiṇṇe sayane uḷāre 	on your bed, excellent, strewn with flowers;
['PA_vv_31:1.3']	Tatthacchasi devi mahānubhāve,	devi mahā anubhāve 	There you lie, divine maiden of great influence,
['PA_vv_31:1.4']	Uccāvacā iddhi vikubbamānā.	uccāvacā id hi vikubbamānā 	displaying your various psychic powers.
['PA_vv_31:2.1']	Imā ca te accharāyo samantato,	imā ca te accharāyaḥ 	And these celestial nymphs all around you,
['PA_vv_31:2.2']	Naccanti gāyanti pamodayanti;	naccanti gāyanti pamodayanti 	they sing and dance and delight you;
['PA_vv_31:2.3']	Deviddhipattāsi mahānubhāve,	devi iddhipattā asi mahā anubhāve 	You have attained psychic power, divine maiden of great influence,
['PA_vv_31:2.4']	Manussabhūtā kimakāsi puññaṁ;	manussa bhūtā kim akāsi puñña 	what merit did you make when you were a human being?
['PA_vv_31:2.5']	Kenāsi evaṁ jalitānubhāvā,	kena asi evam jalita anubhāvā 	By what are you so radiant,
['PA_vv_31:2.6']	Vaṇṇo ca te sabbadisā pabhāsatī”ti.	vaṇṇaḥ ca te sabbadisā pabhāsati iti 	and your beauty shines in all directions?”
['PA_vv_31:3.1', 'PA_vv_31:3.2']	“Ahaṁ manussesu manussabhūtā,🔽Aḍḍhe kule suṇisā ahosiṁ;	aham manussesu manussa bhūtā  aḍḍhe kule suṇisā ahosi 	“I was a human being among humans,🔽a young wife in a wealthy family;
['PA_vv_31:3.3']	Akkodhanā bhattuvasānuvattinī,	akkodhanā bhattuvasā anuvattinī 	I was not angry, but obedient to my husband,
['PA_vv_31:3.4']	Uposathe appamattā ahosiṁ.	uposathe appamattā ahosi 	and on the fast day I was diligent.
['PA_vv_31:4.1']	Manussabhūtā daharā apāpikā,	manus sabhūtā daharā a pāpikā 	As a human being, young, innocent,
['PA_vv_31:4.2']	Pasannacittā patimābhirādhayiṁ;	pasanna cittā patim ā abhirādhayi 	with a serene mind I delighted my husband;
['PA_vv_31:4.3']	Divā ca ratto ca manāpacārinī,	divā ca ca manāpacārinī 	day and night I was agreeable,
['PA_vv_31:4.4']	Ahaṁ pure sīlavatī ahosiṁ.	aham pure sīlavatī 	in the past I was virtuous.
['PA_vv_31:5.1']	Pāṇātipātā viratā acorikā,	pāṇa atipātā viratā a corikā 	I abstained from killing living beings, I was not a thief,
['PA_vv_31:5.2']	Saṁsuddhakāyā sucibrahmacārinī;	sa suddha kāyā suci brahmacārinī 	with a pure body, I lived the holy life;
['PA_vv_31:5.3']	Amajjapā no ca musā abhāṇiṁ,	a majja pā na u ca musā abhāṇi 	I did not drink alcohol or tell lies,
['PA_vv_31:5.4']	Sikkhāpadesu paripūrakārinī.	sikkhāpadesu paripūra kārinī 	And in the training rules was perfect.
['PA_vv_31:6.1']	Cātuddasiṁ pañcadasiṁ,	cātuddasim pañcadasi 	On the fourteenth, fifteenth,
['PA_vv_31:6.2']	yā ca pakkhassa aṭṭhamī;	yā ca pakkhassa aṭṭhamī 	And the eighth of the fortnight,
['PA_vv_31:6.3']	Pāṭihāriyapakkhañca,	pāṭihāriya pakkhañca 	And on the day of the Observance,
['PA_vv_31:6.4', 'PA_vv_31:7.1']	pasannamānasā ahaṁ.🔽Aṭṭhaṅgupetaṁ anudhammacārinī,	pasanna mānasāḥ aha  aṭṭhaṅga upetam anudhammacārinī 	I was full of joy.🔽I observed the Uposatha with its eight parts,
['PA_vv_31:7.2', 'PA_vv_31:7.3']	Uposathaṁ pītimanā upāvasiṁ;🔽Imañca ariyaṁ aṭṭhaṅgavarehupetaṁ,	uposatham pīti manāḥ upāvasi  imam ca ariyam 	And lived in rapture in accordance with the Dhamma.🔽Having undertaken this noble and excellent eight-part observance,
['PA_vv_31:7.4']	Samādiyitvā kusalaṁ sukhudrayaṁ;	samādiyitvā kusalam su khudraya 	Which is wholesome and has happiness as its outcome,
['PA_vv_31:7.5']	Patimhi kalyāṇī vasānuvattinī,	patimhi kalyāṇī vasā anuvattinī 	I was a good wife, obedient to my husband.
['PA_vv_31:7.6']	Ahosiṁ pubbe sugatassa sāvikā.	ahosim pubbe sugatassa sāvikā 	In the past I was a disciple of the Sugata.
['PA_vv_31:8.1']	Etādisaṁ kusalaṁ jīvaloke,	etādisam kusalam jīva loke 	Such was the wholesome deed in the world of the living
['PA_vv_31:8.2']	Kammaṁ karitvāna visesabhāginī;	kammam visesa bhāginī 	That I did, and by its power I have attained distinction.
