segmentnr	original	analyzed	folio	translated
['PA_vv_54:0.1']	Vimānavatthu	vimāna vatthu 	0	The Mansion
['PA_vv_54:0.2']	Purisavimāna	purisa vimāna 	0	The Mansion Chapter🔽Divine Stories
['PA_vv_54:0.3']	Mahārathavagga	mahā ratha vagga 	0	The Great Charioteers
['PA_vv_54:0.4']	4. Kakkaṭakarasadāyakavimānavatthu	kakkaṭaka rasa dāyaka vimāna vatthu 	0	The Divine Story of the Gift of a Horse-Cart
['PA_vv_54:1.1']	“Uccamidaṁ maṇithūṇaṁ vimānaṁ,	uccam idam maṇi thūṇam vimāna 	1	“This lofty mansion, with a jewel pinnacle,
['PA_vv_54:1.2', 'PA_vv_54:1.3']	Samantato dvādasa yojanāni;🔽Kūṭāgārā sattasatā uḷārā,	samantataḥ dvādasa yojanāni  kūṭāgārā satta satā uḷārā 	1	Twelve leagues in extent all around,🔽Has seven hundred upper rooms,
['PA_vv_54:1.4']	Veḷuriyathambhā rucakatthatā subhā.	veḷuriya thambhā rucakatthatā subhā 	1	With pillars of cat’s eye gem, inlaid with lovely gold.
['PA_vv_54:2.1']	Tatthacchasi pivasi khādasi ca,	tatthacchasi pivasi khādasi ca 	2	There you enjoy yourself, drink, and eat,
['PA_vv_54:2.2']	Dibbā ca vīṇā pavadanti vagguṁ;	dibbā ca vīṇā pavadanti vaggu 	2	And divine flutes play a lovely tune.
['PA_vv_54:2.3']	Dibbā rasā kāmaguṇettha pañca,	dibbāḥ rasāḥ kāma guṇā ittha pañca 	2	Here are divine flavors, and the five kinds of heavenly music,
['PA_vv_54:2.4']	Nāriyo ca naccanti suvaṇṇachannā.	nāriyaḥ ca naccanti suvaṇṇa channā 	2	And golden-clad women dance.
['PA_vv_54:3.1']	Kena tetādiso vaṇṇo,	kena tetādisaḥ vaṇṇaḥ 	3	By what means do you have such beauty?
['PA_vv_54:3.2']	kena te idha mijjhati;	kena te idha mijjhati 	3	By what means do you shine here?
['PA_vv_54:3.3']	Uppajjanti ca te bhogā,	uppajjanti ca te bhogāḥ 	3	And how do you get all these riches,
['PA_vv_54:3.4']	ye keci manaso piyā.	ye keci manasaḥ piyā 	3	Which are so dear to the mind?
['PA_vv_54:4.1']	Pucchāmi taṁ deva mahānubhāva,	pucchāmi tam deva mahā anubhāva 	4	I ask you, god of great power,
['PA_vv_54:4.2']	Manussabhūto kimakāsi puññaṁ;	manussa bhūtaḥ kim akāsi puñña 	4	What merit did you make as a human being?
['PA_vv_54:4.3']	Kenāsi evaṁ jalitānubhāvo,	kena asi evam jalita anubhāvaḥ 	4	By what means do you have such blazing power,
['PA_vv_54:4.4']	Vaṇṇo ca te sabbadisā pabhāsatī”ti.	vaṇṇaḥ ca te sabbadisā pabhāsati iti 	4	And your beauty shine in all directions?”
['PA_vv_54:5.1', 'PA_vv_54:5.2']	So devaputto attamano,🔽moggallānena pucchito;	saḥ deva puttaḥ atta mano  moggallānena pucchito 	5	That god, pleased,🔽Asked by Moggallāna,
['PA_vv_54:5.3', 'PA_vv_54:5.4']	Pañhaṁ puṭṭho viyākāsi,🔽yassa kammassidaṁ phalaṁ.	pañham puṭṭhaḥ viyākāsi  yassa kammassa idam 	5	Answered the question,
['PA_vv_54:6.1', 'PA_vv_54:6.2']	“Satisamuppādakaro,🔽dvāre kakkaṭako ṭhito;	sati samuppāda karaḥ  dvāre kakkaṭakaḥ ṭhitaḥ 	6	“This is the fruit of that deed:🔽“At the gate, a horse-cart was set up,
['PA_vv_54:6.3']	Niṭṭhito jātarūpassa,	niṭṭhitaḥ jātarūpassa 	6	Made of pure gold,
['PA_vv_54:6.4']	sobhati dasapādako.	sobhati dasa pādako 	6	shines forth with its ten spokes.
['PA_vv_54:7.1']	Tena metādiso vaṇṇo,	tena mā itādisaḥ vaṇṇaḥ 	7	Because of that I have such a complexion,
['PA_vv_54:7.2']	tena me idha mijjhati;	tena me idha mijjhati 	7	because of that I shine here;
['PA_vv_54:7.3']	Uppajjanti ca me bhogā,	uppajjanti ca me bhogāḥ 	7	and wealth arises for me,
['PA_vv_54:7.4']	ye keci manaso piyā.	ye keci manasaḥ piyā 	7	all that is dear to my mind.
['PA_vv_54:8.1']	Akkhāmi te bhikkhu mahānubhāva,	akkhāmi te bhikkhu mahā anubhāva 	8	I tell you, monk of great power,
['PA_vv_54:8.2']	Manussabhūto yamakāsi puññaṁ;	manussa bhūtaḥ yamakā asi puñña 	8	while a human you made twin merits;
['PA_vv_54:8.3']	Tenamhi evaṁ jalitānubhāvo,	evam jalita anubhāvaḥ 	8	because of that I have such blazing power,
['PA_vv_54:8.4']	Vaṇṇo ca me sabbadisā pabhāsatī”ti.	vaṇṇaḥ ca me sabbadisā pabhāsati iti 	8	and my complexion shines in all directions.”
['PA_vv_54:9.1']	Kakkaṭakarasadāyakavimānaṁ catutthaṁ.	kakkaṭaka rasa dāyaka vimānam 	9	The Mansion of the Donor of a Pair of Sandals is the fourth.
['PA_vv_54:10.1']	(Anantaraṁ pañcavimānaṁ yathā kakkaṭakarasadāyakavimānaṁ tathā vitthāretabbaṁ.)	anantaram pañca vimānam yathā kakkaṭaka rasa dāyaka vimānam tathā 	10	(The next five mansions are to be expanded in the same way as the Mansion of the Donor of a Pair of Sandals.)
